grafo,clase,rep,k_ulp,delta_lado_rel,theta,N,t_layout_s,t_run_s,timeout,max_dump_alcanzado,dump_comun,dump,n_gas,n_sumideros,masa_gas,masa_sumideros,masa_total,fraccion_masa_en_sumideros
r23_I,I,0,0,0.0,0.5,8000,297.9,,,252,246,cosmog_00246,6868,75,16139.79934501648,2660.2001953125,18799.99954032898,0.14150001384872105
r23_I,I,1,1,1.409895357767432e-16,0.5,8000,297.8,,,265,246,cosmog_00246,6832,78,16055.199348449707,2744.7998046875,18799.999153137207,0.14599999618773749
r23_I,I,2,2,2.819790715534864e-16,0.5,8000,296.9,,,246,246,cosmog_00246,6898,72,16210.299342155457,2589.699951171875,18799.99929332733,0.13775000258064027
r23_I,I,3,3,4.229686073302296e-16,0.5,8000,297.1,,,275,246,cosmog_00246,7010,54,16473.499331474304,2326.5,18799.999331474304,0.12375000440053499
r23_I,I,4,4,5.639581431069728e-16,0.5,8000,297.6,,,256,246,cosmog_00246,6804,77,15989.399351119995,2810.599609375,18799.998960494995,0.14949998748835028
r23_I,I,5,5,7.049476788837159e-16,0.5,8000,296.6,,,261,246,cosmog_00246,6817,77,16019.949349880219,2780.0498046875,18799.99915456772,0.14787499626094658
r10_III,III,0,0,0.0,0.5,8000,259.5,,,157,72,cosmog_00072,7641,9,17956.349271297455,843.6500244140625,18799.999295711517,0.04487500297973459
r10_III,III,1,1,1.409895357767432e-16,0.5,8000,259.4,,,138,72,cosmog_00072,7638,10,17949.299271583557,850.7000122070312,18799.99928379059,0.045250002373165364
r10_III,III,2,2,2.819790715534864e-16,0.5,8000,265.0,,,160,72,cosmog_00072,7634,10,17939.899271965027,860.1000366210938,18799.99930858612,0.04575000363049368
r10_III,III,3,3,4.229686073302296e-16,0.5,8000,265.6,140.0,False,72,72,cosmog_00072,7635,10,17942.24927186966,857.75,18799.99927186966,0.0456250017670717
r10_III,III,4,4,5.639581431069728e-16,0.5,8000,258.5,,,144,72,cosmog_00072,7599,13,17857.649275302887,942.3500366210938,18799.99931192398,0.05012500378249504
r10_III,III,5,5,7.049476788837159e-16,0.5,8000,263.6,,,101,72,cosmog_00072,7634,11,17939.899271965027,860.0999755859375,18799.999247550964,0.045750000532472405
