grafo,n_replicas,dump,t,media,sigma,rango,sigma_rel,sigma_en_particulas,n_sumideros_min,n_sumideros_max,n_sumideros_media
r23_I,6,20,0.02,0.02529166666666667,0.0003845993586404779,0.0008750000000000008,0.015206564427300607,3.076794869123823,8,8,8.0
r23_I,6,40,0.04,0.029833333333333333,0.00034156502553198446,0.000999999999999994,0.011449107001072104,2.732520204255876,8,8,8.0
r23_I,6,60,0.06,0.03595833333333332,0.0011001893776376274,0.003250000000000003,0.030596228346816995,8.80151502110102,8,10,8.833333333333334
r23_I,6,80,0.08,0.04720833333333332,0.0010113934282299194,0.0028750000000000026,0.021424044375567584,8.091147425839354,10,12,11.0
r23_I,6,100,0.1,0.05974999999999997,0.0008100925873009827,0.002375000000000002,0.013558034933907667,6.480740698407861,14,17,15.166666666666666
r23_I,6,120,0.12,0.0677083333333333,0.003227486121839515,0.007500000000000007,0.04766748733793747,25.819888974716118,15,23,18.166666666666668
r23_I,6,140,0.14,0.0745416666666666,0.001800462903440857,0.005375000000000005,0.024153778469860596,14.403703227526856,18,26,21.0
r23_I,6,160,0.16,0.08260416666666662,0.0014348707839616252,0.0038749999999999757,0.017370440764226495,11.478966271693002,25,30,26.5
r23_I,6,180,0.18,0.09056249999999995,0.003291798520565925,0.008999999999999994,0.03634836185580043,26.3343881645274,26,36,31.833333333333332
r23_I,6,200,0.2,0.10245833333333328,0.004443862809163522,0.01212500000000001,0.04337239016670377,35.55090247330817,34,46,40.666666666666664
r23_I,6,220,0.22,0.11995833333333328,0.003689229820256079,0.010250000000000009,0.030754260398105568,29.51383856204863,48,60,55.0
r23_I,6,240,0.24,0.13583333333333325,0.008763085453575507,0.02375000000000002,0.06451351254166021,70.10468362860406,51,74,67.83333333333333
r23_I,6,246,0.246,0.14106250012782176,0.00951700299913774,0.025749983087815287,0.06746656971565118,76.13602399310192,54,78,72.16666666666667
r10_III,6,20,0.02,0.026937500000000007,0.0003852758751855603,0.0009999999999999974,0.014302584693663488,3.0822070014844822,8,8,8.0
r10_III,6,40,0.04,0.03166666666666667,0.00030276503540975074,0.0008750000000000077,0.009561001118202654,2.422120283278006,8,8,8.0
r10_III,6,60,0.06,0.038666666666666655,0.001532291312599097,0.004250000000000004,0.0396282236017008,12.258330500792777,8,11,9.0
r10_III,6,72,0.072,0.04622916917757213,0.0019387770095086897,0.005250000802760453,0.04193839179894408,15.510216076069517,9,13,10.5
