rule_id,escala_b,n_cajas,corr_len_real,corr_len_sat_real,giant_nativo_frac_real,giant_nativo_size_real,n_dominios_real,corr_len_null,corr_len_sat_null,giant_nativo_frac_null,giant_nativo_size_null,n_dominios_null
A0-B0-C0-r0,1,2000,3.0,False,0.0775,155.0,91,1.0,False,0.0075,15.0,960
A0-B0-C0-r0,2,1000,2.0,False,0.037,37.0,121,1.0,False,0.009,9.0,495
A0-B0-C0-r0,4,500,1.0,False,0.036,18.0,154,1.0,False,0.018,9.0,259
A0-B0-C0-r0,8,250,1.0,False,0.052,13.0,102,1.0,False,0.024,6.0,133
A0-B0-C0-r0,16,125,1.0,False,0.048,6.0,56,1.0,False,0.08,10.0,64
A0-B0-C0-r1,1,2000,4.0,False,0.3215,643.0,11,1.0,False,0.0065,13.0,1031
A0-B0-C0-r1,2,1000,2.0,False,0.082,82.0,55,1.0,False,0.012,12.0,509
A0-B0-C0-r1,4,500,2.0,False,0.044,22.0,161,1.0,False,0.016,8.0,251
A0-B0-C0-r1,8,250,1.0,False,0.036,9.0,129,1.0,False,0.024,6.0,119
A0-B0-C0-r1,16,125,1.0,False,0.056,7.0,62,1.0,False,0.032,4.0,71
A0-B0-C0-r2,1,2000,4.0,False,1.0,2000.0,1,1.0,False,0.0085,17.0,892
A0-B0-C0-r2,2,1000,2.0,False,0.1,100.0,41,1.0,False,0.013,13.0,427
A0-B0-C0-r2,4,500,1.0,False,0.044,22.0,118,1.0,False,0.024,12.0,230
A0-B0-C0-r2,8,250,1.0,False,0.04,10.0,85,1.0,False,0.044,11.0,88
A0-B0-C0-r2,16,125,1.0,False,0.048,6.0,59,1.0,False,0.096,12.0,39
A0-B0-C0-r3,1,2000,4.0,False,0.0925,185.0,39,1.0,False,0.005,10.0,1056
A0-B0-C0-r3,2,1000,2.0,False,0.065,65.0,111,1.0,False,0.008,8.0,521
A0-B0-C0-r3,4,500,1.0,False,0.026,13.0,176,1.0,False,0.014,7.0,271
A0-B0-C0-r3,8,250,1.0,False,0.036,9.0,133,1.0,False,0.036,9.0,131
A0-B0-C0-r3,16,125,1.0,False,0.048,6.0,50,1.0,False,0.048,6.0,65
A0-B0-C0-r4,1,2000,3.0,False,0.103,206.0,33,1.0,False,0.0085,17.0,660
A0-B0-C0-r4,2,1000,2.0,False,0.065,65.0,53,1.0,False,0.016,16.0,303
A0-B0-C0-r4,4,500,1.0,False,0.038,19.0,95,1.0,False,0.024,12.0,164
A0-B0-C0-r4,8,250,1.0,False,0.052,13.0,65,1.0,False,0.06,15.0,76
A0-B0-C0-r4,16,125,1.0,False,0.104,13.0,28,1.0,False,0.088,11.0,40
A0-B0-C0-r5,1,2000,5.0,False,0.9595,1919.0,2,1.0,False,0.0075,15.0,902
A0-B0-C0-r5,2,1000,3.0,False,0.254,254.0,15,1.0,False,0.01,10.0,457
A0-B0-C0-r5,4,500,2.0,False,0.064,32.0,85,1.0,False,0.034,17.0,213
A0-B0-C0-r5,8,250,1.0,False,0.064,16.0,102,1.0,False,0.04,10.0,119
A0-B0-C0-r5,16,125,1.0,False,0.072,9.0,46,1.0,False,0.08,10.0,52
A0-B0-C0-r6,1,2000,5.0,False,0.917,1834.0,2,1.0,False,0.007,14.0,880
A0-B0-C0-r6,2,1000,3.0,False,0.599,599.0,5,1.0,False,0.01,10.0,457
A0-B0-C0-r6,4,500,2.0,False,0.162,81.0,60,1.0,False,0.022,11.0,232
A0-B0-C0-r6,8,250,1.0,False,0.056,14.0,82,1.0,False,0.044,11.0,122
A0-B0-C0-r6,16,125,1.0,False,0.096,12.0,44,1.0,False,0.064,8.0,53
A0-B0-C0-r7,1,2000,4.0,False,0.0575,115.0,73,1.0,False,0.005,10.0,1323
A0-B0-C0-r7,2,1000,2.0,False,0.045,45.0,181,1.0,False,0.008,8.0,655
A0-B0-C0-r7,4,500,2.0,False,0.032,16.0,202,1.0,False,0.012,6.0,345
A0-B0-C0-r7,8,250,1.0,False,0.02,5.0,146,1.0,False,0.028,7.0,166
A0-B0-C0-r7,16,125,1.0,False,0.04,5.0,77,1.0,False,0.04,5.0,79
A0-B0-C0-r8,1,2000,5.0,False,1.0,2000.0,1,1.0,False,0.008,16.0,745
A0-B0-C0-r8,2,1000,3.0,False,0.657,657.0,3,1.0,False,0.012,12.0,377
A0-B0-C0-r8,4,500,2.0,False,0.116,58.0,63,1.0,False,0.038,19.0,159
A0-B0-C0-r8,8,250,1.0,False,0.1,25.0,71,1.0,False,0.048,12.0,82
A0-B0-C0-r8,16,125,1.0,False,0.096,12.0,38,1.0,False,0.096,12.0,41
A0-B0-C0-r9,1,2000,3.0,False,0.0265,53.0,278,1.0,False,0.004,8.0,1255
A0-B0-C0-r9,2,1000,2.0,False,0.017,17.0,289,1.0,False,0.007,7.0,645
A0-B0-C0-r9,4,500,1.0,False,0.024,12.0,260,1.0,False,0.02,10.0,325
A0-B0-C0-r9,8,250,1.0,False,0.02,5.0,151,1.0,False,0.02,5.0,167
A0-B0-C0-r9,16,125,1.0,False,0.04,5.0,71,1.0,False,0.04,5.0,84
A0-B0-C0-r10,1,2000,4.0,False,0.0775,155.0,54,1.0,False,0.005,10.0,1255
A0-B0-C0-r10,2,1000,2.0,False,0.039,39.0,176,1.0,False,0.009,9.0,633
A0-B0-C0-r10,4,500,1.0,False,0.022,11.0,219,1.0,False,0.014,7.0,310
A0-B0-C0-r10,8,250,1.0,False,0.036,9.0,140,1.0,False,0.02,5.0,156
A0-B0-C0-r10,16,125,1.0,False,0.048,6.0,69,1.0,False,0.032,4.0,81
A0-B0-C0-r11,1,2000,3.0,False,0.2315,463.0,16,1.0,False,0.0065,13.0,828
A0-B0-C0-r11,2,1000,2.0,False,0.097,97.0,58,1.0,False,0.012,12.0,407
A0-B0-C0-r11,4,500,1.0,False,0.036,18.0,134,1.0,False,0.026,13.0,187
A0-B0-C0-r11,8,250,1.0,False,0.032,8.0,90,1.0,False,0.04,10.0,88
A0-B0-C0-r11,16,125,1.0,False,0.104,13.0,35,1.0,False,0.12,15.0,43
A0-B0-C0-r12,1,2000,5.0,False,1.0,2000.0,1,1.0,False,0.0045,9.0,1133
A0-B0-C0-r12,2,1000,3.0,False,0.163,163.0,31,1.0,False,0.007,7.0,585
A0-B0-C0-r12,4,500,2.0,False,0.042,21.0,149,1.0,False,0.014,7.0,305
A0-B0-C0-r12,8,250,1.0,False,0.032,8.0,137,1.0,False,0.02,5.0,144
A0-B0-C0-r12,16,125,1.0,False,0.056,7.0,62,1.0,False,0.032,4.0,74
A0-B0-C0-r13,1,2000,3.0,False,0.053,106.0,96,1.0,False,0.005,10.0,962
A0-B0-C0-r13,2,1000,2.0,False,0.039,39.0,139,1.0,False,0.008,8.0,496
A0-B0-C0-r13,4,500,1.0,False,0.028,14.0,167,1.0,False,0.016,8.0,260
A0-B0-C0-r13,8,250,1.0,False,0.048,12.0,114,1.0,False,0.04,10.0,117
A0-B0-C0-r13,16,125,1.0,False,0.064,8.0,62,1.0,False,0.072,9.0,64
A0-B0-C0-r14,1,2000,5.0,False,0.2515,503.0,17,1.0,False,0.005,10.0,1103
A0-B0-C0-r14,2,1000,3.0,False,0.073,73.0,39,1.0,False,0.008,8.0,561
A0-B0-C0-r14,4,500,2.0,False,0.034,17.0,125,1.0,False,0.014,7.0,269
A0-B0-C0-r14,8,250,1.0,False,0.032,8.0,122,1.0,False,0.024,6.0,149
A0-B0-C0-r14,16,125,1.0,False,0.056,7.0,72,1.0,False,0.04,5.0,76
A0-B0-C0-r15,1,2000,5.0,False,1.0,2000.0,1,1.0,False,0.0075,15.0,692
A0-B0-C0-r15,2,1000,3.0,False,0.919,919.0,2,1.0,False,0.014,14.0,347
A0-B0-C0-r15,4,500,2.0,False,0.07,35.0,52,1.0,False,0.028,14.0,166
A0-B0-C0-r15,8,250,1.0,False,0.064,16.0,65,1.0,False,0.06,15.0,78
A0-B0-C0-r15,16,125,1.0,False,0.136,17.0,32,1.0,False,0.12,15.0,34
A0-B0-C0-r16,1,2000,4.0,False,0.26,520.0,8,1.0,False,0.007,14.0,822
A0-B0-C0-r16,2,1000,2.0,False,0.136,136.0,32,1.0,False,0.018,18.0,416
A0-B0-C0-r16,4,500,2.0,False,0.086,43.0,83,1.0,False,0.018,9.0,188
A0-B0-C0-r16,8,250,1.0,False,0.068,17.0,81,1.0,False,0.06,15.0,101
A0-B0-C0-r16,16,125,1.0,False,0.096,12.0,52,1.0,False,0.088,11.0,50
A0-B0-C0-r17,1,2000,4.0,False,0.027,54.0,190,1.0,False,0.003,6.0,1282
A0-B0-C0-r17,2,1000,2.0,False,0.029,29.0,220,1.0,False,0.007,7.0,622
A0-B0-C0-r17,4,500,1.0,False,0.03,15.0,214,1.0,False,0.01,5.0,325
A0-B0-C0-r17,8,250,1.0,False,0.024,6.0,130,1.0,False,0.028,7.0,162
