rule_id,K,J,noise,sim_thr_frac,clase_vieja,pendiente_vieja,z_agg_vieja,holon_ratio_vieja,corr_len_b1,corr_len_sat_b1,giant_frac_b1,n_dominios_b1,corr_slope_nativo,dom_slope_nativo,corr_slope_null,dom_slope_null,giant_frac_null_b1
A0-B0-C0-r0,5,0.446,0.299,0.251,I,0.2313,0.283,0.858,3.0,False,0.0775,91,0.417,1.0891,-0.0,0.1755,0.0075
A0-B0-C0-r1,7,0.624,0.29,0.232,I,0.2846,0.283,0.861,4.0,False,0.3215,11,0.5,1.623,-0.0,0.4401,0.0065
A0-B0-C0-r2,5,0.501,0.147,0.276,I,0.2289,0.424,0.796,4.0,False,1.0,1,0.5,2.0084,-0.0,0.1246,0.0085
A0-B0-C0-r3,7,0.515,0.305,0.23,I,0.2793,0.283,0.851,4.0,False,0.0925,39,0.5,1.2745,-0.0,0.1304,0.005
A0-B0-C0-r4,4,0.46,0.274,0.341,I,0.2969,0.141,0.943,3.0,False,0.103,33,0.417,1.0294,-0.0,0.1349,0.0085
A0-B0-C0-r5,5,0.757,0.164,0.269,I,0.2268,0.141,0.796,5.0,False,0.9595,2,0.6229,1.9461,-0.0,0.117,0.0075
A0-B0-C0-r6,7,0.763,0.179,0.276,I,0.2311,0.283,0.745,5.0,False,0.917,2,0.6229,1.9931,-0.0,0.1477,0.007
A0-B0-C0-r7,6,0.523,0.211,0.172,I,0.2542,0.424,1.061,4.0,False,0.0575,73,0.5,1.2217,-0.0,0.2193,0.005
A0-B0-C0-r8,7,0.712,0.176,0.319,I,0.2942,0.141,0.828,5.0,False,1.0,1,0.6229,1.9478,-0.0,0.083,0.008
A0-B0-C0-r9,7,0.31,0.336,0.186,I,0.2315,0.566,0.968,3.0,False,0.0265,278,0.417,0.8578,-0.0,0.1842,0.004
A0-B0-C0-r10,7,0.523,0.234,0.181,I,0.2994,0.566,0.961,4.0,False,0.0775,54,0.5,1.1498,-0.0,0.3492,0.005
A0-B0-C0-r11,4,0.329,0.132,0.304,I,0.2974,0.0,0.987,3.0,False,0.2315,16,0.417,1.3909,-0.0,-0.015,0.0065
A0-B0-C0-r12,7,0.74,0.105,0.212,II,0.3622,0.141,0.866,5.0,False,1.0,1,0.6229,2.0666,-0.0,0.2825,0.0045
A0-B0-C0-r13,6,0.329,0.291,0.253,I,0.3041,0.141,0.813,3.0,False,0.053,96,0.417,0.9156,-0.0,-0.0018,0.005
A0-B0-C0-r14,8,0.758,0.342,0.218,I,0.3079,0.141,0.713,5.0,False,0.2515,17,0.6229,1.5524,-0.0,0.2415,0.005
A0-B0-C0-r15,5,0.74,0.234,0.327,I,0.2935,0.0,0.708,5.0,False,1.0,1,0.6229,1.9601,-0.0,-0.01,0.0075
A0-B0-C0-r16,6,0.692,0.349,0.293,I,0.2296,0.283,0.745,4.0,False,0.26,8,0.5,1.3875,-0.0,0.0959,0.007
A0-B0-C0-r17,5,0.437,0.257,0.185,I,0.2468,0.0,1.071,4.0,False,0.027,190,0.5,0.9139,-0.0,0.0,0.003
A0-B0-C0-r18,5,0.737,0.144,0.321,I,0.2924,0.141,0.691,5.0,False,1.0,1,0.6229,2.1651,-0.0,0.1963,0.0105
A0-B0-C0-r19,6,0.629,0.124,0.174,I,0.232,0.283,1.101,5.0,False,0.2275,12,0.6229,1.697,-0.0,0.083,0.004
A0-B0-C0-r0,7,0.329,0.268,0.327,I,0.2955,0.0,0.807,3.0,False,0.1435,18,0.417,1.1478,-0.0,0.1832,0.01
A0-B0-C0-r1,6,0.439,0.194,0.329,I,0.2862,0.0,0.732,4.0,False,0.9655,2,0.5,1.8325,-0.0,0.2572,0.0115
A0-B0-C0-r2,5,0.524,0.13,0.278,I,0.2992,0.141,0.752,4.0,False,0.823,2,0.5,1.9308,-0.0,0.0631,0.0065
A0-B0-C0-r3,4,0.477,0.129,0.339,I,0.2924,0.0,0.921,4.0,False,0.7285,2,0.5,1.8729,-0.0,0.2571,0.0095
A0-B0-C0-r4,7,0.512,0.288,0.303,I,0.2944,0.141,0.777,4.0,False,0.729,5,0.5,1.8718,-0.0,0.2201,0.0065
A0-B0-C0-r5,5,0.566,0.152,0.347,I,0.2883,0.0,0.695,4.0,False,1.0,1,0.5,2.1709,-0.0,0.0868,0.0095
A0-B0-C0-r6,6,0.349,0.168,0.293,I,0.297,0.0,0.743,3.0,False,0.1745,14,0.417,1.4263,-0.0,0.3059,0.0075
A0-B0-C0-r7,5,0.7,0.192,0.261,I,0.2782,0.283,0.83,4.0,False,1.0,1,0.5,2.0404,-0.0,0.0719,0.005
A0-B0-C0-r8,5,0.793,0.346,0.23,II,0.3586,0.0,0.915,4.0,False,0.036,138,0.5,0.9438,-0.0,0.1755,0.006
A0-B0-C0-r9,7,0.465,0.27,0.298,I,0.2991,0.141,0.8,4.0,False,0.5755,7,0.5,1.7326,-0.0,0.1061,0.0065
A0-B0-C0-r10,8,0.463,0.179,0.238,I,0.2828,0.141,0.69,4.0,False,0.318,6,0.5,1.6456,-0.0,0.134,0.0045
A0-B0-C0-r11,5,0.405,0.215,0.314,I,0.2949,0.0,0.767,3.0,False,0.2365,16,0.417,1.4207,-0.0,0.0186,0.008
A0-B0-C0-r12,8,0.487,0.346,0.236,I,0.3086,0.566,0.71,4.0,False,0.1645,32,0.5,1.565,-0.0,-0.0366,0.0065
A0-B0-C0-r13,6,0.627,0.303,0.339,I,0.2876,0.0,0.72,4.0,False,1.0,1,0.5585,2.0491,-0.0,0.1202,0.0095
A0-B0-C0-r14,7,0.404,0.213,0.3,I,0.2933,0.0,0.744,3.0,False,0.3475,9,0.417,1.5747,-0.0,0.1671,0.0085
