rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor
A0-B0-C0-r0,2000,1,0.1,4.0,1.0,1.728031001117118,15069,1500,4.333333333333333,0.4714045217910317,1.4820630120043248
A0-B0-C0-r0,1049,2,0.34,3.0,1.0,1.728031001117118,13915,1500,3.3333333333333335,0.4714045217910317,1.4820630120043248
A0-B0-C0-r0,569,4,0.55,3.0,1.0,1.728031001117118,12860,1500,3.0,1e-09,1.4820630120043248
A0-B0-C0-r0,310,8,0.72,3.0,1.0,1.728031001117118,10681,1500,3.0,1e-09,1.4820630120043248
A0-B0-C0-r0,196,16,0.87,2.0,1.0,1.728031001117118,6648,1500,2.0,1e-09,1.4820630120043248
A0-B0-C0-r1,2000,1,0.1,4.0,1.0,1.7747649676181563,13882,1501,4.333333333333333,0.4714045217910317,1.528741882667912
A0-B0-C0-r1,1048,2,0.33,4.0,1.0,1.7747649676181563,12766,1501,3.6666666666666665,0.4714045217910317,1.528741882667912
A0-B0-C0-r1,563,4,0.59,3.0,1.0,1.7747649676181563,11699,1501,3.0,1e-09,1.528741882667912
A0-B0-C0-r1,330,8,0.79,3.0,1.0,1.7747649676181563,9843,1501,3.0,1e-09,1.528741882667912
A0-B0-C0-r1,195,16,0.98,2.0,1.0,1.7747649676181563,6260,1501,2.0,1e-09,1.528741882667912
A0-B0-C0-r2,2000,1,0.1,4.0,1.0,1.8719623140836947,16703,1500,4.0,1e-09,1.490024361675827
A0-B0-C0-r2,1043,2,0.37,3.0,1.0,1.8719623140836947,15506,1500,3.3333333333333335,0.4714045217910317,1.490024361675827
A0-B0-C0-r2,553,4,0.56,3.0,1.0,1.8719623140836947,14320,1500,3.0,1e-09,1.490024361675827
A0-B0-C0-r2,317,8,0.72,3.0,1.0,1.8719623140836947,11944,1500,2.3333333333333335,0.4714045217910317,1.490024361675827
A0-B0-C0-r2,176,16,0.86,2.0,1.0,1.8719623140836947,6993,1500,2.0,1e-09,1.490024361675827
A0-B0-C0-r3,2000,1,0.09,4.0,1.0,1.8038847968105354,13846,1500,4.333333333333333,0.4714045217910317,1.5356573962600002
A0-B0-C0-r3,1050,2,0.29,4.0,1.0,1.8038847968105354,12711,1500,3.6666666666666665,0.4714045217910317,1.5356573962600002
A0-B0-C0-r3,563,4,0.51,3.0,1.0,1.8038847968105354,11671,1500,3.0,1e-09,1.5356573962600002
A0-B0-C0-r3,323,8,0.68,3.0,1.0,1.8038847968105354,9858,1500,3.0,1e-09,1.5356573962600002
A0-B0-C0-r3,184,16,0.82,2.0,1.0,1.8038847968105354,6208,1500,2.0,1e-09,1.5356573962600002
A0-B0-C0-r4,2000,1,0.11,4.0,1.0,1.536006706211262,20348,1500,4.0,1e-09,1.4478707313896924
A0-B0-C0-r4,1034,2,0.49,3.0,1.0,1.536006706211262,19118,1500,3.0,1e-09,1.4478707313896924
A0-B0-C0-r4,546,4,0.81,3.0,1.0,1.536006706211262,17671,1500,2.6666666666666665,0.4714045217910317,1.4478707313896924
A0-B0-C0-r4,294,8,1.08,2.0,1.0,1.536006706211262,14153,1500,2.0,1e-09,1.4478707313896924
A0-B0-C0-r4,181,16,1.33,2.0,1.0,1.536006706211262,7854,1500,2.0,1e-09,1.4478707313896924
A0-B0-C0-r5,2000,1,0.08,4.0,1.0,1.839613901047708,15998,1500,4.0,1e-09,1.464962173073763
A0-B0-C0-r5,1038,2,0.39,3.0,1.0,1.839613901047708,14813,1500,3.0,1e-09,1.464962173073763
A0-B0-C0-r5,562,4,0.62,3.0,1.0,1.839613901047708,13694,1500,3.0,1e-09,1.464962173073763
A0-B0-C0-r5,307,8,0.86,3.0,1.0,1.839613901047708,11332,1500,2.6666666666666665,0.4714045217910317,1.464962173073763
A0-B0-C0-r5,176,16,1.0,2.0,1.0,1.839613901047708,6787,1500,2.0,1e-09,1.464962173073763
A0-B0-C0-r6,2000,1,0.12,4.0,1.0,1.9756546088334268,16344,1500,4.0,1e-09,1.4714399729767058
A0-B0-C0-r6,1038,2,0.47,3.0,1.0,1.9756546088334268,15159,1500,3.0,1e-09,1.4714399729767058
A0-B0-C0-r6,558,4,0.78,3.0,1.0,1.9756546088334268,14011,1500,3.0,1e-09,1.4714399729767058
A0-B0-C0-r6,319,8,0.95,3.0,1.0,1.9756546088334268,11642,1500,2.3333333333333335,0.4714045217910317,1.4714399729767058
A0-B0-C0-r6,181,16,1.11,2.0,1.0,1.9756546088334268,6925,1500,2.0,1e-09,1.4714399729767058
A0-B0-C0-r7,2000,1,0.05,6.0,1.0,1.3115352883176068,10288,1095,5.0,1e-09,1.3912570492311769
A0-B0-C0-r7,1069,2,0.2,4.0,1.0,1.3115352883176068,9243,1095,4.0,1e-09,1.3912570492311769
A0-B0-C0-r7,586,4,0.38,3.0,1.0,1.3115352883176068,8386,1095,3.6666666666666665,0.4714045217910317,1.3912570492311769
A0-B0-C0-r7,342,8,0.51,4.0,1.0,1.3115352883176068,7083,1095,3.0,1e-09,1.3912570492311769
A0-B0-C0-r7,218,16,0.63,3.0,1.0,1.3115352883176068,4792,1095,2.6666666666666665,0.4714045217910317,1.3912570492311769
A0-B0-C0-r8,2000,1,0.13,4.0,1.0,1.8492668150414366,19211,1500,4.0,1e-09,1.53143098319955
A0-B0-C0-r8,1040,2,0.41,3.0,1.0,1.8492668150414366,17973,1500,3.0,1e-09,1.53143098319955
A0-B0-C0-r8,550,4,0.69,3.0,1.0,1.8492668150414366,16576,1500,3.0,1e-09,1.53143098319955
A0-B0-C0-r8,307,8,0.89,2.0,1.0,1.8492668150414366,13580,1500,2.3333333333333335,0.4714045217910317,1.53143098319955
A0-B0-C0-r8,175,16,1.05,2.0,1.0,1.8492668150414366,7578,1500,2.0,1e-09,1.53143098319955
A0-B0-C0-r9,2000,1,0.08,5.0,1.0,1.6088828221775913,11039,1275,5.0,1e-09,1.5576279636633266
A0-B0-C0-r9,1060,2,0.25,4.0,1.0,1.6088828221775913,9951,1275,4.0,1e-09,1.5576279636633266
A0-B0-C0-r9,577,4,0.38,4.0,1.0,1.6088828221775913,9096,1275,3.3333333333333335,0.4714045217910317,1.5576279636633266
A0-B0-C0-r9,328,8,0.53,3.0,1.0,1.6088828221775913,7718,1275,3.0,1e-09,1.5576279636633266
A0-B0-C0-r9,210,16,0.74,3.0,1.0,1.6088828221775913,5054,1275,2.3333333333333335,0.4714045217910317,1.5576279636633266
A0-B0-C0-r10,2000,1,0.05,6.0,1.0,1.563076021036841,10729,1167,5.333333333333333,0.4714045217910317,1.5015238361989367
A0-B0-C0-r10,1062,2,0.24,4.0,1.0,1.563076021036841,9652,1167,4.0,1e-09,1.5015238361989367
A0-B0-C0-r10,588,4,0.55,3.0,1.0,1.563076021036841,8789,1167,3.3333333333333335,0.4714045217910317,1.5015238361989367
A0-B0-C0-r10,337,8,0.66,3.0,1.0,1.563076021036841,7380,1167,3.0,1e-09,1.5015238361989367
A0-B0-C0-r10,204,16,0.79,3.0,1.0,1.563076021036841,4887,1167,2.6666666666666665,0.4714045217910317,1.5015238361989367
A0-B0-C0-r11,2000,1,0.09,4.0,1.0,1.4501795873247363,18160,1500,4.0,1e-09,1.4309410506758486
A0-B0-C0-r11,1035,2,0.34,3.0,1.0,1.4501795873247363,16942,1500,3.0,1e-09,1.4309410506758486
A0-B0-C0-r11,550,4,0.55,3.0,1.0,1.4501795873247363,15707,1500,3.0,1e-09,1.4309410506758486
A0-B0-C0-r11,298,8,0.77,2.0,1.0,1.4501795873247363,12919,1500,2.0,1e-09,1.4309410506758486
A0-B0-C0-r11,181,16,0.96,2.0,1.0,1.4501795873247363,7336,1500,2.0,1e-09,1.4309410506758486
A0-B0-C0-r12,2000,1,0.06,5.0,1.0,1.7939627937162725,12655,1500,4.666666666666667,0.4714045217910317,1.5544254537517914
A0-B0-C0-r12,1052,2,0.23,4.0,1.0,1.7939627937162725,11544,1500,4.0,1e-09,1.5544254537517914
A0-B0-C0-r12,583,4,0.39,3.0,1.0,1.7939627937162725,10617,1500,3.0,1e-09,1.5544254537517914
A0-B0-C0-r12,329,8,0.56,3.0,1.0,1.7939627937162725,8896,1500,3.0,1e-09,1.5544254537517914
A0-B0-C0-r12,193,16,0.67,2.0,1.0,1.7939627937162725,5733,1500,2.0,1e-09,1.5544254537517914
A0-B0-C0-r13,2000,1,0.07,5.0,1.0,1.8548666693629645,15070,1500,4.0,1e-09,1.5086901058195845
A0-B0-C0-r13,1036,2,0.34,3.0,1.0,1.8548666693629645,13914,1500,3.3333333333333335,0.4714045217910317,1.5086901058195845
A0-B0-C0-r13,557,4,0.52,3.0,1.0,1.8548666693629645,12861,1500,3.0,1e-09,1.5086901058195845
A0-B0-C0-r13,312,8,0.73,3.0,1.0,1.8548666693629645,10800,1500,3.0,1e-09,1.5086901058195845
A0-B0-C0-r13,177,16,0.96,2.0,1.0,1.8548666693629645,6539,1500,2.0,1e-09,1.5086901058195845
A0-B0-C0-r14,2000,1,0.09,5.0,1.0,2.165930064588823,12970,1500,4.666666666666667,0.4714045217910317,1.5447438475442572
A0-B0-C0-r14,1047,2,0.34,4.0,1.0,2.165930064588823,11881,1500,4.0,1e-09,1.5447438475442572
A0-B0-C0-r14,579,4,0.5,3.0,1.0,2.165930064588823,10923,1500,3.0,1e-09,1.5447438475442572
A0-B0-C0-r14,319,8,0.63,4.0,1.0,2.165930064588823,9270,1500,3.0,1e-09,1.5447438475442572
A0-B0-C0-r14,196,16,0.74,2.0,1.0,2.165930064588823,5954,1500,2.0,1e-09,1.5447438475442572
A0-B0-C0-r15,2000,1,0.12,4.0,1.0,2.102244776744407,19448,1500,4.0,1e-09,1.4889942398672422
A0-B0-C0-r15,1033,2,0.51,3.0,1.0,2.102244776744407,18205,1500,3.0,1e-09,1.4889942398672422
A0-B0-C0-r15,539,4,0.84,3.0,1.0,2.102244776744407,16809,1500,3.0,1e-09,1.4889942398672422
A0-B0-C0-r15,301,8,1.04,2.0,1.0,2.102244776744407,13736,1500,2.0,1e-09,1.4889942398672422
A0-B0-C0-r15,175,16,1.27,2.0,1.0,2.102244776744407,7478,1500,2.0,1e-09,1.4889942398672422
A0-B0-C0-r16,2000,1,0.08,4.0,1.0,2.0675958827807386,17424,1500,4.0,1e-09,1.5412503361107925
A0-B0-C0-r16,1032,2,0.38,3.0,1.0,2.0675958827807386,16219,1500,3.0,1e-09,1.5412503361107925
A0-B0-C0-r16,540,4,0.62,3.0,1.0,2.0675958827807386,14900,1500,3.0,1e-09,1.5412503361107925
A0-B0-C0-r16,319,8,0.79,3.0,1.0,2.0675958827807386,12509,1500,2.3333333333333335,0.4714045217910317,1.5412503361107925
A0-B0-C0-r16,175,16,1.0,2.0,1.0,2.0675958827807386,7134,1500,2.0,1e-09,1.5412503361107925
A0-B0-C0-r17,2000,1,0.06,6.0,1.0,1.373369806125519,11064,1311,5.0,1e-09,1.4702643528087673
A0-B0-C0-r17,1062,2,0.22,4.0,1.0,1.373369806125519,9982,1311,4.0,1e-09,1.4702643528087673
A0-B0-C0-r17,583,4,0.36,4.0,1.0,1.373369806125519,9072,1311,3.0,1e-09,1.4702643528087673
A0-B0-C0-r17,333,8,0.51,4.0,1.0,1.373369806125519,7680,1311,3.0,1e-09,1.4702643528087673
A0-B0-C0-r17,218,16,0.65,3.0,1.0,1.373369806125519,5142,1311,2.0,1e-09,1.4702643528087673
A0-B0-C0-r18,2000,1,0.09,4.0,1.0,2.123117224564112,19091,1500,4.0,1e-09,1.4668978354810418
A0-B0-C0-r18,1038,2,0.36,3.0,1.0,2.123117224564112,17848,1500,3.0,1e-09,1.4668978354810418
A0-B0-C0-r18,558,4,0.62,3.0,1.0,2.123117224564112,16521,1500,3.0,1e-09,1.4668978354810418
A0-B0-C0-r18,291,8,1.02,2.0,1.0,2.123117224564112,13447,1500,2.3333333333333335,0.4714045217910317,1.4668978354810418
