rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final,pendiente_real,z_agg,holon_ratio
A0-B0-C0-r0,2000,1,0.06,5.0,1.0,1.6109396849995756,13040,1500,4.666666666666667,0.4714045217910317,1.5203469847099464,A0,B0,C0,II,0.3547488761628143,0.14142135593730937,0.9437640644567937
A0-B0-C0-r0,1048,2,0.24,4.0,1.0,1.6109396849995756,11923,1500,4.0,1e-09,1.5203469847099464,A0,B0,C0,II,0.3547488761628143,0.14142135593730937,0.9437640644567937
A0-B0-C0-r0,580,4,0.38,4.0,1.0,1.6109396849995756,10925,1500,3.0,1e-09,1.5203469847099464,A0,B0,C0,II,0.3547488761628143,0.14142135593730937,0.9437640644567937
A0-B0-C0-r0,311,8,0.49,3.0,1.0,1.6109396849995756,9167,1500,3.0,1e-09,1.5203469847099464,A0,B0,C0,II,0.3547488761628143,0.14142135593730937,0.9437640644567937
A0-B0-C0-r0,193,16,0.59,2.0,1.0,1.6109396849995756,5924,1500,2.0,1e-09,1.5203469847099464,A0,B0,C0,II,0.3547488761628143,0.14142135593730937,0.9437640644567937
A0-B0-C0-r1,2000,1,0.04,7.0,1.0,1.6679899385238222,9256,924,6.0,1e-09,1.4936283088622582,A0,B0,C0,II,0.354161838829703,0.848528135623857,0.895466018328699
A0-B0-C0-r1,1075,2,0.19,5.0,1.0,1.6679899385238222,8225,924,4.333333333333333,0.4714045217910317,1.4936283088622582,A0,B0,C0,II,0.354161838829703,0.848528135623857,0.895466018328699
A0-B0-C0-r1,592,4,0.38,4.0,1.0,1.6679899385238222,7399,924,3.3333333333333335,0.4714045217910317,1.4936283088622582,A0,B0,C0,II,0.354161838829703,0.848528135623857,0.895466018328699
A0-B0-C0-r1,346,8,0.48,4.0,1.0,1.6679899385238222,6282,924,3.3333333333333335,0.4714045217910317,1.4936283088622582,A0,B0,C0,II,0.354161838829703,0.848528135623857,0.895466018328699
A0-B0-C0-r1,236,16,0.56,3.0,1.0,1.6679899385238222,4337,924,3.0,1e-09,1.4936283088622582,A0,B0,C0,II,0.354161838829703,0.848528135623857,0.895466018328699
A0-B0-C0-r2,2000,1,0.09,5.0,1.0,1.7921914212192933,13926,1500,4.333333333333333,0.4714045217910317,1.487812666018039,A0,B0,C0,I,0.3111156142485288,0.42426406781192866,0.8301639257964005
A0-B0-C0-r2,1042,2,0.28,3.0,1.0,1.7921914212192933,12791,1500,4.0,1e-09,1.487812666018039,A0,B0,C0,I,0.3111156142485288,0.42426406781192866,0.8301639257964005
A0-B0-C0-r2,562,4,0.42,3.0,1.0,1.7921914212192933,11796,1500,3.3333333333333335,0.4714045217910317,1.487812666018039,A0,B0,C0,I,0.3111156142485288,0.42426406781192866,0.8301639257964005
A0-B0-C0-r2,328,8,0.56,3.0,1.0,1.7921914212192933,9885,1500,3.0,1e-09,1.487812666018039,A0,B0,C0,I,0.3111156142485288,0.42426406781192866,0.8301639257964005
A0-B0-C0-r2,183,16,0.67,2.0,1.0,1.7921914212192933,6209,1500,2.0,1e-09,1.487812666018039,A0,B0,C0,I,0.3111156142485288,0.42426406781192866,0.8301639257964005
A0-B0-C0-r3,2000,1,0.06,5.0,1.0,1.8248932408016214,13923,1500,4.0,1e-09,1.390831169993775,A0,B0,C0,II,0.3534052794937803,0.14142135593730956,0.7621438552661985
A0-B0-C0-r3,1047,2,0.25,4.0,1.0,1.8248932408016214,12784,1500,3.6666666666666665,0.4714045217910317,1.390831169993775,A0,B0,C0,II,0.3534052794937803,0.14142135593730956,0.7621438552661985
A0-B0-C0-r3,567,4,0.37,3.0,1.0,1.8248932408016214,11762,1500,3.0,1e-09,1.390831169993775,A0,B0,C0,II,0.3534052794937803,0.14142135593730956,0.7621438552661985
A0-B0-C0-r3,312,8,0.49,3.0,1.0,1.8248932408016214,9870,1500,3.0,1e-09,1.390831169993775,A0,B0,C0,II,0.3534052794937803,0.14142135593730956,0.7621438552661985
A0-B0-C0-r3,185,16,0.58,2.0,1.0,1.8248932408016214,6168,1500,2.0,1e-09,1.390831169993775,A0,B0,C0,II,0.3534052794937803,0.14142135593730956,0.7621438552661985
A0-B0-C0-r4,2000,1,0.08,5.0,1.0,1.6259288735800586,12211,1467,5.0,1e-09,1.4943321216625025,A0,B0,C0,II,0.36003193777345605,0.14142135593730956,0.9190636478287029
