eje_A,eje_B,eje_C,combo,rule_id,clase,pendiente,z_agg,holon_ratio
A0,B0,C0,A0-B0-C0,A0-B0-C0-r0,II,0.3547488761628143,0.14142135593730937,0.9437640644567937
A0,B0,C0,A0-B0-C0,A0-B0-C0-r1,II,0.354161838829703,0.848528135623857,0.895466018328699
A0,B0,C0,A0-B0-C0,A0-B0-C0-r2,I,0.3111156142485288,0.42426406781192866,0.8301639257964005
A0,B0,C0,A0-B0-C0,A0-B0-C0-r3,II,0.3534052794937803,0.14142135593730956,0.7621438552661985
A0,B0,C0,A0-B0-C0,A0-B0-C0-r4,II,0.36003193777345605,0.14142135593730956,0.9190636478287029
A0,B0,C0,A0-B0-C0,A0-B0-C0-r0,I,0.29363245753020245,0.0,0.8857543633412576
A0,B0,C0,A0-B0-C0,A0-B0-C0-r1,I,0.3045346763245109,0.14142135593730956,0.7340395514976044
A0,B0,C0,A0-B0-C0,A0-B0-C0-r2,I,0.22844704563007995,0.28284271187461896,0.7846344329042936
A0,B0,C0,A0-B0-C0,A0-B0-C0-r3,II,0.36734838358274097,0.5656854237492379,0.8806068094963153
A0,B0,C0,A0-B0-C0,A0-B0-C0-r4,I,0.2959343480943832,0.0,0.7287793747859383
A0,B0,C1,A0-B0-C1,A0-B0-C1-r0,I,0.30368422394206723,0.5656854237492379,1.1579643386243066
A0,B0,C1,A0-B0-C1,A0-B0-C1-r1,I,0.1912252245331948,0.7071067796865472,1.1569106258383979
A0,B0,C1,A0-B0-C1,A0-B0-C1-r2,I,0.29605140205784275,0.0,0.7080360303655718
A0,B0,C1,A0-B0-C1,A0-B0-C1-r3,I,0.24240808214122103,0.4242640678119285,1.4406812985921258
A0,B0,C1,A0-B0-C1,A0-B0-C1-r4,I,0.2914049354765769,0.0,0.7482885022955934
A0,B0,C1,A0-B0-C1,A0-B0-C1-r0,II,0.3562898698634608,0.2828427118746191,0.9466576100105201
A0,B0,C1,A0-B0-C1,A0-B0-C1-r1,I,0.23872873985323464,0.8485281356238568,1.1470269282465895
A0,B0,C1,A0-B0-C1,A0-B0-C1-r2,I,0.2966749835866238,0.0,0.9220225924560215
A0,B0,C1,A0-B0-C1,A0-B0-C1-r3,I,0.22797059391771526,0.0,0.8530278171159342
A0,B0,C1,A0-B0-C1,A0-B0-C1-r4,I,0.2953635590330815,0.28284271187461896,1.2980504873813723
A0,B0,C2,A0-B0-C2,A0-B0-C2-r0,I,0.30052430026606164,0.14142135593730956,0.7710716217836221
A0,B0,C2,A0-B0-C2,A0-B0-C2-r1,I,0.31626554618286784,0.7071067796865474,0.8094794362003656
A0,B0,C2,A0-B0-C2,A0-B0-C2-r2,I,0.2918366734829293,0.14142135593730956,0.8629426492088434
A0,B0,C2,A0-B0-C2,A0-B0-C2-r3,II,0.35525517482095803,0.4242640678119285,0.8824090966971754
A0,B0,C2,A0-B0-C2,A0-B0-C2-r4,I,0.2904825300221555,0.0,0.6919992996051554
A0,B0,C2,A0-B0-C2,A0-B0-C2-r0,I,0.2275359636807662,0.28284271187461896,0.8033391559030821
