rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,genealogia,seed_base,brazo,clase_final
A2-B0-C2-r0,2000,1,0.02,20.0,0.769,0.8026005973893654,2079,108,26.0,0.816496581927726,1.3537733146425996,G1_471829,471829,C2-hard,III
A2-B0-C2-r0,1362,2,0.08,14.0,0.6813509544787077,0.8026005973893654,1410,108,18.333333333333332,0.4714045217910317,1.3537733146425996,G1_471829,471829,C2-hard,III
A2-B0-C2-r0,971,4,0.12,10.0,0.5674562306900103,0.8026005973893654,1014,108,11.333333333333334,0.4714045217910317,1.3537733146425996,G1_471829,471829,C2-hard,III
A2-B0-C2-r0,778,8,0.18,7.0,0.46272493573264784,0.8026005973893654,811,108,7.666666666666667,0.4714045217910317,1.3537733146425996,G1_471829,471829,C2-hard,III
A2-B0-C2-r0,674,16,0.22,5.0,0.3798219584569733,0.8026005973893654,691,108,5.333333333333333,0.4714045217910317,1.3537733146425996,G1_471829,471829,C2-hard,III
A2-B0-C2-r0,2000,1,0.02,17.0,0.741,1.0693536298193118,2313,114,21.666666666666668,1.8856180841641268,1.4125374551909777,G1_471829,471829,C2-hibrido,III
A2-B0-C2-r0,1368,2,0.08,11.0,0.6403508771929824,1.0693536298193118,1649,114,14.666666666666666,1.2472191299246471,1.4125374551909777,G1_471829,471829,C2-hibrido,III
A2-B0-C2-r0,1034,4,0.13,8.0,0.5299806576402321,1.0693536298193118,1305,114,10.0,1.4142135633730952,1.4125374551909777,G1_471829,471829,C2-hibrido,III
A2-B0-C2-r0,855,8,0.16,6.0,0.43157894736842106,1.0693536298193118,1101,114,7.0,0.816496581927726,1.4125374551909777,G1_471829,471829,C2-hibrido,III
A2-B0-C2-r0,738,16,0.2,4.0,0.34146341463414637,1.0693536298193118,930,114,5.0,1e-09,1.4125374551909777,G1_471829,471829,C2-hibrido,III
A2-B0-C2-r1,2000,1,0.04,17.0,0.9065,0.7486568962837075,3000,123,13.666666666666666,0.4714045217910317,1.698581244788657,G1_471829,471829,C2-hard,III
A2-B0-C2-r1,1238,2,0.11,13.0,0.8586429725363489,0.7486568962837075,2201,123,10.0,0.816496581927726,1.698581244788657,G1_471829,471829,C2-hard,III
A2-B0-C2-r1,839,4,0.15,8.0,0.7938021454112039,0.7486568962837075,1797,123,7.0,1e-09,1.698581244788657,G1_471829,471829,C2-hard,III
A2-B0-C2-r1,610,8,0.19,6.0,0.7163934426229508,0.7486568962837075,1539,123,5.666666666666667,0.9428090425820633,1.698581244788657,G1_471829,471829,C2-hard,III
A2-B0-C2-r1,464,16,0.25,4.0,0.6271551724137931,0.7486568962837075,1315,123,4.333333333333333,0.4714045217910317,1.698581244788657,G1_471829,471829,C2-hard,III
A2-B0-C2-r1,2000,1,0.02,1.0,0.852,0.7898451559461271,3309,120,14.666666666666666,0.9428090425820633,1.595247767278068,G1_471829,471829,C2-hibrido,intermedio (sin clase clara)
A2-B0-C2-r1,1280,2,0.1,10.0,0.7796875,0.7898451559461271,2555,120,9.0,0.816496581927726,1.595247767278068,G1_471829,471829,C2-hibrido,intermedio (sin clase clara)
A2-B0-C2-r1,900,4,0.17,6.0,0.6888888888888889,0.7898451559461271,2162,120,6.0,1e-09,1.595247767278068,G1_471829,471829,C2-hibrido,intermedio (sin clase clara)
A2-B0-C2-r1,701,8,0.22,5.0,0.6005706134094151,0.7898451559461271,1919,120,5.0,1e-09,1.595247767278068,G1_471829,471829,C2-hibrido,intermedio (sin clase clara)
A2-B0-C2-r1,592,16,0.27,4.0,0.527027027027027,0.7898451559461271,1656,120,4.0,1e-09,1.595247767278068,G1_471829,471829,C2-hibrido,intermedio (sin clase clara)
A2-B0-C2-r2,2000,1,0.03,9.0,0.9945,0.7315688979111453,4619,45,9.333333333333334,0.9428090425820633,1.4595897622471081,G1_471829,471829,C2-hard,II
A2-B0-C2-r2,1128,2,0.1,7.0,0.9911347517730497,0.7315688979111453,3733,45,7.0,1e-09,1.4595897622471081,G1_471829,471829,C2-hard,II
A2-B0-C2-r2,670,4,0.17,5.0,0.9850746268656716,0.7315688979111453,3252,45,5.333333333333333,0.9428090425820633,1.4595897622471081,G1_471829,471829,C2-hard,II
A2-B0-C2-r2,434,8,0.22,5.0,0.9769585253456221,0.7315688979111453,2930,45,4.666666666666667,0.4714045217910317,1.4595897622471081,G1_471829,471829,C2-hard,II
A2-B0-C2-r2,313,16,0.28,4.0,0.9680511182108626,0.7315688979111453,2533,45,4.0,1e-09,1.4595897622471081,G1_471829,471829,C2-hard,II
A2-B0-C2-r2,2000,1,0.04,9.0,0.9975,0.8856353218776396,5527,57,8.666666666666666,0.4714045217910317,1.6035459908059493,G1_471829,471829,C2-hibrido,II
A2-B0-C2-r2,1123,2,0.13,5.0,0.9955476402493322,0.8856353218776396,4634,57,6.333333333333333,0.4714045217910317,1.6035459908059493,G1_471829,471829,C2-hibrido,II
A2-B0-C2-r2,679,4,0.2,5.0,0.9926362297496318,0.8856353218776396,4138,57,4.333333333333333,0.4714045217910317,1.6035459908059493,G1_471829,471829,C2-hibrido,II
A2-B0-C2-r2,453,8,0.26,4.0,0.9889624724061811,0.8856353218776396,3768,57,4.333333333333333,0.4714045217910317,1.6035459908059493,G1_471829,471829,C2-hibrido,II
A2-B0-C2-r2,332,16,0.33,4.0,0.9849397590361446,0.8856353218776396,3192,57,4.0,1e-09,1.6035459908059493,G1_471829,471829,C2-hibrido,II
