genealogia,seed_base,rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,K,J,noise,meandeg,kcap,seed
G0_original_90210,90210,A2-B0-C2-r0,C2-hard,III,0.9998267074710889,0.864086646217183,2.2271793063721197,2347,2.347,20.0,0.8455,6,0.656,0.292,6.83,4,90211
G0_original_90210,90210,A2-B0-C2-r0,C2-hibrido,III,1.2461213737098151,1.3871797416221419,2.130410537092424,2499,2.499,16.0,0.7955,6,0.656,0.292,6.83,4,90211
G0_original_90210,90210,A2-B0-C2-r1,C2-hard,III,1.0632882000648969,0.7342708698102586,1.5265218143444044,2305,2.305,19.0,0.849,6,0.311,0.316,6.39,4,90308
G0_original_90210,90210,A2-B0-C2-r1,C2-hibrido,III,1.3235540837414013,0.5670149128574968,1.6670604359752148,2564,2.564,17.0,0.823,6,0.311,0.316,6.39,4,90308
G0_original_90210,90210,A2-B0-C2-r2,C2-hard,I,0.4777129452495882,0.565685423749238,2.095859975422493,4140,4.14,10.0,0.9865,4,0.717,0.338,6.92,6,90405
G0_original_90210,90210,A2-B0-C2-r2,C2-hibrido,I,0.5656541942306249,0.6363961020928924,1.7065125819366376,5085,5.085,11.0,0.985,4,0.717,0.338,6.92,6,90405
G0_original_90210,90210,A2-B0-C2-r3,C2-hard,III,1.1053727359598509,0.9411101455582553,2.9136329233477807,2293,2.293,21.0,0.835,6,0.342,0.106,6.79,4,90502
G0_original_90210,90210,A2-B0-C2-r3,C2-hibrido,III,1.1264563051201353,0.39729605384976063,2.1281785979844856,2488,2.488,17.0,0.796,6,0.342,0.106,6.79,4,90502
G0_original_90210,90210,A2-B0-C2-r4,C2-hard,III,0.841485239659727,1.0176896338095722,2.933282670733775,3277,3.277,16.0,0.966,8,0.374,0.181,5.74,5,90599
G0_original_90210,90210,A2-B0-C2-r4,C2-hibrido,I,0.611551110493282,0.8485281356238568,1.6326295919784848,4003,4.003,11.0,0.9685,8,0.374,0.181,5.74,5,90599
G0_original_90210,90210,A2-B0-C2-r5,C2-hard,III,0.9014050247853483,1.4798474396678016,1.929206540811979,3053,3.053,16.0,0.9155,6,0.629,0.213,7.86,5,90696
G0_original_90210,90210,A2-B0-C2-r5,C2-hibrido,III,1.0163527086195852,0.527791685852937,1.8902278460042077,3195,3.195,13.0,0.8315,6,0.629,0.213,7.86,5,90696
G0_original_90210,90210,A2-B0-C2-r6,C2-hard,I,0.6063770415025348,0.2449489739783178,1.647419918065784,3637,3.637,11.0,0.98,6,0.453,0.267,4.29,6,90793
G0_original_90210,90210,A2-B0-C2-r6,C2-hibrido,I,0.5776493508042108,0.848528135623857,1.2097422427113058,4128,4.128,11.0,0.982,6,0.453,0.267,4.29,6,90793
G0_original_90210,90210,A2-B0-C2-r7,C2-hard,III,0.8336625876181077,1.279983632674016,2.020393641214981,3249,3.249,17.0,0.9465,6,0.721,0.292,6.73,5,90890
G0_original_90210,90210,A2-B0-C2-r7,C2-hibrido,III,0.755777210034016,0.669213041790246,1.9170910464949606,3630,3.63,11.0,0.9105,6,0.721,0.292,6.73,5,90890
G0_original_90210,90210,A2-B0-C2-r8,C2-hard,I,0.6492751884276736,0.5656854237492375,1.8172754930952837,3932,3.932,13.0,0.9835,6,0.754,0.126,4.95,6,90987
G0_original_90210,90210,A2-B0-C2-r8,C2-hibrido,I,0.545860970882332,0.6725899204284932,3.060907767400763,4809,4.809,11.0,0.9915,6,0.754,0.126,4.95,6,90987
G0_original_90210,90210,A2-B0-C2-r9,C2-hard,I,0.6418064578503381,0.5311685644911839,1.8239195537721458,3783,3.783,12.0,0.978,7,0.673,0.337,4.07,7,91084
G0_original_90210,90210,A2-B0-C2-r9,C2-hibrido,I,0.6001592033543198,0.5656854237492379,1.5139085609117018,3972,3.972,11.0,0.9835,7,0.673,0.337,4.07,7,91084
G0_original_90210,90210,A2-B0-C2-r10,C2-hard,III,1.0702990119884712,1.9133477572307271,3.33661565521401,2425,2.425,22.0,0.8745,6,0.588,0.106,6.07,4,91181
G0_original_90210,90210,A2-B0-C2-r10,C2-hibrido,III,1.0533922043245432,0.254558440911157,2.7007790256290733,2741,2.741,16.0,0.864,6,0.588,0.106,6.07,4,91181
G0_original_90210,90210,A2-B0-C2-r11,C2-hard,I,0.6263766054344797,0.7071067796865472,0.7812279413282613,3939,3.939,11.0,0.979,7,0.497,0.346,4.42,7,91278
G0_original_90210,90210,A2-B0-C2-r11,C2-hibrido,I,0.5280983463046648,0.5656854237492375,0.8622998655225537,4250,4.25,10.0,0.982,7,0.497,0.346,4.42,7,91278
G0_original_90210,90210,A2-B0-C2-r12,C2-hard,I,0.5013204491543406,0.2828427118746191,3.8634520681098663,4440,4.44,10.0,0.9875,4,0.611,0.158,4.93,7,91375
G0_original_90210,90210,A2-B0-C2-r12,C2-hibrido,I,0.31991516483338744,1.6970562712477135,4.180221298321772,4877,4.877,7.0,0.993,4,0.611,0.158,4.93,7,91375
G0_original_90210,90210,A2-B0-C2-r13,C2-hard,I,0.6964458531845023,0.4242640678119285,2.57110033721975,3356,3.356,13.0,0.9675,7,0.523,0.148,5.01,5,91472
G0_original_90210,90210,A2-B0-C2-r13,C2-hibrido,II,0.3778020484915532,1.4142135593730945,2.092157262939341,4722,4.722,8.0,0.99,7,0.523,0.148,5.01,5,91472
G0_original_90210,90210,A2-B0-C2-r14,C2-hard,I,0.5560315764370687,0.14142135593730976,1.4108856158516363,4009,4.009,11.0,0.9795,7,0.435,0.285,6.83,6,91569
G0_original_90210,90210,A2-B0-C2-r14,C2-hibrido,II,0.4047250963794564,1.272792203435785,0.9842842095465063,4900,4.9,8.0,0.989,7,0.435,0.285,6.83,6,91569
G0_original_90210,90210,A2-B0-C2-r15,C2-hard,III,1.008480118274175,1.2062435464114019,1.6755106598402438,3040,3.04,18.0,0.914,7,0.533,0.348,7.62,5,91666
G0_original_90210,90210,A2-B0-C2-r15,C2-hibrido,III,0.9643605091053229,0.565685424049238,1.252706980890493,3321,3.321,13.0,0.8605,7,0.533,0.348,7.62,5,91666
G0_original_90210,90210,A2-B0-C2-r16,C2-hard,I,0.6259260693775266,0.2449489739783178,1.6552715628036285,3654,3.654,11.0,0.9705,8,0.561,0.124,4.25,6,91763
G0_original_90210,90210,A2-B0-C2-r16,C2-hibrido,I,0.6005506887700277,0.14142135593730956,3.5906935076339757,4140,4.14,11.0,0.975,8,0.561,0.124,4.25,6,91763
G0_original_90210,90210,A2-B0-C2-r17,C2-hard,III,0.7966146251146495,0.6692130420902463,2.1461531359022605,3290,3.29,15.0,0.9665,6,0.698,0.12,4.47,5,91860
G0_original_90210,90210,A2-B0-C2-r17,C2-hibrido,I,0.4627111493030002,0.848528135623857,2.014144879126243,4270,4.27,10.0,0.9835,6,0.698,0.12,4.47,5,91860
G0_original_90210,90210,A2-B0-C2-r18,C2-hard,I,-0.6663838722342044,2.15367140376159,1.7023171166529998,3306,3.306,1.0,0.9675,7,0.473,0.251,5.77,5,91957
G0_original_90210,90210,A2-B0-C2-r18,C2-hibrido,I,0.623908948191176,0.527791685852937,1.423236507507943,4034,4.034,12.0,0.9715,7,0.473,0.251,5.77,5,91957
G0_original_90210,90210,A2-B0-C2-r19,C2-hard,III,0.8728267387801634,0.7382178608468328,1.7938509770069486,3051,3.051,15.0,0.9025,7,0.749,0.327,7.62,5,92054
G0_original_90210,90210,A2-B0-C2-r19,C2-hibrido,III,0.9573919672018713,0.28284271214961887,1.6838537172765373,3392,3.392,13.0,0.864,7,0.749,0.327,7.62,5,92054
G1_471829,471829,A2-B0-C2-r0,C2-hard,III,1.2256909858781446,4.298120962616097,1.6867334998828116,2079,2.079,20.0,0.769,7,0.499,0.325,7.99,4,471830
G1_471829,471829,A2-B0-C2-r0,C2-hibrido,III,1.3779173514576495,1.610741164556925,1.3209264136781895,2313,2.313,17.0,0.741,7,0.499,0.325,7.99,4,471830
G1_471829,471829,A2-B0-C2-r1,C2-hard,III,0.9952263850905985,2.361192515289013,2.2688380394548195,3000,3.0,17.0,0.9065,8,0.489,0.289,7.68,5,471927
G1_471829,471829,A2-B0-C2-r1,C2-hibrido,intermedio (sin clase clara),-0.8973382519803429,3.144086773768163,2.0196968421831722,3309,3.309,1.0,0.852,8,0.489,0.289,7.68,5,471927
G1_471829,471829,A2-B0-C2-r2,C2-hard,II,0.4223313216537555,0.28284271202461897,1.9951501033117822,4619,4.619,9.0,0.9945,7,0.489,0.214,5.72,7,472024
G1_471829,471829,A2-B0-C2-r2,C2-hibrido,II,0.42467020076218476,1.131370847498476,1.8106165723000565,5527,5.527,9.0,0.9975,7,0.489,0.214,5.72,7,472024
G1_471829,471829,A2-B0-C2-r3,C2-hard,III,0.7365521473972985,1.272792203435786,2.4495710984346997,3353,3.353,14.0,0.966,4,0.579,0.19,4.68,5,472121
G1_471829,471829,A2-B0-C2-r3,C2-hibrido,I,0.6012341828927795,0.42426406781192816,3.2964753806793716,4554,4.554,11.0,0.9885,4,0.579,0.19,4.68,5,472121
G1_471829,471829,A2-B0-C2-r4,C2-hard,I,0.6448989233969769,0.0,2.6951323925431327,3742,3.742,12.0,0.98,7,0.474,0.212,4.46,6,472218
G1_471829,471829,A2-B0-C2-r4,C2-hibrido,I,0.5515197290718759,0.6725899204284932,2.5911776313866093,4288,4.288,10.0,0.985,7,0.474,0.212,4.46,6,472218
G1_471829,471829,A2-B0-C2-r5,C2-hard,I,0.5956247734424226,0.527791685852937,2.6451578698843905,4301,4.301,12.0,0.993,6,0.395,0.291,4.94,7,472315
G1_471829,471829,A2-B0-C2-r5,C2-hibrido,I,0.5534164360975885,0.7071067796865476,2.06648454136359,4687,4.687,11.0,0.99,6,0.395,0.291,4.94,7,472315
G1_471829,471829,A2-B0-C2-r6,C2-hard,I,0.5249684105865845,0.5656854237492382,1.9009729356366705,4154,4.154,11.0,0.987,4,0.694,0.286,5.52,6,472412
G1_471829,471829,A2-B0-C2-r6,C2-hibrido,I,0.4701984745363913,0.42426406781192866,2.236888247793428,5398,5.398,9.0,0.9955,4,0.694,0.286,5.52,6,472412
G1_471829,471829,A2-B0-C2-r7,C2-hard,III,0.8031323298541035,0.6570084502520134,1.5743008403269252,3170,3.17,13.0,0.9285,5,0.736,0.323,7.39,5,472509
G1_471829,471829,A2-B0-C2-r7,C2-hibrido,III,0.9426741274484791,0.28284271202461875,1.9839588091210594,3328,3.328,13.0,0.8645,5,0.736,0.323,7.39,5,472509
G1_471829,471829,A2-B0-C2-r8,C2-hard,I,0.6320485557986542,0.14142135593730937,5.584067506070041,4079,4.079,11.0,0.972,5,0.653,0.13,7.62,6,472606
G1_471829,471829,A2-B0-C2-r8,C2-hibrido,I,0.5556574096246233,0.8485281356238572,4.410154356221181,4791,4.791,9.0,0.957,5,0.653,0.13,7.62,6,472606
G1_471829,471829,A2-B0-C2-r9,C2-hard,I,0.5937286100316435,0.848528135623857,2.5886415151930713,4029,4.029,11.0,0.967,8,0.759,0.281,7.85,6,472703
G1_471829,471829,A2-B0-C2-r9,C2-hibrido,I,0.5954239126152405,0.5656854237492379,2.95508080799697,4564,4.564,10.0,0.946,8,0.759,0.281,7.85,6,472703
G1_471829,471829,A2-B0-C2-r10,C2-hard,III,1.3570302474922196,3.000942535836998,2.202204611178346,2195,2.195,23.0,0.8175,6,0.391,0.287,7.05,4,472800
