clase,diam_nativo,direccion,giant_nativo,kcap,n_aristas,parte,pendiente,seed_idx
I,,alto_a_bajo,,7,,A_independiente,0.5328460468019731,0
I,,alto_a_bajo,,7,,A_independiente,0.46287992398912026,1
I,,alto_a_bajo,,7,,A_independiente,0.48538295229954864,2
I,,alto_a_bajo,,6,,A_independiente,0.6072055985211784,0
I,,alto_a_bajo,,6,,A_independiente,0.6272864348803074,1
I,,alto_a_bajo,,6,,A_independiente,0.5989981238647305,2
III,,alto_a_bajo,,5,,A_independiente,0.7963990617025629,0
I,,alto_a_bajo,,5,,A_independiente,0.6983101786872973,1
III,,alto_a_bajo,,5,,A_independiente,0.8927525237379366,2
III,,alto_a_bajo,,4,,A_independiente,0.8576379337316221,0
III,,alto_a_bajo,,4,,A_independiente,0.787711242513506,1
III,,alto_a_bajo,,4,,A_independiente,1.1232193727580655,2
III,,bajo_a_alto,,4,,A_independiente,0.8576379337316221,0
III,,bajo_a_alto,,4,,A_independiente,0.787711242513506,1
III,,bajo_a_alto,,4,,A_independiente,1.1232193727580655,2
III,,bajo_a_alto,,5,,A_independiente,0.7963990617025629,0
I,,bajo_a_alto,,5,,A_independiente,0.6983101786872973,1
III,,bajo_a_alto,,5,,A_independiente,0.8927525237379366,2
I,,bajo_a_alto,,6,,A_independiente,0.6072055985211784,0
I,,bajo_a_alto,,6,,A_independiente,0.6272864348803074,1
I,,bajo_a_alto,,6,,A_independiente,0.5989981238647305,2
I,,bajo_a_alto,,7,,A_independiente,0.5328460468019731,0
I,,bajo_a_alto,,7,,A_independiente,0.46287992398912026,1
I,,bajo_a_alto,,7,,A_independiente,0.48538295229954864,2
,8.0,alto_a_bajo,0.994,7,4812,B_topologia_encadenada,,
,11.0,alto_a_bajo,0.986,6,4184,B_topologia_encadenada,,
,14.0,alto_a_bajo,0.9735,5,3560,B_topologia_encadenada,,
,16.0,alto_a_bajo,0.945,4,2859,B_topologia_encadenada,,
,16.0,bajo_a_alto,0.9185,4,2583,B_topologia_encadenada,,
,16.0,bajo_a_alto,0.918,5,2548,B_topologia_encadenada,,
,18.0,bajo_a_alto,0.9145,6,2499,B_topologia_encadenada,,
,20.0,bajo_a_alto,0.912,7,2474,B_topologia_encadenada,,
