rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,brazo,clase_final
A2-B0-C2-r0,2000,1,0.01,20.0,0.8455,0.7987973728213689,2347,87,18.666666666666668,0.4714045217910317,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,1294,2,0.05,15.0,0.7828438948995363,0.7987973728213689,1617,87,13.0,1.6329931628554522,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,885,4,0.08,9.0,0.6892655367231638,0.7987973728213689,1204,87,9.333333333333334,1.2472191299246471,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,685,8,0.1,9.0,0.5985401459854015,0.7987973728213689,996,87,7.0,1e-09,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,550,16,0.12,5.0,0.5,0.7987973728213689,823,87,5.0,1e-09,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,2000,1,0.02,16.0,0.7955,0.6619048156313906,2499,87,21.0,2.160246900469287,1.4101289937733326,C2-hibrido,III
A2-B0-C2-r0,1336,2,0.05,12.0,0.7058383233532934,0.6619048156313906,1812,87,14.666666666666666,1.2472191299246471,1.4101289937733326,C2-hibrido,III
A2-B0-C2-r0,990,4,0.08,8.0,0.6070707070707071,0.6619048156313906,1459,87,9.333333333333334,1.2472191299246471,1.4101289937733326,C2-hibrido,III
A2-B0-C2-r0,799,8,0.12,6.0,0.5143929912390488,0.6619048156313906,1241,87,6.666666666666667,0.4714045217910317,1.4101289937733326,C2-hibrido,III
A2-B0-C2-r0,676,16,0.14,4.0,0.4260355029585799,0.6619048156313906,1062,87,5.0,1e-09,1.4101289937733326,C2-hibrido,III
A2-B0-C2-r0,2000,1,0.02,23.0,0.9875,0.7398633251060235,2624,15,18.0,2.160246900469287,1.561494913376641,C2-budget-soporte,III
A2-B0-C2-r0,1151,2,0.06,16.0,0.9800173761946134,0.7398633251060235,1771,15,12.333333333333334,0.9428090425820633,1.561494913376641,C2-budget-soporte,III
A2-B0-C2-r0,686,4,0.09,11.0,0.9664723032069971,0.7398633251060235,1299,15,8.333333333333334,0.4714045217910317,1.561494913376641,C2-budget-soporte,III
A2-B0-C2-r0,430,8,0.11,6.0,0.9465116279069767,0.7398633251060235,1023,15,6.333333333333333,0.4714045217910317,1.561494913376641,C2-budget-soporte,III
A2-B0-C2-r0,286,16,0.14,5.0,0.9195804195804196,0.7398633251060235,847,15,4.666666666666667,0.4714045217910317,1.561494913376641,C2-budget-soporte,III
A2-B0-C2-r0,2000,1,0.03,13.0,0.983,0.897412254408413,3319,9,14.0,0.816496581927726,1.5519883846506208,C2-random,I
A2-B0-C2-r0,1165,2,0.08,9.0,0.9725321888412017,0.897412254408413,2479,9,9.333333333333334,0.4714045217910317,1.5519883846506208,C2-random,I
A2-B0-C2-r0,744,4,0.14,7.0,0.956989247311828,0.897412254408413,2051,9,6.666666666666667,0.4714045217910317,1.5519883846506208,C2-random,I
A2-B0-C2-r0,475,8,0.18,5.0,0.9326315789473684,0.897412254408413,1751,9,5.0,1e-09,1.5519883846506208,C2-random,I
A2-B0-C2-r0,372,16,0.21,5.0,0.9139784946236559,0.897412254408413,1572,9,4.0,1e-09,1.5519883846506208,C2-random,I
A2-B0-C2-r0,2000,1,0.03,7.0,0.9995,1.510436456559732,6830,171,6.333333333333333,0.4714045217910317,1.672291175944438,C0,I
A2-B0-C2-r0,1098,2,0.1,5.0,0.9990892531876139,1.510436456559732,5905,171,5.666666666666667,0.4714045217910317,1.672291175944438,C0,I
A2-B0-C2-r0,639,4,0.17,5.0,0.9984350547730829,1.510436456559732,5364,171,4.333333333333333,0.4714045217910317,1.672291175944438,C0,I
A2-B0-C2-r0,404,8,0.24,3.0,0.9975247524752475,1.510436456559732,4888,171,4.0,1e-09,1.672291175944438,C0,I
A2-B0-C2-r0,278,16,0.29,4.0,0.9964028776978417,1.510436456559732,3970,171,4.0,1e-09,1.672291175944438,C0,I
A2-B0-C2-r1,2000,1,0.02,19.0,0.849,0.9957685280673134,2305,63,13.0,7.118052169020874,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,1288,2,0.06,14.0,0.7864906832298136,0.9957685280673134,1573,63,13.333333333333334,0.4714045217910317,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,866,4,0.09,9.0,0.6986143187066974,0.9957685280673134,1146,63,9.333333333333334,0.4714045217910317,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,676,8,0.13,6.0,0.6198224852071006,0.9957685280673134,948,63,6.333333333333333,0.4714045217910317,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,540,16,0.15,5.0,0.524074074074074,0.9957685280673134,791,63,5.0,1e-09,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,2000,1,0.02,17.0,0.823,1.0610438989428286,2564,66,18.0,0.816496581927726,1.7688243047604735,C2-hibrido,III
A2-B0-C2-r1,1328,2,0.06,13.0,0.7454819277108434,1.0610438989428286,1879,66,12.666666666666666,1.699673172197595,1.7688243047604735,C2-hibrido,III
A2-B0-C2-r1,946,4,0.1,8.0,0.6448202959830867,1.0610438989428286,1485,66,8.0,0.816496581927726,1.7688243047604735,C2-hibrido,III
A2-B0-C2-r1,753,8,0.14,5.0,0.5537848605577689,1.0610438989428286,1265,66,5.666666666666667,0.4714045217910317,1.7688243047604735,C2-hibrido,III
A2-B0-C2-r1,648,16,0.18,4.0,0.48148148148148145,1.0610438989428286,1084,66,5.0,1e-09,1.7688243047604735,C2-hibrido,III
A2-B0-C2-r1,2000,1,0.02,16.0,0.9775,1.1386686379282827,2928,15,16.333333333333332,0.4714045217910317,1.977297201357194,C2-budget-soporte,I
A2-B0-C2-r1,1163,2,0.06,11.0,0.9647463456577816,1.1386686379282827,2089,15,12.0,0.816496581927726,1.977297201357194,C2-budget-soporte,I
A2-B0-C2-r1,711,4,0.09,8.0,0.9423347398030942,1.1386686379282827,1632,15,7.666666666666667,0.4714045217910317,1.977297201357194,C2-budget-soporte,I
