rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,holon_b1,K,J,noise,meandeg,kcap,seed
A2-B0-C2-r0,C2-hard,III,1.0222716796930504,0.6846845938711765,2.133717197214872,3099,3.099,17.0,0.9175,0.6367081080691963,4,0.404,0.234,7.64,5,90212
A2-B0-C2-r0,C2-hibrido,III,1.0869458832005492,0.2449489739783178,1.990316185900521,3467,3.467,15.0,0.8765,0.668639905661768,4,0.404,0.234,7.64,5,90212
A2-B0-C2-r0,C2-budget-soporte,I,0.590181245063242,0.12700012695180335,3.7772117332378428,3816,3.816,12.0,0.9875,0.44226999113974064,4,0.404,0.234,7.64,5,90212
A2-B0-C2-r0,C2-random,I,0.49216105210551075,0.6502661729170958,1.8389011333937995,4379,4.379,10.0,0.992,0.5557073705492787,4,0.404,0.234,7.64,5,90212
A2-B0-C2-r0,C0,I,0.2692110083576707,0.5656854237492382,1.0140572833683916,7640,7.64,6.0,0.998,1.0936901508300565,4,0.404,0.234,7.64,5,90212
A2-B0-C2-r1,C2-hard,I,0.4550066784973737,0.5656854237492379,2.4658461050811,4663,4.663,10.0,0.9915,0.7026597621415233,7,0.688,0.281,5.78,7,90309
A2-B0-C2-r1,C2-hibrido,I,0.45779012901159294,0.4242640678119285,1.647224228601185,5624,5.624,9.0,0.9955,0.6557809009772856,7,0.688,0.281,5.78,7,90309
A2-B0-C2-r1,C2-budget-soporte,II,0.4231532315413797,0.9899494915611664,1.877697954964566,4663,4.663,9.0,0.995,0.6935380246396008,7,0.688,0.281,5.78,7,90309
A2-B0-C2-r1,C2-random,II,0.4128759116097801,0.848528135623857,1.654485634043926,5633,5.633,9.0,0.9955,0.8319979503843701,7,0.688,0.281,5.78,7,90309
A2-B0-C2-r1,C0,II,0.3876588779492154,0.636396101792893,1.9646715954072236,5780,5.78,9.0,0.9965,0.7671385812338346,7,0.688,0.281,5.78,7,90309
A2-B0-C2-r2,C2-hard,III,0.8981925887843726,2.404163050934261,1.8847997696535876,3175,3.175,17.0,0.934,0.7957535512942192,7,0.508,0.259,7.01,5,90406
A2-B0-C2-r2,C2-hibrido,III,0.8695325763946667,0.336294960214247,1.6525650986879836,3578,3.578,13.0,0.9065,0.9387789237883061,7,0.508,0.259,7.01,5,90406
A2-B0-C2-r2,C2-budget-soporte,I,0.5970907414099886,0.5656854237492379,1.4691640713332261,3812,3.812,13.0,0.996,0.9532101507378306,7,0.508,0.259,7.01,5,90406
A2-B0-C2-r2,C2-random,I,0.5152258511416159,0.5656854237492382,2.0315876193565323,4275,4.275,11.0,0.9915,0.9437464389117008,7,0.508,0.259,7.01,5,90406
A2-B0-C2-r2,C0,II,0.3984998126249963,0.6363961017928927,1.4234156476169497,7010,7.01,7.0,1.0,1.0098532136701137,7,0.508,0.259,7.01,5,90406
A2-B0-C2-r3,C2-hard,III,0.7411183519859619,0.3897472085538745,1.6455996167635007,3390,3.39,14.0,0.9645,0.7614505758367172,5,0.66,0.313,5.34,5,90503
A2-B0-C2-r3,C2-hibrido,II,0.4329580681962777,0.35355338991827345,2.138300089318878,4850,4.85,9.0,0.9945,0.7547121779961687,5,0.66,0.313,5.34,5,90503
A2-B0-C2-r3,C2-budget-soporte,I,0.4914708427944836,0.21213203398096464,2.263963347889148,3584,3.584,12.0,0.9915,0.8082265278341332,5,0.66,0.313,5.34,5,90503
A2-B0-C2-r3,C2-random,I,0.3341480030476639,0.3863703299156276,1.2226670826793218,4880,4.88,8.0,0.995,1.026012281782906,5,0.66,0.313,5.34,5,90503
A2-B0-C2-r3,C0,II,0.44151421065494395,0.14142135593730937,1.5464164767985016,5340,5.34,9.0,0.997,1.0321475726855842,5,0.66,0.313,5.34,5,90503
A2-B0-C2-r4,C2-hard,I,0.6201792798229793,0.28284271187461874,3.8025956814398176,4509,4.509,13.0,0.9945,0.32132349357907536,5,0.561,0.109,5.18,7,90600
A2-B0-C2-r4,C2-hibrido,II,0.39412532497886815,0.28284271187461874,5.3898295550066315,5068,5.068,9.0,0.9965,0.3089726246016606,5,0.561,0.109,5.18,7,90600
A2-B0-C2-r4,C2-budget-soporte,I,0.4639236109935877,0.14142135593730937,2.4192039318515435,4430,4.43,10.0,0.997,0.5848893991302155,5,0.561,0.109,5.18,7,90600
A2-B0-C2-r4,C2-random,II,0.3986386976167939,0.4242640678119288,5.417885557346638,5054,5.054,9.0,0.9945,0.2825557402682,5,0.561,0.109,5.18,7,90600
A2-B0-C2-r4,C0,II,0.3883356451675554,0.5656854237492379,2.5097953767595786,5180,5.18,9.0,0.9975,0.5633404683169984,5,0.561,0.109,5.18,7,90600
A2-B0-C2-r5,C2-hard,I,0.4965486876341615,0.9899494920111666,2.502240589197241,3922,3.922,10.0,0.9835,0.482329536661552,5,0.769,0.338,4.97,6,90697
A2-B0-C2-r5,C2-hibrido,II,0.4425411119811575,0.28284271187461874,2.3211674871783243,4879,4.879,9.0,0.991,0.7802753422207397,5,0.769,0.338,4.97,6,90697
A2-B0-C2-r5,C2-budget-soporte,I,0.4827233893636391,0.9899494920111666,1.2749361282287386,3911,3.911,10.0,0.9855,0.8980251537008992,5,0.769,0.338,4.97,6,90697
A2-B0-C2-r5,C2-random,II,0.43576054475227327,0.14142135593730937,1.611775501543945,4869,4.869,9.0,0.989,0.9243433646882145,5,0.769,0.338,4.97,6,90697
