rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final,pendiente_real,z_agg,holon_ratio
A0-B0-C0-r0,2000,1,0.06,4.0,1.0,1.7073953326162343,14165,1500,4.333333333333333,0.4714045217910317,1.475279420528293,A0,B0,C0,I,0.23293582664532067,0.4242640678119283,0.8640526258600747
A0-B0-C0-r0,1052,2,0.3,3.0,1.0,1.7073953326162343,13010,1500,3.6666666666666665,0.4714045217910317,1.475279420528293,A0,B0,C0,I,0.23293582664532067,0.4242640678119283,0.8640526258600747
A0-B0-C0-r0,569,4,0.44,3.0,1.0,1.7073953326162343,11967,1500,3.0,1e-09,1.475279420528293,A0,B0,C0,I,0.23293582664532067,0.4242640678119283,0.8640526258600747
A0-B0-C0-r0,319,8,0.56,3.0,1.0,1.7073953326162343,10009,1500,3.0,1e-09,1.475279420528293,A0,B0,C0,I,0.23293582664532067,0.4242640678119283,0.8640526258600747
A0-B0-C0-r0,192,16,0.66,2.0,1.0,1.7073953326162343,6300,1500,2.0,1e-09,1.475279420528293,A0,B0,C0,I,0.23293582664532067,0.4242640678119283,0.8640526258600747
A0-B0-C0-r1,2000,1,0.12,4.0,1.0,1.9992764336498992,20148,1500,4.0,1e-09,1.4936335893882067,A0,B0,C0,I,0.28604382560083547,0.0,0.7470870782293043
A0-B0-C0-r1,1034,2,0.42,3.0,1.0,1.9992764336498992,18877,1500,3.0,1e-09,1.4936335893882067,A0,B0,C0,I,0.28604382560083547,0.0,0.7470870782293043
A0-B0-C0-r1,549,4,0.64,3.0,1.0,1.9992764336498992,17447,1500,3.0,1e-09,1.4936335893882067,A0,B0,C0,I,0.28604382560083547,0.0,0.7470870782293043
A0-B0-C0-r1,290,8,0.86,2.0,1.0,1.9992764336498992,14088,1500,2.0,1e-09,1.4936335893882067,A0,B0,C0,I,0.28604382560083547,0.0,0.7470870782293043
A0-B0-C0-r1,163,16,1.16,2.0,1.0,1.9992764336498992,7558,1500,2.0,1e-09,1.4936335893882067,A0,B0,C0,I,0.28604382560083547,0.0,0.7470870782293043
A0-B0-C0-r2,2000,1,0.07,5.0,1.0,1.4083717197955177,9932,1005,5.0,1e-09,1.4864296367205276,A0,B0,C0,I,0.11843534505065446,0.9899494915611664,1.0554242291490652
A0-B0-C0-r2,1068,2,0.21,5.0,1.0,1.4083717197955177,8879,1005,4.0,1e-09,1.4864296367205276,A0,B0,C0,I,0.11843534505065446,0.9899494915611664,1.0554242291490652
A0-B0-C0-r2,586,4,0.34,4.0,1.0,1.4083717197955177,8037,1005,3.3333333333333335,0.4714045217910317,1.4864296367205276,A0,B0,C0,I,0.11843534505065446,0.9899494915611664,1.0554242291490652
