rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,holon_b1,K,J,noise,meandeg,kcap,seed
A2-B0-C2-r0,C2-hard,III,0.9998267074710889,0.864086646217183,2.2271793063721197,2347,2.347,20.0,0.8455,0.7987973728213689,6,0.656,0.292,6.83,4,90211
A2-B0-C2-r0,C2-budget,III,0.7190848327487122,1.1313708474984754,3.458969633732958,3228,3.228,15.0,0.9925,0.7628882886409383,6,0.656,0.292,6.83,4,90211
A2-B0-C2-r0,C2-random,III,0.7649746072519233,0.8872070160511821,1.9223787977920879,2805,2.805,20.0,0.9775,1.4261436266848158,6,0.656,0.292,6.83,4,90211
A2-B0-C2-r0,C0,I,0.338432401453184,0.8485281356238573,1.107157582619104,6830,6.83,7.0,0.9995,1.510436456559732,6,0.656,0.292,6.83,4,90211
A2-B0-C2-r1,C2-hard,III,1.0632882000648969,0.7342708698102586,1.5265218143444044,2305,2.305,19.0,0.849,0.9957685280673134,6,0.311,0.316,6.39,4,90308
A2-B0-C2-r1,C2-budget,I,0.6629245765048999,0.6725899204284932,1.6080147506777513,3016,3.016,16.0,0.98,0.868338359042701,6,0.311,0.316,6.39,4,90308
A2-B0-C2-r1,C2-random,III,0.9429524831380415,1.6970562730477134,4.305946020516014,2618,2.618,23.0,0.954,0.6247536015942914,6,0.311,0.316,6.39,4,90308
A2-B0-C2-r1,C0,II,0.4193842997849375,0.7071067796865478,0.9499963547665702,6390,6.39,8.0,0.997,1.8698475293082404,6,0.311,0.316,6.39,4,90308
A2-B0-C2-r2,C2-hard,I,0.4777129452495882,0.565685423749238,2.095859975422493,4140,4.14,10.0,0.9865,0.6595168091698562,4,0.717,0.338,6.92,6,90405
A2-B0-C2-r2,C2-budget,II,0.43964153724448773,0.8485281356238573,2.2919970877232343,4631,4.631,10.0,0.996,0.6578336456313877,4,0.717,0.338,6.92,6,90405
A2-B0-C2-r2,C2-random,I,0.46180336515260445,0.848528135623857,2.287817087621365,4389,4.389,10.0,0.992,0.4302084996507949,4,0.717,0.338,6.92,6,90405
A2-B0-C2-r2,C0,I,0.27602413638038814,0.8485281356238566,1.023797566800286,6920,6.92,7.0,0.9985,1.3236909295092758,4,0.717,0.338,6.92,6,90405
