origen,rule_id,clase,pendiente,z_agg,holon_ratio,K,J,noise,meandeg,kcap,sim_thr_frac,seed
original_barrido180,A2-B0-C2-r0,III,0.722456858582056,0.9209157730450587,1.7673319588526024,,,,,,,
original_barrido180,A2-B0-C2-r1,III,0.7440775234439412,0.527791685852937,1.3189852950441294,,,,,,,
original_barrido180,A2-B0-C2-r2,III,0.9127765177222188,2.2525880993490572,4.2276306924893685,,,,,,,
original_barrido180,A2-B0-C2-r3,I,0.4893766436859014,1.1313708474984758,2.88265213628864,,,,,,,
original_barrido180,A2-B0-C2-r4,I,0.49104344897799523,1.2727922034357855,2.537253831229356,,,,,,,
original_barrido180,A2-B0-C2-r0,I,0.6744723292487295,0.6725899207284936,1.5564589072255302,,,,,,,
original_barrido180,A2-B0-C2-r1,I,0.5734787792188561,0.4242640679619285,1.852094563991677,,,,,,,
original_barrido180,A2-B0-C2-r2,I,0.5160156391825356,0.5656854237492382,1.8896110963479962,,,,,,,
original_barrido180,A2-B0-C2-r3,III,0.8271293462076427,0.9848726938122189,0.9335633722232292,,,,,,,
original_barrido180,A2-B0-C2-r4,III,0.7717505895752674,1.8384776279350237,2.161731275715739,,,,,,,
nueva_profundizar,A2-B0-C2-r0,intermedio (sin clase clara),-0.8543832048975385,4.745376491823968,2.418427084394883,8,0.717,0.222,5.83,4,0.159,271829
nueva_profundizar,A2-B0-C2-r1,I,0.6651600933305303,1.34350288147944,3.2423418870174947,5,0.659,0.234,7.63,6,0.285,271926
nueva_profundizar,A2-B0-C2-r2,III,0.8536460916512799,0.9899494915611667,1.8251231800516066,7,0.351,0.15,7.28,5,0.252,272023
nueva_profundizar,A2-B0-C2-r3,I,0.6976790159601658,0.7778174577302025,6.113449030855392,4,0.454,0.1,5.92,5,0.343,272120
nueva_profundizar,A2-B0-C2-r4,III,0.7671457558663973,2.9698484746835,1.6055037626115969,7,0.661,0.261,4.39,7,0.189,272217
nueva_profundizar,A2-B0-C2-r5,I,0.6276459043873612,0.0,1.8862086888845984,4,0.684,0.334,7.87,6,0.324,272314
nueva_profundizar,A2-B0-C2-r6,I,0.6017022732300992,0.2828427118746195,1.967789496485271,7,0.632,0.119,5.38,5,0.231,272411
nueva_profundizar,A2-B0-C2-r7,III,0.7290384711955509,0.6467908559748752,1.756835424637788,6,0.329,0.176,4.59,6,0.262,272508
nueva_profundizar,A2-B0-C2-r8,I,0.5566708815619307,0.2828427118746191,1.404743665909311,7,0.314,0.157,6.25,6,0.161,272605
nueva_profundizar,A2-B0-C2-r9,I,0.5562821419510406,1.18480013610495,1.9133033938338635,5,0.493,0.244,4.25,7,0.298,272702
nueva_profundizar,A2-B0-C2-r10,III,0.8170446241137821,0.9141620160685641,1.6415310856543042,5,0.378,0.338,7.38,5,0.167,272799
nueva_profundizar,A2-B0-C2-r11,III,0.8190934679416606,1.0968310285072689,2.3244894706578023,7,0.78,0.155,5.59,4,0.22,272896
nueva_profundizar,A2-B0-C2-r12,I,0.48652418813387427,0.7071067796865472,4.3859536175560345,5,0.6,0.203,5.75,7,0.254,272993
nueva_profundizar,A2-B0-C2-r13,III,0.9997896329855581,0.8847219547094578,2.5191978319868884,7,0.732,0.245,5.95,4,0.309,273090
nueva_profundizar,A2-B0-C2-r14,III,0.7727847916834328,1.2626386077878904,3.000175750829268,8,0.567,0.198,5.76,5,0.205,273187
nueva_profundizar,A2-B0-C2-r15,II,0.4258219869512894,0.5656854237492379,6.243288760129401,8,0.758,0.104,6.49,7,0.252,273284
nueva_profundizar,A2-B0-C2-r16,III,1.0794242481222383,0.6346961826821923,2.0190613582745063,8,0.406,0.179,6.96,4,0.161,273381
nueva_profundizar,A2-B0-C2-r17,III,0.7340887838072675,1.697056271247714,2.7383105329699053,5,0.475,0.211,7.35,5,0.329,273478
nueva_profundizar,A2-B0-C2-r18,I,0.4588484424040188,1.131370847498476,2.141169294685989,6,0.479,0.131,7.45,7,0.307,273575
nueva_profundizar,A2-B0-C2-r19,III,0.7198659721923727,0.24832585261656512,1.798625097520326,5,0.341,0.326,4.02,7,0.309,273672
