rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio
A2-B0-C2-batch3-r0,III,471829,5,0.413,0.225,6.59,4,0.212,1.0889055843285758,0.4242640681119285,2.694269544312323
A2-B0-C2-batch3-r1,I,471926,7,0.531,0.171,5.85,6,0.254,0.5443072908377864,0.14142135608730938,2.4708879475171703
A2-B0-C2-batch3-r2,I,472023,5,0.653,0.243,6.75,7,0.35,0.46869564411259834,0.5656854237492382,2.4493130221164
A2-B0-C2-batch3-r3,IV,472120,8,0.763,0.109,5.28,4,0.166,0.8655644525698469,0.5088448169797865,5.242551991499722
A2-B0-C2-batch3-r4,I,472217,8,0.537,0.176,7.68,6,0.241,0.645640037342163,0.42426406801192823,3.298927847539667
A2-B0-C2-batch3-r5,I,472314,6,0.494,0.283,7.48,6,0.264,0.6602354017251393,0.6363961020928924,1.6937695058132107
A2-B0-C2-batch3-r6,I,472411,6,0.561,0.26,6.49,6,0.217,0.5587947564533653,0.42426406796192834,2.368997150775501
A2-B0-C2-batch3-r7,III,472508,4,0.311,0.219,6.7,4,0.317,1.137549668082434,1.517741177414103,1.4482207463063688
A2-B0-C2-batch3-r8,I,472605,8,0.508,0.174,7.85,6,0.179,0.6712821094366846,0.28284271217461915,2.8272844524019933
A2-B0-C2-batch3-r9,I,472702,7,0.343,0.205,6.02,6,0.161,0.4789609415912562,0.5656854240492377,1.7200678297848033
A2-B0-C2-batch3-r10,III,472799,7,0.524,0.164,7.54,5,0.233,0.80676744249643,1.0934771096021745,2.5489564920091325
A2-B0-C2-batch3-r11,I,472896,6,0.56,0.169,5.78,6,0.267,0.5781892299473196,0.7071067796865476,2.11386932120781
A2-B0-C2-batch3-r12,III,472993,5,0.745,0.243,4.61,5,0.281,0.7435032678648852,0.9899494915611664,2.059568248625903
A2-B0-C2-batch3-r13,I,473090,6,0.619,0.185,5.79,6,0.156,0.46843938567945353,0.35355339021827364,1.8162260269384896
A2-B0-C2-batch3-r14,I,473187,8,0.52,0.147,4.98,6,0.3,0.5568533853758011,0.14142135593730937,5.262433170697002
A2-B0-C2-batch3-r15,intermedio (sin clase clara),473284,4,0.404,0.19,6.87,6,0.279,-0.5919387374002495,4.384062034056594,2.571771058703554
A2-B0-C2-batch3-r16,III,473381,5,0.508,0.295,4.83,4,0.163,0.8968022336431689,1.0555833717058731,2.8713368432151234
A2-B0-C2-batch3-r17,III,473478,5,0.64,0.214,5.65,5,0.152,0.7663107629363343,0.3379719197417933,2.524701798321974
A2-B0-C2-batch3-r18,I,473575,6,0.62,0.337,5.5,6,0.316,0.5031320129177096,0.4242640679619285,2.154495714418434
A2-B0-C2-batch3-r19,III,473672,8,0.621,0.169,7.33,4,0.28,1.2994486661254165,0.4922006898375269,2.4093654506473974
A2-B0-C2-batch3-r20,I,473769,4,0.488,0.343,5.3,6,0.309,0.5815043461890429,0.38637033011562727,1.8956445704469893
A2-B0-C2-batch3-r21,III,473866,6,0.346,0.134,5.31,5,0.234,0.7248004383475681,0.9141620157685638,2.4943565571202835
A2-B0-C2-batch3-r22,III,473963,5,0.694,0.11,4.92,4,0.17,0.8193690775347898,0.6191376723888654,4.535286164129724
A2-B0-C2-batch3-r23,III,474060,7,0.498,0.338,7.03,5,0.206,0.7756156905187971,0.4966517052331302,1.4544825356267723
A2-B0-C2-batch3-r24,III,474157,7,0.632,0.158,5.06,4,0.266,1.0570865976892367,1.086506591995256,1.948823148535287
A2-B0-C2-batch3-r25,III,474254,8,0.481,0.207,6.78,5,0.177,0.7951507684630401,0.2689578611486799,1.782882565465957
A2-B0-C2-batch3-r26,III,474351,8,0.682,0.271,6.44,5,0.327,0.73199955526079,0.6161371680936989,2.6123362306084625
A2-B0-C2-batch3-r27,III,474448,4,0.774,0.124,7.76,4,0.213,1.4356623577731744,1.2348984665394844,4.174743268136778
A2-B0-C2-batch3-r28,III,474545,8,0.512,0.28,5.25,4,0.224,0.8845370387448636,1.4676658077127234,2.567316724413391
A2-B0-C2-batch3-r29,II,474642,5,0.725,0.101,5.58,7,0.199,0.4211602069238034,0.7071067799865476,3.848250941709645
