carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,par,rol,match_exacto_K_kcap,origen_par
A2-B0-C2-batch3-r59_I,A2-B0-C2-batch3-r59,I,477552,7,0.545,0.26,4.12,5,3159,14.0,2000,cosmog_00500,16854.2,1945.8000000000006,18800.0,0.10350000000000004,8,0.034,1945.8,0.6063829787234043,0.6009316770186336,0,A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,I,True,v3_sobrante
A2-B0-C2-batch3-r58_III,A2-B0-C2-batch3-r58,III,477455,7,0.458,0.155,4.11,5,3150,15.0,2000,cosmog_00500,16873.0,1927.0000000000007,18800.0,0.10250000000000004,8,0.035,1927.0,0.5737704918032787,0.5803571428571428,0,A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,III,True,v3_sobrante
A2-B0-C2-batch3-r107_I,A2-B0-C2-batch3-r107,I,482208,6,0.643,0.335,6.46,5,3248,13.0,2000,cosmog_00500,16797.8,2002.2000000000007,18800.0,0.10650000000000004,8,0.031,2002.2,0.618556701030928,0.6229204822954824,0,A2-B0-C2-batch3-r107_vs_A2-B0-C2-batch3-r71,I,True,v3_sobrante
A2-B0-C2-batch3-r71_III,A2-B0-C2-batch3-r71,III,478716,6,0.463,0.202,7.98,5,3012,14.0,2000,cosmog_00500,16356.0,2444.0,18800.0,0.13,8,0.032,2444.0,1.0046948356807506,1.0001157407407402,0,A2-B0-C2-batch3-r107_vs_A2-B0-C2-batch3-r71,III,True,v3_sobrante
A2-B0-C2-batch3-r112_I,A2-B0-C2-batch3-r112,I,482693,6,0.64,0.311,4.4,5,3233,14.0,2000,cosmog_00500,16891.8,1908.2000000000007,18800.0,0.10150000000000003,8,0.042,1908.1999999999998,0.5606060606060604,0.5607638888888888,0,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,I,True,v3_sobrante
A2-B0-C2-batch3-r108_III,A2-B0-C2-batch3-r108,III,482305,6,0.557,0.129,4.23,5,3245,16.0,2000,cosmog_00500,16957.600000000002,1842.4000000000005,18800.000000000004,0.098,8,0.037,1842.4,0.49723756906077327,0.4864718614718615,0,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108,III,True,v3_sobrante
A2-B0-C2-batch3-r120_I,A2-B0-C2-batch3-r120,I,483469,6,0.656,0.147,5.38,5,3396,13.0,2000,cosmog_00500,17061.0,1739.0000000000007,18800.0,0.09250000000000004,8,0.034,1739.0000000000002,0.4444444444444445,0.44816468253968256,0,A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,I,True,v3_sobrante
A2-B0-C2-batch3-r111_III,A2-B0-C2-batch3-r111,III,482596,6,0.465,0.345,7.52,5,3017,15.0,2000,cosmog_00500,16506.4,2293.6000000000004,18800.0,0.12200000000000003,8,0.036,2293.5999999999995,0.838235294117647,0.84375,0,A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,III,True,v3_sobrante
A2-B0-C2-batch3-r76_I,A2-B0-C2-batch3-r76,I,479201,8,0.679,0.309,5.83,5,3332,12.0,2000,cosmog_00500,16797.8,2002.2000000000007,18800.0,0.10650000000000004,8,0.036,2002.2,0.6825396825396828,0.6732837301587303,0,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,I,True,v3_sobrante
A2-B0-C2-batch3-r26_III,A2-B0-C2-batch3-r26,III,474351,8,0.682,0.271,6.44,5,3258,15.0,2000,cosmog_00500,16703.8,2096.2000000000007,18800.0,0.11150000000000004,8,0.032,2096.2000000000003,0.7205882352941176,0.7100694444444444,0,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,III,True,v3_sobrante
