bateria,carpeta,ruta,n_sumideros,error,N_ic,seed_layout,turb_seed_header,con_turbulencia,npart_setup_log,tiene_ic
ON77_sistemaA_cierre,ic_N2000,/Users/alexis/phantom_cs073/ON77_sistemaA_cierre/ic_N2000,10,,2000,,,,,True
ON77_sistemaA_cierre,ic_N4000,/Users/alexis/phantom_cs073/ON77_sistemaA_cierre/ic_N4000,29,,4000,,,,,True
ON77_sistemaA_cierre,ic_N8000,/Users/alexis/phantom_cs073/ON77_sistemaA_cierre/ic_N8000,122,,8000,,,,,True
ON77_sistemaB_cierre,ic_H1,/Users/alexis/phantom_cs073/ON77_sistemaB_cierre/ic_H1,8,,2000,,,,,True
ON77_sistemaB_cierre,ic_H16,/Users/alexis/phantom_cs073/ON77_sistemaB_cierre/ic_H16,7,,2000,,,,,True
ON77_sistemaB_cierre,ic_H2,/Users/alexis/phantom_cs073/ON77_sistemaB_cierre/ic_H2,9,,2000,,,,,True
ON77_sistemaB_cierre,ic_H4,/Users/alexis/phantom_cs073/ON77_sistemaB_cierre/ic_H4,8,,2000,,,,,True
ON77_sistemaB_cierre,ic_H8,/Users/alexis/phantom_cs073/ON77_sistemaB_cierre/ic_H8,8,,2000,,,,,True
bateria_fase5b_a2b0c2_piloto,A2-B0-C2-r14_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r14_III,8,,2000,12345,,True,,True
bateria_fase5b_a2b0c2_piloto,A2-B0-C2-r17_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r17_III,8,,2000,12345,,True,,True
bateria_fase5b_a2b0c2_piloto,A2-B0-C2-r19_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r19_III,8,,2000,12345,,True,,True
bateria_fase5b_a2b0c2_piloto,A2-B0-C2-r1_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r1_I,8,,2000,12345,,True,,True
bateria_fase5b_a2b0c2_piloto,A2-B0-C2-r6_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r6_I,8,,2000,12345,,True,,True
bateria_fase5b_a2b0c2_piloto,A2-B0-C2-r9_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r9_I,8,,2000,12345,,True,,True
bateria_grafo_random_masa_fija,ic_masaFija_N1000_s1,/Users/alexis/phantom_cs073/bateria_grafo_random_masa_fija/ic_masaFija_N1000_s1,3,,1000,1000001,,,,True
bateria_grafo_random_masa_fija,ic_masaFija_N1000_s2,/Users/alexis/phantom_cs073/bateria_grafo_random_masa_fija/ic_masaFija_N1000_s2,1,,1000,1000002,,,,True
bateria_grafo_random_masa_fija,ic_masaFija_N2000_s1,/Users/alexis/phantom_cs073/bateria_grafo_random_masa_fija/ic_masaFija_N2000_s1,8,,2000,2000001,,,,True
bateria_grafo_random_masa_fija,ic_masaFija_N2000_s2,/Users/alexis/phantom_cs073/bateria_grafo_random_masa_fija/ic_masaFija_N2000_s2,8,,2000,2000002,,,,True
bateria_grafo_random_n2000,ic_random_s701,/Users/alexis/phantom_cs073/bateria_grafo_random_n2000/ic_random_s701,8,,2000,701,,,,True
bateria_grafo_random_n2000,ic_random_s702,/Users/alexis/phantom_cs073/bateria_grafo_random_n2000/ic_random_s702,8,,2000,702,,,,True
bateria_grafo_random_n2000,ic_random_s703,/Users/alexis/phantom_cs073/bateria_grafo_random_n2000/ic_random_s703,8,,2000,703,,,,True
bateria_grafo_random_n2000,ic_random_s704,/Users/alexis/phantom_cs073/bateria_grafo_random_n2000/ic_random_s704,8,,2000,704,,,,True
bateria_grafo_random_n2000,ic_random_s705,/Users/alexis/phantom_cs073/bateria_grafo_random_n2000/ic_random_s705,8,,2000,705,,,,True
bateria_grafo_random_n2000,ic_random_s706,/Users/alexis/phantom_cs073/bateria_grafo_random_n2000/ic_random_s706,8,,2000,706,,,,True
bateria_grafo_random_n2000,ic_random_s707,/Users/alexis/phantom_cs073/bateria_grafo_random_n2000/ic_random_s707,8,,2000,707,,,,True
bateria_grafo_random_n2000,ic_random_s708,/Users/alexis/phantom_cs073/bateria_grafo_random_n2000/ic_random_s708,8,,2000,708,,,,True
bateria_n2000,ic_null1,/Users/alexis/phantom_cs073/bateria_n2000/ic_null1,8,,2000,,,,,True
bateria_n2000,ic_null2,/Users/alexis/phantom_cs073/bateria_n2000/ic_null2,8,,2000,,,,,True
bateria_n2000,ic_null3,/Users/alexis/phantom_cs073/bateria_n2000/ic_null3,8,,2000,,,,,True
bateria_n2000,ic_null4,/Users/alexis/phantom_cs073/bateria_n2000/ic_null4,7,,2000,,,,,True
bateria_n2000,ic_null5,/Users/alexis/phantom_cs073/bateria_n2000/ic_null5,8,,2000,,,,,True
bateria_n2000,ic_null6,/Users/alexis/phantom_cs073/bateria_n2000/ic_null6,8,,2000,,,,,True
bateria_n2000,ic_null7,/Users/alexis/phantom_cs073/bateria_n2000/ic_null7,8,,2000,,,,,True
bateria_n2000,ic_null8,/Users/alexis/phantom_cs073/bateria_n2000/ic_null8,8,,2000,,,,,True
bateria_n2000,ic_real,/Users/alexis/phantom_cs073/bateria_n2000/ic_real,8,,2000,,,,,True
bateria_n2000,ic_real_apr_sink,/Users/alexis/phantom_cs073/bateria_n2000/ic_real_apr_sink,8,,,,,,,False
bateria_null3_n2000,ic_null3_s501,/Users/alexis/phantom_cs073/bateria_null3_n2000/ic_null3_s501,8,,2000,,,,,True
bateria_null3_n2000,ic_null3_s502,/Users/alexis/phantom_cs073/bateria_null3_n2000/ic_null3_s502,8,,2000,,,,,True
bateria_null3_n2000,ic_null3_s503,/Users/alexis/phantom_cs073/bateria_null3_n2000/ic_null3_s503,8,,2000,,,,,True
bateria_null3_n2000,ic_null3_s504,/Users/alexis/phantom_cs073/bateria_null3_n2000/ic_null3_s504,8,,2000,,,,,True
bateria_null3_n2000,ic_null3_s505,/Users/alexis/phantom_cs073/bateria_null3_n2000/ic_null3_s505,8,,2000,,,,,True
bateria_null3_n2000,ic_null3_s506,/Users/alexis/phantom_cs073/bateria_null3_n2000/ic_null3_s506,8,,2000,,,,,True
bateria_null3_n2000,ic_null3_s507,/Users/alexis/phantom_cs073/bateria_null3_n2000/ic_null3_s507,8,,2000,,,,,True
bateria_null3_n2000,ic_null3_s508,/Users/alexis/phantom_cs073/bateria_null3_n2000/ic_null3_s508,8,,2000,,,,,True
bateria_null4_n2000,ic_null4_s601,/Users/alexis/phantom_cs073/bateria_null4_n2000/ic_null4_s601,8,,2000,,,,,True
bateria_null4_n2000,ic_null4_s602,/Users/alexis/phantom_cs073/bateria_null4_n2000/ic_null4_s602,9,,2000,,,,,True
