n,n_pos,n_neg,n_cero,p_signos,W,p_wilcoxon,n_pos_extremidad
40,21,19,0,0.8746293123804207,392.0,0.8160389817658142,1
40,21,19,0,0.8746293123804207,372.0,0.617864971896779,1
40,22,18,0,0.6358280026288412,371.0,0.6085058219759958,2
40,20,20,0,1.0,315.0,0.20641296513713314,0
40,21,19,0,0.8746293123804207,389.0,0.7852034492480016,1
40,16,24,0,0.26818725105476915,318.0,0.2213606056466233,4
40,27,13,0,0.03847730828420026,238.0,0.01998793531311094,7
40,21,19,0,0.8746293123804207,407.0,0.9734926504152099,1
40,19,21,0,0.8746293123804207,379.0,0.6850159026034817,1
40,21,19,0,0.8746293123804207,401.0,0.9100459608780511,1
40,21,19,0,0.8746293123804207,369.0,0.589975534387122,1
40,15,25,0,0.1538599441628321,279.0,0.07932943338346377,5
40,19,21,0,0.8746293123804207,381.0,0.7046876743079338,1
40,16,24,0,0.26818725105476915,340.0,0.35409228332900966,4
40,18,22,0,0.6358280026288412,405.0,0.9523059934635967,2
40,16,24,0,0.26818725105476915,339.0,0.34716529149409325,4
40,22,18,0,0.6358280026288412,341.0,0.3611039877814619,2
40,17,23,0,0.42959050784338615,311.0,0.18761708125202858,3
40,20,20,0,1.0,379.0,0.6850159026034817,0
40,23,17,0,0.42959050784338615,323.0,0.24792719178185507,3
40,20,20,0,1.0,388.0,0.7749952346202917,0
40,23,17,0,0.42959050784338615,339.0,0.34716529149409325,3
40,20,20,0,1.0,367.0,0.5717037787562731,0
40,18,22,0,0.6358280026288412,351.0,0.4358124383925315,2
40,20,20,0,1.0,392.0,0.8160389817658142,0
40,26,14,0,0.0806904677519924,298.0,0.13508384089254832,6
40,18,22,0,0.6358280026288412,347.0,0.40493773964954016,2
40,21,19,0,0.8746293123804207,410.0,1.0,1
40,18,21,1,0.7492586247608418,365.0,0.7271831935689568,2
40,22,18,0,0.6358280026288412,390.0,0.7954479165618977,2
40,19,21,0,0.8746293123804207,326.0,0.26487403590545,1
40,16,24,0,0.26818725105476915,359.0,0.5013747400735156,4
40,22,18,0,0.6358280026288412,348.0,0.4125340336249792,2
40,23,17,0,0.42959050784338615,326.0,0.26487403590545,3
40,19,21,0,0.8746293123804207,350.0,0.42797189528209856,1
40,19,21,0,0.8746293123804207,373.0,0.6272851643807371,1
40,24,16,0,0.26818725105476915,321.0,0.23705031063764181,4
40,19,21,0,0.8746293123804207,400.0,0.8995151304461615,1
40,21,19,0,0.8746293123804207,404.0,0.9417240968323313,1
40,24,16,0,0.26818725105476915,399.0,0.8890015714441688,4
40,22,18,0,0.6358280026288412,408.0,0.9840937587196095,2
40,20,20,0,1.0,397.0,0.8680334030395898,0
40,20,20,0,1.0,362.0,0.5272133391008538,0
40,21,19,0,0.8746293123804207,404.0,0.9417240968323313,1
40,18,22,0,0.6358280026288412,349.0,0.42021225081225566,2
40,15,25,0,0.1538599441628321,295.0,0.12471638389069994,5
40,24,16,0,0.26818725105476915,329.0,0.2825841121848498,4
40,23,17,0,0.42959050784338615,363.0,0.5359713830403052,3
40,19,21,0,0.8746293123804207,364.0,0.5448004511072213,1
40,15,25,0,0.1538599441628321,339.0,0.34716529149409325,5
40,20,20,0,1.0,373.0,0.6272851643807371,0
40,18,22,0,0.6358280026288412,371.0,0.6085058219759958,2
40,17,23,0,0.42959050784338615,358.0,0.49291002014433616,3
40,22,18,0,0.6358280026288412,340.0,0.35409228332900966,2
40,26,14,0,0.0806904677519924,326.0,0.26487403590545,6
40,18,22,0,0.6358280026288412,388.0,0.7749952346202917,2
40,25,15,0,0.1538599441628321,308.0,0.17435350978121278,5
40,23,17,0,0.42959050784338615,360.0,0.5099141109240009,3
40,18,22,0,0.6358280026288412,308.0,0.17435350978121278,2
40,23,17,0,0.42959050784338615,341.0,0.3611039877814619,3
40,22,18,0,0.6358280026288412,366.0,0.5626676823321759,2
40,21,19,0,0.8746293123804207,378.0,0.6752568088832049,1
40,21,19,0,0.8746293123804207,389.0,0.7852034492480016,1
40,21,19,0,0.8746293123804207,405.0,0.9523059934635967,1
40,20,20,0,1.0,379.0,0.6850159026034817,0
40,11,29,0,0.006426576095691416,207.0,0.005576999594268273,9
40,21,19,0,0.8746293123804207,372.0,0.617864971896779,1
40,24,16,0,0.26818725105476915,339.0,0.34716529149409325,4
40,17,23,0,0.42959050784338615,340.0,0.35409228332900966,3
40,15,24,1,0.19959086691960698,309.0,0.2583267387701277,5
40,23,17,0,0.42959050784338615,390.0,0.7954479165618977,3
40,17,23,0,0.42959050784338615,388.0,0.7749952346202917,3
40,22,18,0,0.6358280026288412,391.0,0.8057269839482615,2
40,17,23,0,0.42959050784338615,364.0,0.5448004511072213,3
40,22,18,0,0.6358280026288412,407.0,0.9734926504152099,2
40,19,21,0,0.8746293123804207,399.0,0.8890015714441688,1
40,25,15,0,0.1538599441628321,374.0,0.6367651425298391,5
40,18,22,0,0.6358280026288412,384.0,0.7345573100628826,2
40,25,15,0,0.1538599441628321,326.0,0.26487403590545,5
40,16,24,0,0.26818725105476915,382.0,0.7145974449867936,4
40,23,17,0,0.42959050784338615,360.0,0.5099141109240009,3
40,19,21,0,0.8746293123804207,402.0,0.9205922683031531,1
40,23,17,0,0.42959050784338615,379.0,0.6850159026034817,3
40,16,24,0,0.26818725105476915,318.0,0.2213606056466233,4
40,23,17,0,0.42959050784338615,379.0,0.6850159026034817,3
40,21,19,0,0.8746293123804207,386.0,0.7546940826050559,1
40,19,21,0,0.8746293123804207,391.0,0.8057269839482615,1
40,20,20,0,1.0,390.0,0.7954479165618977,0
40,24,16,0,0.26818725105476915,305.0,0.1617874718067469,4
40,13,27,0,0.03847730828420026,264.0,0.049760567819248536,7
40,25,15,0,0.1538599441628321,354.0,0.45981367328386114,5
40,20,20,0,1.0,399.0,0.8890015714441688,0
40,21,19,0,0.8746293123804207,379.0,0.6850159026034817,1
40,22,18,0,0.6358280026288412,320.0,0.23173732552095316,2
40,20,20,0,1.0,340.0,0.35409228332900966,0
40,13,27,0,0.03847730828420026,241.0,0.022363033434885438,7
40,16,24,0,0.26818725105476915,367.0,0.5717037787562731,4
40,22,17,1,0.5223973804968411,326.0,0.3717929849795193,2
40,18,22,0,0.6358280026288412,358.0,0.49291002014433616,2
40,17,23,0,0.42959050784338615,347.0,0.40493773964954016,3
40,25,15,0,0.1538599441628321,326.0,0.26487403590545,5
40,19,21,0,0.8746293123804207,337.0,0.33356623058170953,1
40,27,13,0,0.03847730828420026,246.0,0.02685272056623944,7
40,21,19,0,0.8746293123804207,382.0,0.7145974449867936,1
40,24,16,0,0.26818725105476915,382.0,0.7145974449867936,4
40,17,23,0,0.42959050784338615,354.0,0.45981367328386114,3
40,20,20,0,1.0,378.0,0.6752568088832049,0
40,18,22,0,0.6358280026288412,327.0,0.27069234351074556,2
40,19,21,0,0.8746293123804207,369.0,0.589975534387122,1
40,24,16,0,0.26818725105476915,304.0,0.1577509693797765,4
40,17,23,0,0.42959050784338615,340.0,0.35409228332900966,3
40,21,19,0,0.8746293123804207,410.0,1.0,1
40,20,20,0,1.0,342.0,0.36820016943056544,0
40,20,20,0,1.0,395.0,0.8471556244439853,0
40,26,14,0,0.0806904677519924,294.0,0.12139880184622598,6
40,20,20,0,1.0,394.0,0.8367550107286661,0
40,23,17,0,0.42959050784338615,326.0,0.26487403590545,3
40,25,15,0,0.1538599441628321,286.0,0.09723449486591562,5
40,17,23,0,0.42959050784338615,304.0,0.1577509693797765,3
40,21,19,0,0.8746293123804207,391.0,0.8057269839482615,1
40,20,20,0,1.0,377.0,0.6655508074145473,0
40,18,22,0,0.6358280026288412,377.0,0.6655508074145473,2
40,18,22,0,0.6358280026288412,342.0,0.36820016943056544,2
40,17,23,0,0.42959050784338615,367.0,0.5717037787562731,3
40,16,24,0,0.26818725105476915,323.0,0.24792719178185507,4
40,20,20,0,1.0,408.0,0.9840937587196095,0
40,21,19,0,0.8746293123804207,341.0,0.3611039877814619,1
40,26,14,0,0.0806904677519924,304.0,0.1577509693797765,6
40,26,14,0,0.0806904677519924,305.0,0.1617874718067469,6
40,18,22,0,0.6358280026288412,396.0,0.8575823361643415,2
40,21,19,0,0.8746293123804207,405.0,0.9523059934635967,1
40,21,18,1,0.7492586247608418,350.0,0.5767032388215718,1
40,27,13,0,0.03847730828420026,237.0,0.019245540157498908,7
40,22,18,0,0.6358280026288412,388.0,0.7749952346202917,2
40,23,17,0,0.42959050784338615,333.0,0.3073915451623179,3
40,18,21,1,0.7492586247608418,333.0,0.4263605762802376,2
40,18,22,0,0.6358280026288412,329.0,0.2825841121848498,2
40,16,24,0,0.26818725105476915,333.0,0.3073915451623179,4
40,26,14,0,0.0806904677519924,295.0,0.12471638389069994,6
40,20,20,0,1.0,406.0,0.9628961195248849,0
40,18,22,0,0.6358280026288412,329.0,0.2825841121848498,2
40,23,17,0,0.42959050784338615,358.0,0.49291002014433616,3
40,21,19,0,0.8746293123804207,367.0,0.5717037787562731,1
40,22,18,0,0.6358280026288412,400.0,0.8995151304461615,2
40,23,17,0,0.42959050784338615,357.0,0.48452077669571736,3
40,19,21,0,0.8746293123804207,355.0,0.4679718594561564,1
40,24,16,0,0.26818725105476915,291.0,0.11185002994352544,4
40,16,24,0,0.26818725105476915,297.0,0.1315581506714807,4
40,15,25,0,0.1538599441628321,231.0,0.015266838387105963,5
40,22,18,0,0.6358280026288412,345.0,0.3899927400161687,2
40,15,25,0,0.1538599441628321,244.0,0.02497325502190506,5
40,24,16,0,0.26818725105476915,255.0,0.0368489142110775,4
