umbral,n_alto,r_pb
0.48,75,0.15140394321346656
0.5,74,0.2824173890850154
0.52,74,0.2824173890850154
0.54,72,0.3404530107806195
0.56,69,0.43039240183483807
0.58,65,0.4418482056756476
0.6,62,0.4755123847840191
0.62,60,0.4507958703883316
0.64,55,0.39922358348826187
0.66,52,0.3794956539498169
0.68,45,0.42521376390527343
0.7,41,0.42664945044618424
0.72,38,0.4771678067700573
0.74,32,0.5067742845232708
0.76,26,0.5729111541645283
0.78,16,0.6680468922622269
0.8,14,0.6868512224658064
0.82,11,0.6773257657330541
0.84,10,0.7199942611460355
0.86,9,0.7038570726159707
0.88,8,0.734730321561027
0.9,7,0.70285727297416
0.92,6,0.6931719931432947
0.94,5,0.6776758054769813
0.96,5,0.6776758054769813
0.98,4,0.6594211228226499
1.0,4,0.6594211228226499
1.02,3,0.5529361827471364
1.04,3,0.5529361827471364
1.06,3,0.5529361827471364
1.08,3,0.5529361827471364
1.1,1,0.3246683488160339
1.12,1,0.3246683488160339
1.14,1,0.3246683488160339
1.16,1,0.3246683488160339
1.18,1,0.3246683488160339
1.2,1,0.3246683488160339
1.22,1,0.3246683488160339
1.24,1,0.3246683488160339
1.26,0,
