muestra,var_x,var_y,descripcion,n,spearman,p_spearman,pearson,p_pearson,spearman_ic95_lo,spearman_ic95_hi,spearman_parcial_dado_kcap,p_spearman_parcial
n=80 (CSV tal cual),kappa_v_agregado,pendiente_corregida,κ_V  vs  pendiente CORREGIDA (geometría),80,0.47749542875896667,7.5123647153748335e-06,0.7643489952906328,1.5948642318147017e-16,0.25080065962023745,0.6644315032797357,0.20757124107128533,0.06467011993024345
n=80 (CSV tal cual),kappa_v_agregado,pendiente_vieja,κ_V  vs  pendiente vieja (con el bug),80,0.36806695109944204,0.0007821878440685338,-0.17085646198126897,0.12969615850765792,0.1158784089186309,0.5853678346569943,0.24634595667472817,0.02761066293848715
n=80 (CSV tal cual),kappa_v_agregado,diam_corr_b1,κ_V  vs  diámetro corregido (b=1),80,0.518332006769057,8.445842810066568e-07,0.7290780636256301,1.7488658924966752e-14,0.30541049588205155,0.6859752570498092,0.07253555822398189,0.5225562206784444
n=80 (CSV tal cual),kappa_v_agregado,fraccion_masa_en_sumideros,κ_V  vs  fracción de masa en sumideros,80,0.89593804017201,3.239126163097831e-29,0.9311382832361809,6.494046506108278e-36,0.8056464975139089,0.9509347264192811,0.7329961494506705,1.0767875859397803e-14
n=80 (CSV tal cual),pendiente_corregida,fraccion_masa_en_sumideros,pendiente corr.  vs  masa (referencia),80,0.6154261300612289,1.2423218355021968e-09,0.8022729871901287,3.722189761960967e-19,0.4168131993451099,0.7643330255383324,0.4594575743856733,1.810124095431895e-05
n=80 (CSV tal cual),diam_corr_b1,fraccion_masa_en_sumideros,diámetro corr.  vs  masa (referencia),80,0.614824667517141,1.3025511910271053e-09,0.7566849099873408,4.734508387857778e-16,0.4233317696154481,0.7681434033925144,0.18413543747197803,0.10203848037132049
n=80 (CSV tal cual),pendiente_corregida,diam_corr_b1,pendiente corr.  vs  diámetro corr. (referencia),80,0.7918861793789107,2.215686784720589e-18,0.8750034985751559,2.734903930515125e-26,0.6663452345306656,0.8735890005079382,0.7223751950680113,3.9332355520076614e-14
n=80 (CSV tal cual),kappa_v_agregado,kcap,κ_V  vs  kcap (variable de diseño),80,-0.7574084050762816,4.2796969148550815e-16,-0.6654467162043307,1.6544198662773084e-11,-0.8378100370839471,-0.6424303027040994,,
n=80 (CSV tal cual),pendiente_corregida,kcap,pendiente corr.  vs  kcap (variable de diseño),80,-0.47275056907705904,9.513611769458775e-06,-0.5558905966514682,8.657580191135828e-08,-0.6488951173003631,-0.26798438212582454,,
n=80 (CSV tal cual),fraccion_masa_en_sumideros,kcap,masa  vs  kcap (variable de diseño),80,-0.848268782848825,3.087726120795991e-23,-0.7959320077637675,1.1196032325631063e-18,-0.884896166822333,-0.7855594594721353,,
n=76 (dedup por semilla),kappa_v_agregado,pendiente_corregida,κ_V  vs  pendiente CORREGIDA (geometría),76,0.48030075187969923,1.1291814305662477e-05,0.7665388419996739,6.996771151140639e-16,0.2479945230661214,0.66820945766932,0.20057576970132238,0.08233393558849006
n=76 (dedup por semilla),kappa_v_agregado,pendiente_vieja,κ_V  vs  pendiente vieja (con el bug),76,0.3653041695146958,0.0011753727294189556,-0.17299771216260026,0.13505617063490202,0.10249005012093335,0.5953929523327037,0.2389519620933719,0.03763313411328789
n=76 (dedup por semilla),kappa_v_agregado,diam_corr_b1,κ_V  vs  diámetro corregido (b=1),76,0.5085863729951028,2.7229594245353657e-06,0.7303472263472477,7.049740593735945e-14,0.29797340138995587,0.6853156581271467,0.05664711935794525,0.6269358106649944
n=76 (dedup por semilla),kappa_v_agregado,fraccion_masa_en_sumideros,κ_V  vs  fracción de masa en sumideros,76,0.9017339867639977,1.1400913447544938e-28,0.9336172399237629,1.0153265448023401e-34,0.8111265407719748,0.9551991141823194,0.7583122203332835,2.1421831446502887e-15
n=76 (dedup por semilla),pendiente_corregida,fraccion_masa_en_sumideros,pendiente corr.  vs  masa (referencia),76,0.6292528454540677,1.1432914047657026e-09,0.8142860949722622,3.7288854160025044e-19,0.42133629551688156,0.7768394250028904,0.4673555699556645,2.0782148441298545e-05
n=76 (dedup por semilla),diam_corr_b1,fraccion_masa_en_sumideros,diámetro corr.  vs  masa (referencia),76,0.6292625682476928,1.1424182146673434e-09,0.7665361732123923,6.99936319303723e-16,0.4233125901682241,0.7785772558250916,0.21534288104660512,0.06173623357005481
n=76 (dedup por semilla),pendiente_corregida,diam_corr_b1,pendiente corr.  vs  diámetro corr. (referencia),76,0.7902771908172403,2.1069085380235663e-17,0.8785879745609299,1.8614393737726784e-25,0.6593104759266546,0.8762913023572859,0.7136258261251278,4.661055208509968e-13
n=76 (dedup por semilla),kappa_v_agregado,kcap,κ_V  vs  kcap (variable de diseño),76,-0.7493011710734238,6.941739389174313e-15,-0.681989013544061,1.1790947132212497e-11,-0.832953644647849,-0.6310831892922575,,
n=76 (dedup por semilla),pendiente_corregida,kcap,pendiente corr.  vs  kcap (variable de diseño),76,-0.4860812950951368,8.530043807350059e-06,-0.5835644709878638,3.155777092266172e-08,-0.6566008296529933,-0.26551480250105525,,
n=76 (dedup por semilla),fraccion_masa_en_sumideros,kcap,masa  vs  kcap (variable de diseño),76,-0.8443662606556332,9.577196000003622e-22,-0.8119586743541416,5.652960396039539e-19,-0.8884962513784088,-0.763748339529908,,
