fuente,serie,n_escalas,b_serie,diam_serie,descarrila_b1,viola_monotonia,detalle_violacion
cs080_renormalizacion.csv,80100|er_null,6,1|2|4|8|16|32,10|7|6|5|4|4,False,False,
cs080_renormalizacion.csv,80100|local,6,1|2|4|8|16|32,9|8|7|6|6|5,False,False,
cs080_renormalizacion.csv,80100|local_barajado,6,1|2|4|8|16|32,7|5|4|3|4|3,False,True,"[(8, 3.0, 16, 4.0)]"
cs080_renormalizacion.csv,80200|er_null,6,1|2|4|8|16|32,9|7|6|5|4|4,False,False,
cs080_renormalizacion.csv,80200|local,6,1|2|4|8|16|32,8|7|7|5|5|4,False,False,
cs080_renormalizacion.csv,80200|local_barajado,6,1|2|4|8|16|32,7|5|4|3|4|3,False,True,"[(8, 3.0, 16, 4.0)]"
cs080_renormalizacion.csv,80300|er_null,6,1|2|4|8|16|32,9|7|6|5|4|4,False,False,
cs080_renormalizacion.csv,80300|local,6,1|2|4|8|16|32,10|7|6|5|4|4,False,False,
cs080_renormalizacion.csv,80300|local_barajado,6,1|2|4|8|16|32,7|6|4|4|3|3,False,False,
cs081_poda_dinamica.csv,80100|azar_P50,6,1|2|4|8|16|32,14|11|9|7|5|5,False,False,
cs081_poda_dinamica.csv,80100|azar_P70,6,1|2|4|8|16|32,12|9|7|6|5|5,False,False,
cs081_poda_dinamica.csv,80100|azar_P90,6,1|2|4|8|16|32,10|8|7|6|6|4,False,False,
cs081_poda_dinamica.csv,80100|costo_P50,6,1|2|4|8|16|32,20|14|13|8|7|6,False,False,
cs081_poda_dinamica.csv,80100|costo_P70,6,1|2|4|8|16|32,14|11|10|8|5|5,False,False,
cs081_poda_dinamica.csv,80100|costo_P90,6,1|2|4|8|16|32,10|9|6|6|5|4,False,False,
cs081_poda_dinamica.csv,80100|sin_poda,6,1|2|4|8|16|32,9|7|7|5|5|4,False,False,
cs081_poda_dinamica.csv,80200|azar_P50,6,1|2|4|8|16|32,13|10|8|7|6|5,False,False,
cs081_poda_dinamica.csv,80200|azar_P70,6,1|2|4|8|16|32,9|8|7|6|5|5,False,False,
cs081_poda_dinamica.csv,80200|azar_P90,6,1|2|4|8|16|32,9|7|7|5|5|4,False,False,
cs081_poda_dinamica.csv,80200|costo_P50,6,1|2|4|8|16|32,19|14|11|9|6|5,False,False,
cs081_poda_dinamica.csv,80200|costo_P70,6,1|2|4|8|16|32,13|9|8|7|6|5,False,False,
cs081_poda_dinamica.csv,80200|costo_P90,6,1|2|4|8|16|32,10|8|7|5|5|4,False,False,
cs081_poda_dinamica.csv,80200|sin_poda,6,1|2|4|8|16|32,9|7|6|6|4|4,False,False,
cs081_poda_dinamica.csv,80300|azar_P50,6,1|2|4|8|16|32,15|11|9|8|6|5,False,False,
cs081_poda_dinamica.csv,80300|azar_P70,6,1|2|4|8|16|32,12|9|7|6|5|5,False,False,
cs081_poda_dinamica.csv,80300|azar_P90,6,1|2|4|8|16|32,10|8|6|6|5|4,False,False,
cs081_poda_dinamica.csv,80300|costo_P50,6,1|2|4|8|16|32,20|15|12|9|7|5,False,False,
cs081_poda_dinamica.csv,80300|costo_P70,6,1|2|4|8|16|32,15|11|8|8|6|5,False,False,
cs081_poda_dinamica.csv,80300|costo_P90,6,1|2|4|8|16|32,10|9|8|6|5|4,False,False,
cs081_poda_dinamica.csv,80300|sin_poda,6,1|2|4|8|16|32,10|8|6|5|5|4,False,False,
