seed,grafo,N,n_aristas,diam_viejo,diam_corregido,tam_comp_medida,tam_gigante,n_componentes,n_aislados,descarrila,difiere
1,base_nodos,110,545,3.0,3.0,110,110,1,0,False,False
1,linea_aristas_sust1,545,5299,4.0,4.0,545,545,1,0,False,False
1,linea_trios_sust2y4,161,1149,5.0,5.0,161,161,1,0,False,False
2,base_nodos,110,513,4.0,4.0,110,110,1,0,False,False
2,linea_aristas_sust1,513,4777,4.0,4.0,513,513,1,0,False,False
2,linea_trios_sust2y4,161,1378,6.0,6.0,161,161,1,0,False,False
3,base_nodos,110,606,3.0,3.0,110,110,1,0,False,False
3,linea_aristas_sust1,606,6549,4.0,4.0,606,606,1,0,False,False
3,linea_trios_sust2y4,221,2100,4.0,4.0,221,221,1,0,False,False
4,base_nodos,110,562,3.0,3.0,110,110,1,0,False,False
4,linea_aristas_sust1,562,5679,4.0,4.0,562,562,1,0,False,False
4,linea_trios_sust2y4,188,1579,4.0,4.0,188,188,1,0,False,False
5,base_nodos,110,583,3.0,3.0,110,110,1,0,False,False
5,linea_aristas_sust1,583,6208,4.0,4.0,583,583,1,0,False,False
5,linea_trios_sust2y4,193,1744,4.0,4.0,193,193,1,0,False,False
6,base_nodos,110,530,3.0,3.0,110,110,1,0,False,False
6,linea_aristas_sust1,530,5045,4.0,4.0,530,530,1,0,False,False
6,linea_trios_sust2y4,145,1054,4.0,4.0,145,145,1,0,False,False
7,base_nodos,110,558,4.0,4.0,110,110,1,0,False,False
7,linea_aristas_sust1,558,5584,4.0,4.0,558,558,1,0,False,False
7,linea_trios_sust2y4,167,1285,4.0,4.0,167,167,1,0,False,False
8,base_nodos,110,495,4.0,4.0,110,110,1,0,False,False
8,linea_aristas_sust1,495,4370,4.0,4.0,495,495,1,0,False,False
8,linea_trios_sust2y4,131,736,4.0,4.0,131,131,1,0,False,False
9,base_nodos,110,504,4.0,4.0,110,110,1,0,False,False
9,linea_aristas_sust1,504,4637,4.0,4.0,504,504,1,0,False,False
9,linea_trios_sust2y4,135,873,4.0,4.0,135,135,1,0,False,False
10,base_nodos,110,501,4.0,4.0,110,110,1,0,False,False
10,linea_aristas_sust1,501,4507,4.0,4.0,501,501,1,0,False,False
10,linea_trios_sust2y4,109,568,5.0,5.0,109,109,1,0,False,False
11,base_nodos,110,540,4.0,4.0,110,110,1,0,False,False
11,linea_aristas_sust1,540,5233,4.0,4.0,540,540,1,0,False,False
11,linea_trios_sust2y4,155,998,4.0,4.0,155,155,1,0,False,False
12,base_nodos,110,569,3.0,3.0,110,110,1,0,False,False
12,linea_aristas_sust1,569,5830,4.0,4.0,569,569,1,0,False,False
12,linea_trios_sust2y4,202,1971,4.0,4.0,202,202,1,0,False,False
13,base_nodos,110,530,4.0,4.0,110,110,1,0,False,False
13,linea_aristas_sust1,530,5128,4.0,4.0,530,530,1,0,False,False
13,linea_trios_sust2y4,168,1422,6.0,6.0,168,168,1,0,False,False
14,base_nodos,110,553,4.0,4.0,110,110,1,0,False,False
14,linea_aristas_sust1,553,5443,4.0,4.0,553,553,1,0,False,False
14,linea_trios_sust2y4,159,1149,4.0,4.0,159,159,1,0,False,False
15,base_nodos,110,531,3.0,3.0,110,110,1,0,False,False
15,linea_aristas_sust1,531,5003,4.0,4.0,531,531,1,0,False,False
15,linea_trios_sust2y4,144,923,5.0,5.0,144,144,1,0,False,False
16,base_nodos,110,529,3.0,3.0,110,110,1,0,False,False
16,linea_aristas_sust1,529,5031,4.0,4.0,529,529,1,0,False,False
16,linea_trios_sust2y4,130,808,5.0,5.0,130,130,1,0,False,False
17,base_nodos,110,534,3.0,3.0,110,110,1,0,False,False
17,linea_aristas_sust1,534,5077,4.0,4.0,534,534,1,0,False,False
17,linea_trios_sust2y4,147,972,5.0,5.0,147,147,1,0,False,False
18,base_nodos,110,525,3.0,3.0,110,110,1,0,False,False
18,linea_aristas_sust1,525,5032,4.0,4.0,525,525,1,0,False,False
18,linea_trios_sust2y4,140,871,4.0,4.0,140,140,1,0,False,False
19,base_nodos,110,575,3.0,3.0,110,110,1,0,False,False
19,linea_aristas_sust1,575,5914,4.0,4.0,575,575,1,0,False,False
19,linea_trios_sust2y4,190,1668,4.0,4.0,190,190,1,0,False,False
20,base_nodos,110,568,3.0,3.0,110,110,1,0,False,False
20,linea_aristas_sust1,568,5802,4.0,4.0,568,568,1,0,False,False
20,linea_trios_sust2y4,185,1624,4.0,4.0,185,185,1,0,False,False
