b,replica,n_cajas,diam_viejo,diam_corregido,tam_comp_medida,tam_gigante,n_componentes,n_aislados,descarrila
8,0,1911,4.0,4.0,1248,1248,1,663,False
8,1,1893,5.0,5.0,1230,1230,1,663,False
8,2,1894,3.0,3.0,1231,1231,1,663,False
8,3,1877,3.0,3.0,1214,1214,1,663,False
8,4,1908,3.0,3.0,1245,1245,1,663,False
8,5,1926,3.0,3.0,1263,1263,1,663,False
8,6,1884,3.0,3.0,1221,1221,1,663,False
8,7,1904,4.0,4.0,1241,1241,1,663,False
8,8,1894,4.0,4.0,1231,1231,1,663,False
8,9,1876,4.0,4.0,1213,1213,1,663,False
8,10,1901,4.0,4.0,1238,1238,1,663,False
8,11,1915,3.0,3.0,1252,1252,1,663,False
8,12,1907,3.0,3.0,1244,1244,1,663,False
8,13,1896,4.0,4.0,1233,1233,1,663,False
8,14,1883,4.0,4.0,1220,1220,1,663,False
8,15,1889,3.0,3.0,1226,1226,1,663,False
8,16,1880,4.0,4.0,1217,1217,1,663,False
8,17,1907,4.0,4.0,1244,1244,1,663,False
8,18,1906,4.0,4.0,1243,1243,1,663,False
8,19,1925,3.0,3.0,1262,1262,1,663,False
8,20,1913,4.0,4.0,1250,1250,1,663,False
8,21,1894,3.0,3.0,1231,1231,1,663,False
8,22,1916,4.0,4.0,1253,1253,1,663,False
8,23,1872,4.0,4.0,1209,1209,1,663,False
8,24,1889,3.0,3.0,1226,1226,1,663,False
8,25,1888,4.0,4.0,1225,1225,1,663,False
8,26,1902,4.0,4.0,1239,1239,1,663,False
8,27,1883,5.0,5.0,1220,1220,1,663,False
8,28,1893,3.0,3.0,1230,1230,1,663,False
8,29,1886,3.0,3.0,1223,1223,1,663,False
8,30,1900,4.0,4.0,1237,1237,1,663,False
8,31,1882,4.0,4.0,1219,1219,1,663,False
8,32,1901,4.0,4.0,1238,1238,1,663,False
8,33,1887,5.0,5.0,1224,1224,1,663,False
8,34,1876,3.0,3.0,1213,1213,1,663,False
8,35,1880,4.0,4.0,1217,1217,1,663,False
8,36,1909,4.0,4.0,1246,1246,1,663,False
8,37,1910,3.0,3.0,1247,1247,1,663,False
8,38,1920,4.0,4.0,1257,1257,1,663,False
8,39,1883,4.0,4.0,1220,1220,1,663,False
16,0,1419,3.0,3.0,756,756,1,663,False
16,1,1428,3.0,3.0,765,765,1,663,False
16,2,1411,4.0,4.0,748,748,1,663,False
16,3,1410,3.0,3.0,747,747,1,663,False
16,4,1429,4.0,4.0,766,766,1,663,False
16,5,1420,4.0,4.0,757,757,1,663,False
16,6,1450,3.0,3.0,787,787,1,663,False
16,7,1423,3.0,3.0,760,760,1,663,False
16,8,1398,3.0,3.0,735,735,1,663,False
16,9,1409,3.0,3.0,746,746,1,663,False
16,10,1403,4.0,4.0,740,740,1,663,False
16,11,1390,3.0,3.0,727,727,1,663,False
16,12,1420,4.0,4.0,757,757,1,663,False
16,13,1392,3.0,3.0,729,729,1,663,False
16,14,1404,4.0,4.0,741,741,1,663,False
16,15,1405,4.0,4.0,742,742,1,663,False
16,16,1402,3.0,3.0,739,739,1,663,False
16,17,1408,4.0,4.0,745,745,1,663,False
16,18,1422,4.0,4.0,759,759,1,663,False
16,19,1365,4.0,4.0,702,702,1,663,False
16,20,1410,4.0,4.0,747,747,1,663,False
16,21,1407,3.0,3.0,744,744,1,663,False
16,22,1416,3.0,3.0,753,753,1,663,False
16,23,1411,3.0,3.0,748,748,1,663,False
16,24,1396,4.0,4.0,733,733,1,663,False
16,25,1425,4.0,4.0,762,762,1,663,False
16,26,1402,4.0,4.0,739,739,1,663,False
16,27,1414,3.0,3.0,751,751,1,663,False
16,28,1434,3.0,3.0,771,771,1,663,False
16,29,1425,4.0,4.0,762,762,1,663,False
16,30,1438,4.0,4.0,775,775,1,663,False
16,31,1417,4.0,4.0,754,754,1,663,False
16,32,1398,3.0,3.0,735,735,1,663,False
16,33,1401,4.0,4.0,738,738,1,663,False
16,34,1420,4.0,4.0,757,757,1,663,False
16,35,1436,3.0,3.0,773,773,1,663,False
16,36,1405,4.0,4.0,742,742,1,663,False
16,37,1409,4.0,4.0,746,746,1,663,False
16,38,1424,4.0,4.0,761,761,1,663,False
16,39,1410,4.0,4.0,747,747,1,663,False
