rule_id,seed,escala_b,n_cajas,corr_len_real,corr_len_sat_real,giant_nativo_frac_real,giant_nativo_size_real,n_dominios_real,corr_len_null,corr_len_sat_null,giant_nativo_frac_null,giant_nativo_size_null,n_dominios_null
A0-B0-C0-r0,20260812,1,2000,5.0,False,1.0,2000.0,1,1.0,False,0.0045,9.0,1080
A0-B0-C0-r0,20260812,2,1000,3.0,False,0.2,200.0,28,1.0,False,0.008,8.0,563
A0-B0-C0-r0,20260812,4,500,2.0,False,0.044,22.0,108,1.0,False,0.016,8.0,294
A0-B0-C0-r0,20260812,8,250,1.0,False,0.036,9.0,114,1.0,False,0.024,6.0,155
A0-B0-C0-r0,20260812,16,125,1.0,False,0.056,7.0,67,1.0,False,0.056,7.0,62
A0-B0-C0-r1,20260909,1,2000,4.0,False,1.0,2000.0,1,1.0,False,0.007,14.0,801
A0-B0-C0-r1,20260909,2,1000,2.0,False,0.273,273.0,9,1.0,False,0.014,14.0,393
A0-B0-C0-r1,20260909,4,500,2.0,False,0.064,32.0,79,1.0,False,0.024,12.0,198
A0-B0-C0-r1,20260909,8,250,1.0,False,0.04,10.0,91,1.0,False,0.04,10.0,92
A0-B0-C0-r1,20260909,16,125,1.0,False,0.072,9.0,47,1.0,False,0.072,9.0,44
A0-B0-C0-r2,20261006,1,2000,3.0,False,0.139,278.0,43,1.0,False,0.006,12.0,967
A0-B0-C0-r2,20261006,2,1000,2.0,False,0.055,55.0,86,1.0,False,0.012,12.0,481
A0-B0-C0-r2,20261006,4,500,1.0,False,0.034,17.0,155,1.0,False,0.016,8.0,252
A0-B0-C0-r2,20261006,8,250,1.0,False,0.028,7.0,115,1.0,False,0.028,7.0,113
A0-B0-C0-r2,20261006,16,125,1.0,False,0.056,7.0,60,1.0,False,0.048,6.0,60
A0-B0-C0-r3,20261103,1,2000,5.0,False,1.0,2000.0,1,1.0,False,0.0085,17.0,655
A0-B0-C0-r3,20261103,2,1000,3.0,False,1.0,1000.0,1,1.0,False,0.011,11.0,317
A0-B0-C0-r3,20261103,4,500,2.0,False,0.14,70.0,40,1.0,False,0.044,22.0,161
A0-B0-C0-r3,20261103,8,250,1.0,False,0.056,14.0,65,1.0,False,0.04,10.0,92
A0-B0-C0-r3,20261103,16,125,1.0,False,0.088,11.0,30,1.0,False,0.08,10.0,39
A0-B0-C0-r4,20261200,1,2000,4.0,False,0.109,218.0,41,1.0,False,0.0055,11.0,1021
A0-B0-C0-r4,20261200,2,1000,2.0,False,0.063,63.0,61,1.0,False,0.011,11.0,487
A0-B0-C0-r4,20261200,4,500,2.0,False,0.046,23.0,117,1.0,False,0.018,9.0,260
A0-B0-C0-r4,20261200,8,250,1.0,False,0.036,9.0,99,1.0,False,0.024,6.0,126
A0-B0-C0-r4,20261200,16,125,1.0,False,0.056,7.0,56,1.0,False,0.048,6.0,60
A0-B0-C0-r5,20261297,1,2000,3.0,False,0.077,154.0,57,1.0,False,0.006,12.0,1190
A0-B0-C0-r5,20261297,2,1000,2.0,False,0.026,26.0,204,1.0,False,0.007,7.0,598
A0-B0-C0-r5,20261297,4,500,1.0,False,0.016,8.0,252,1.0,False,0.014,7.0,305
A0-B0-C0-r5,20261297,8,250,1.0,False,0.02,5.0,156,1.0,False,0.024,6.0,148
A0-B0-C0-r5,20261297,16,125,1.0,False,0.04,5.0,75,1.0,False,0.04,5.0,82
A0-B0-C0-r6,20261394,1,2000,7.0,False,1.0,2000.0,1,1.0,False,0.004,8.0,1201
A0-B0-C0-r6,20261394,2,1000,3.0,False,0.365,365.0,31,1.0,False,0.006,6.0,607
A0-B0-C0-r6,20261394,4,500,2.0,False,0.054,27.0,126,1.0,False,0.014,7.0,289
A0-B0-C0-r6,20261394,8,250,1.0,False,0.032,8.0,127,1.0,False,0.036,9.0,144
A0-B0-C0-r6,20261394,16,125,1.0,False,0.04,5.0,74,1.0,False,0.048,6.0,66
A0-B0-C0-r7,20261491,1,2000,4.0,False,0.1405,281.0,29,1.0,False,0.0075,15.0,795
A0-B0-C0-r7,20261491,2,1000,2.0,False,0.108,108.0,49,1.0,False,0.011,11.0,412
A0-B0-C0-r7,20261491,4,500,1.0,False,0.036,18.0,118,1.0,False,0.022,11.0,209
A0-B0-C0-r7,20261491,8,250,1.0,False,0.04,10.0,90,1.0,False,0.04,10.0,106
A0-B0-C0-r7,20261491,16,125,1.0,False,0.08,10.0,47,1.0,False,0.072,9.0,50
A0-B0-C0-r8,20261588,1,2000,4.0,False,0.488,976.0,3,1.0,False,0.007,14.0,792
A0-B0-C0-r8,20261588,2,1000,2.0,False,0.133,133.0,29,1.0,False,0.011,11.0,403
A0-B0-C0-r8,20261588,4,500,1.0,False,0.06,30.0,132,1.0,False,0.032,16.0,191
A0-B0-C0-r8,20261588,8,250,1.0,False,0.06,15.0,93,1.0,False,0.044,11.0,104
A0-B0-C0-r8,20261588,16,125,1.0,False,0.08,10.0,44,1.0,False,0.08,10.0,47
A0-B0-C0-r9,20261685,1,2000,5.0,False,0.446,892.0,3,1.0,False,0.007,14.0,676
A0-B0-C0-r9,20261685,2,1000,3.0,False,0.448,448.0,6,1.0,False,0.012,12.0,362
A0-B0-C0-r9,20261685,4,500,2.0,False,0.172,86.0,41,1.0,False,0.038,19.0,166
A0-B0-C0-r9,20261685,8,250,1.0,False,0.084,21.0,55,1.0,False,0.044,11.0,93
A0-B0-C0-r9,20261685,16,125,1.0,False,0.08,10.0,36,1.0,False,0.128,16.0,42
A0-B0-C0-r10,20261782,1,2000,4.0,False,0.246,492.0,9,1.0,False,0.0065,13.0,847
A0-B0-C0-r10,20261782,2,1000,2.0,False,0.112,112.0,35,1.0,False,0.011,11.0,405
A0-B0-C0-r10,20261782,4,500,1.0,False,0.038,19.0,126,1.0,False,0.02,10.0,209
A0-B0-C0-r10,20261782,8,250,1.0,False,0.044,11.0,91,1.0,False,0.04,10.0,108
A0-B0-C0-r10,20261782,16,125,1.0,False,0.104,13.0,42,1.0,False,0.088,11.0,52
A0-B0-C0-r11,20261879,1,2000,4.0,False,0.183,366.0,36,1.0,False,0.0055,11.0,997
A0-B0-C0-r11,20261879,2,1000,2.0,False,0.083,83.0,96,1.0,False,0.01,10.0,498
