rule_id,seed,K,J,noise,sim_thr_frac,clase_vieja,pendiente_vieja,z_agg_vieja,holon_ratio_vieja,clase_vieja_corr,pendiente_vieja_corr,z_agg_vieja_corr,diam_b1_orig,diam_b1_corr,algun_descarrile,min_frac_comp_medida,n_aristas_b1,corr_len_b1,corr_len_sat_b1,giant_frac_b1,n_dominios_b1,corr_slope_nativo,dom_slope_nativo,corr_slope_null,dom_slope_null,giant_frac_null_b1,n_dominios_null_b1
A0-B0-C0-r0,20260812,4,0.769,0.142,0.232,II,0.3558,0.0,1.161,II,0.3558,0.0,5.0,5.0,False,1.0,14054,5.0,False,1.0,1,0.6229,2.0791,-0.0,0.114,0.0045,1080
A0-B0-C0-r1,20260909,8,0.532,0.126,0.302,I,0.296,0.0,0.794,I,0.296,0.0,4.0,4.0,False,1.0,18114,4.0,False,1.0,1,0.5,2.0363,-0.0,0.176,0.007,801
A0-B0-C0-r2,20261006,7,0.461,0.349,0.26,I,0.2766,0.141,0.787,I,0.2766,0.141,4.0,4.0,False,1.0,15574,3.0,False,0.139,43,0.417,1.3597,-0.0,0.2778,0.006,967
A0-B0-C0-r3,20261103,7,0.733,0.192,0.337,I,0.2824,0.0,0.833,I,0.2824,0.0,4.0,4.0,False,1.0,19894,5.0,False,1.0,1,0.6229,2.1171,-0.0,0.1669,0.0085,655
A0-B0-C0-r4,20261200,6,0.589,0.346,0.25,I,0.2958,0.424,0.794,I,0.2958,0.424,4.0,4.0,False,1.0,14930,4.0,False,0.109,41,0.5,1.2729,-0.0,0.2623,0.0055,1021
A0-B0-C0-r5,20261297,8,0.394,0.23,0.195,II,0.3634,0.141,0.73,II,0.3634,0.141,5.0,5.0,False,1.0,11587,3.0,False,0.077,57,0.417,1.2268,-0.0,0.2748,0.006,1190
A0-B0-C0-r6,20261394,8,0.757,0.129,0.195,I,0.2312,0.566,0.693,I,0.2312,0.566,5.0,5.0,False,1.0,11988,7.0,False,1.0,1,0.72,2.2799,-0.0,0.0245,0.004,1201
A0-B0-C0-r7,20261491,4,0.474,0.207,0.292,I,0.2264,0.283,0.982,I,0.2264,0.283,4.0,4.0,False,1.0,17573,4.0,False,0.1405,29,0.5,1.3058,-0.0,0.1611,0.0075,795
A0-B0-C0-r8,20261588,4,0.447,0.103,0.297,I,0.3022,0.141,0.982,I,0.3022,0.141,4.0,4.0,False,1.0,17780,4.0,False,0.488,3,0.5,1.6366,-0.0,0.0971,0.007,792
A0-B0-C0-r9,20261685,6,0.7,0.315,0.334,I,0.2893,0.0,0.75,I,0.2893,0.0,4.0,4.0,False,1.0,20047,5.0,False,0.446,3,0.6229,1.7373,-0.0,-0.026,0.007,676
A0-B0-C0-r10,20261782,5,0.405,0.117,0.292,I,0.2988,0.141,0.75,I,0.2988,0.141,4.0,4.0,False,1.0,17380,4.0,False,0.246,9,0.5,1.3832,-0.0,0.062,0.0065,847
A0-B0-C0-r11,20261879,6,0.465,0.281,0.246,I,0.3078,0.141,0.838,I,0.3078,0.141,5.0,5.0,False,1.0,14805,4.0,False,0.183,36,0.5,1.4599,-0.0,0.1456,0.0055,997
A0-B0-C0-r12,20261976,7,0.497,0.113,0.187,I,0.2333,0.141,0.909,I,0.2333,0.141,5.0,5.0,False,1.0,11201,4.0,False,0.2565,13,0.5,1.666,-0.0,0.3141,0.0055,1246
