rule_id,seed,clase_original,huella_campo,n_replicas,n_replicas_clase_II,fraccion_II,clases,pendiente_media,pendiente_min,pendiente_max,pendiente_sd
A0-B0-C0-r0,20260812,II,3863.283289273753,6,3,0.5,II|I|I|I|II|II,0.3375,0.311,0.3665,0.025
A0-B0-C0-r5,20261297,II,8096.348784707328,6,1,0.1667,I|I|I|I|I|II,0.2572,0.2335,0.3633,0.0475
A0-B0-C0-r20,20262752,II,7143.881476946856,6,2,0.3333,I|I|I|I|II|II,0.3033,0.2317,0.3603,0.0451
A0-B0-C0-r28,20263528,II,7652.688860943431,6,1,0.1667,I|I|II|I|I|I,0.2791,0.2229,0.3639,0.0455
A0-B0-C0-r32,20263916,II,5102.44616598466,6,1,0.1667,II|I|I|I|I|I,0.2689,0.2296,0.3587,0.045
A0-B0-C0-r49,20265565,II,6901.20707165357,6,1,0.1667,I|I|I|I|I|II,0.3009,0.2508,0.352,0.0398
A0-B0-C0-r56,20266244,II,6222.549134593441,6,5,0.8333,II|II|II|II|I|II,0.3548,0.3158,0.3667,0.0179
A0-B0-C0-r68,20267408,II,6916.5842418991815,6,2,0.3333,I|II|I|II|I|I,0.3129,0.253,0.3518,0.0346
A0-B0-C0-r70,20267602,II,5071.4844428363285,6,2,0.3333,I|II|II|I|I|I,0.2795,0.2328,0.3668,0.0614
A0-B0-C0-r75,20268087,II,6049.555837816157,6,5,0.8333,II|II|I|II|II|II,0.34,0.2246,0.3659,0.0516
A0-B0-C0-r77,20268281,II,7880.460402422248,6,6,1.0,II|II|II|II|II|II,0.3619,0.3567,0.364,0.0027
A0-B0-C0-r84,20268960,II,6904.7575200939245,6,4,0.6667,II|I|II|I|II|II,0.3447,0.3119,0.3636,0.0215
A0-B0-C0-r88,20269348,II,4131.341930849711,6,3,0.5,II|I|I|II|II|I,0.2977,0.2285,0.367,0.0649
A0-B0-C0-r89,20269445,II,6208.266467652841,6,3,0.5,I|II|I|II|I|II,0.3195,0.2799,0.3636,0.0389
A0-B0-C0-r103,20270803,II,7905.677072115779,6,2,0.3333,II|I|I|I|I|II,0.3047,0.2334,0.3637,0.0464
A0-B0-C0-r1,20260909,I,8021.861869554589,6,0,0.0,I|I|I|I|I|I,0.283,0.2249,0.2992,0.0262
A0-B0-C0-r2,20261006,I,6863.098118197104,6,0,0.0,I|I|I|I|I|I,0.2593,0.2287,0.301,0.0275
A0-B0-C0-r3,20261103,I,6922.558914910206,6,0,0.0,I|I|I|I|I|I,0.2952,0.2916,0.2993,0.0026
A0-B0-C0-r4,20261200,I,6006.6916960690105,6,2,0.3333,II|I|I|I|II|I,0.2876,0.2312,0.3559,0.0504
A0-B0-C0-r6,20261394,I,7499.167957916565,6,1,0.1667,I|I|I|II|I|I,0.2808,0.2289,0.3631,0.0504
A0-B0-C0-r7,20261491,I,4161.647283307172,6,0,0.0,I|I|I|I|I|I,0.296,0.2919,0.3008,0.0029
A0-B0-C0-r8,20261588,I,3886.205535662305,6,0,0.0,I|I|I|I|I|I,0.2732,0.2221,0.2992,0.0343
A0-B0-C0-r9,20261685,I,5860.341231306414,6,0,0.0,I|I|I|I|I|I,0.2781,0.2233,0.2913,0.0246
A0-B0-C0-r10,20261782,I,4874.920873244151,6,0,0.0,I|I|I|I|I|I,0.2861,0.2285,0.3029,0.026
A0-B0-C0-r11,20261879,I,5941.801542946735,6,0,0.0,I|I|I|I|I|I,0.2817,0.2326,0.317,0.0269
A0-B0-C0-r12,20261976,I,6818.535007785539,6,0,0.0,I|I|I|I|I|I,0.2349,0.227,0.2456,0.006
A0-B0-C0-r13,20262073,I,6768.015825514613,6,0,0.0,I|I|I|I|I|I,0.2368,0.1518,0.3056,0.0449
A0-B0-C0-r14,20262170,I,6997.165590433378,6,1,0.1667,I|I|I|I|I|II,0.3031,0.1905,0.3888,0.0656
A0-B0-C0-r15,20262267,I,5016.281105651974,6,0,0.0,I|I|I|I|I|I,0.2937,0.2902,0.2968,0.0023
A0-B0-C0-r16,20262364,I,4901.61892285123,6,0,0.0,I|I|I|I|I|I,0.2943,0.2909,0.2978,0.0027
