genealogia,seed_base,brazo,n,n_I,n_II,n_III,n_IV,n_otro,pct_III,pct_III_IV,se_binomial_pp,pendiente_media,pendiente_mediana,pendiente_std_intra,diam_medio_b1,grado_medio_b1
H00_113477,113477,C2-hard,20,10,1,9,0,0,45.0,45.0,11.12,0.719,0.6401,0.2133,13.55,3.544
H01_218903,218903,C2-hard,20,9,0,10,1,0,50.0,55.0,11.18,0.7653,0.7074,0.2041,13.9,3.422
H02_344251,344251,C2-hard,20,12,0,8,0,0,40.0,40.0,10.95,0.6519,0.6312,0.1314,12.75,3.734
H03_662819,662819,C2-hard,20,7,1,12,0,0,60.0,60.0,10.95,0.7562,0.7349,0.222,14.35,3.399
H04_741037,741037,C2-hard,20,13,2,5,0,0,25.0,25.0,9.68,0.6485,0.6009,0.2027,13.1,3.772
H05_905683,905683,C2-hard,20,6,1,13,0,0,65.0,65.0,10.67,0.7751,0.7689,0.2005,15.1,3.343
H06_1128409,1128409,C2-hard,20,7,1,12,0,0,60.0,60.0,10.95,0.7655,0.7708,0.2193,14.4,3.494
H07_1357061,1357061,C2-hard,20,6,1,13,0,0,65.0,65.0,10.67,0.7899,0.7683,0.2577,14.75,3.359
H08_1604923,1604923,C2-hard,20,9,2,9,0,0,45.0,45.0,11.12,0.7044,0.62,0.2479,13.5,3.582
H09_1889347,1889347,C2-hard,20,11,1,8,0,0,40.0,40.0,10.95,0.6904,0.6709,0.175,13.75,3.669
H10_2043761,2043761,C2-hard,20,10,1,8,1,0,40.0,45.0,10.95,0.7032,0.6913,0.1683,13.7,3.621
H11_2296589,2296589,C2-hard,20,13,1,4,2,0,20.0,30.0,8.94,0.6351,0.6168,0.1356,12.7,3.694
H12_2571043,2571043,C2-hard,20,10,1,9,0,0,45.0,45.0,11.12,0.7425,0.6624,0.2399,14.0,3.485
H13_2814697,2814697,C2-hard,20,9,2,9,0,0,45.0,45.0,11.12,0.7513,0.6947,0.284,15.0,3.403
H14_3102859,3102859,C2-hard,20,9,2,9,0,0,45.0,45.0,11.12,0.7016,0.6557,0.2255,13.8,3.613
H15_3389417,3389417,C2-hard,20,5,1,13,1,0,65.0,70.0,10.67,0.7672,0.7235,0.2363,14.2,3.264
H16_3670213,3670213,C2-hard,20,12,2,6,0,0,30.0,30.0,10.25,0.6459,0.626,0.1968,12.35,3.886
H17_3948071,3948071,C2-hard,20,13,1,6,0,0,30.0,30.0,10.25,0.6554,0.6304,0.1795,12.7,3.728
H18_4213589,4213589,C2-hard,20,14,1,4,1,0,20.0,25.0,8.94,0.6592,0.6579,0.1655,13.05,3.635
H19_4507921,4507921,C2-hard,20,9,1,9,1,0,45.0,50.0,11.12,0.7554,0.7194,0.1683,14.8,3.406
