genealogia,seed_base,brazo,n,n_I,n_II,n_III,n_IV,n_otro,pct_III,pct_III_IV,se_binomial_pp,pendiente_media,pendiente_mediana,pendiente_std_intra,diam_medio_b1,grado_medio_b1
H00_113477,113477,C2-hibrido,20,12,3,5,0,0,25.0,25.0,9.68,0.6389,0.5994,0.2001,10.75,4.318
H01_218903,218903,C2-hibrido,20,10,2,8,0,0,40.0,40.0,10.95,0.736,0.6246,0.2893,11.75,3.933
H02_344251,344251,C2-hibrido,20,14,3,3,0,0,15.0,15.0,7.98,0.5648,0.5335,0.1727,10.6,4.616
H03_662819,662819,C2-hibrido,20,8,2,10,0,0,50.0,50.0,11.18,0.7368,0.677,0.3067,12.05,4.07
H04_741037,741037,C2-hibrido,20,11,5,4,0,0,20.0,20.0,8.94,0.5904,0.5812,0.2087,10.6,4.555
H05_905683,905683,C2-hibrido,20,8,3,9,0,0,45.0,45.0,11.12,0.7126,0.6116,0.2988,11.6,4.038
H06_1128409,1128409,C2-hibrido,20,9,5,6,0,0,30.0,30.0,10.25,0.6424,0.529,0.3044,10.75,4.309
H07_1357061,1357061,C2-hibrido,20,6,3,11,0,0,55.0,55.0,11.12,0.7751,0.8078,0.28,11.8,3.868
H08_1604923,1604923,C2-hibrido,20,9,5,6,0,0,30.0,30.0,10.25,0.6684,0.6238,0.2762,11.25,4.4
H09_1889347,1889347,C2-hibrido,20,10,4,6,0,0,30.0,30.0,10.25,0.5829,0.6144,0.2119,10.45,4.494
H10_2043761,2043761,C2-hibrido,20,13,1,5,1,0,25.0,30.0,9.68,0.6775,0.596,0.2277,11.4,4.343
H11_2296589,2296589,C2-hibrido,20,12,4,2,2,0,10.0,20.0,6.71,0.5818,0.5512,0.1851,10.2,4.623
H12_2571043,2571043,C2-hibrido,20,11,2,7,0,0,35.0,35.0,10.67,0.6874,0.571,0.3137,11.3,4.231
H13_2814697,2814697,C2-hibrido,20,10,4,5,1,0,25.0,30.0,9.68,0.6876,0.5651,0.3472,11.3,4.206
H14_3102859,3102859,C2-hibrido,20,9,4,7,0,0,35.0,35.0,10.67,0.6045,0.5337,0.2247,10.6,4.477
H15_3389417,3389417,C2-hibrido,20,12,1,7,0,0,35.0,35.0,10.67,0.7314,0.6512,0.2967,11.7,3.962
H16_3670213,3670213,C2-hibrido,20,12,3,5,0,0,25.0,25.0,9.68,0.6286,0.5844,0.2491,10.85,4.59
H17_3948071,3948071,C2-hibrido,20,10,5,5,0,0,25.0,25.0,9.68,0.5983,0.5544,0.2314,10.45,4.638
H18_4213589,4213589,C2-hibrido,20,11,5,4,0,0,20.0,20.0,8.94,0.6042,0.5349,0.2475,10.7,4.468
H19_4507921,4507921,C2-hibrido,20,12,2,6,0,0,30.0,30.0,10.25,0.6801,0.583,0.2712,11.4,4.118
