genealogia,seed_base,rule_id,brazo,clase,es_clase_III,es_clase_III_o_IV,pendiente,z_agg,holon_ratio,diam_b1,giant_b1,grado_medio_b1,n_aristas_b1,diams_por_escala,K,J,noise,meandeg,kcap,seed,seg
H00_113477,113477,A2-B0-C2-r0,C2-hard,II,0,0,0.410446,0.9142,1.2407,9.0,0.991,4.309,4309,9|7|6|5|4,6,0.416,0.324,4.96,7,113478,2.17
H00_113477,113477,A2-B0-C2-r0,C2-hibrido,I,0,0,0.502287,0.8485,0.814,10.0,0.9945,4.734,4734,10|6|5|4|4,6,0.416,0.324,4.96,7,113478,2.67
H00_113477,113477,A2-B0-C2-r1,C2-hard,III,1,1,0.787907,1.0337,1.6841,15.0,0.9665,3.282,3282,15|10|8|5|4,7,0.456,0.324,5.43,5,113575,2.28
H00_113477,113477,A2-B0-C2-r1,C2-hibrido,II,0,0,0.442019,0.7071,1.3359,9.0,0.9895,4.483,4483,9|7|6|5|4,7,0.456,0.324,5.43,5,113575,2.49
H00_113477,113477,A2-B0-C2-r2,C2-hard,I,0,0,0.588946,0.4243,2.4294,12.0,0.9865,4.13,4130,12|8|6|5|4,4,0.674,0.283,6.14,6,113672,2.24
H00_113477,113477,A2-B0-C2-r2,C2-hibrido,II,0,0,0.390008,0.1414,1.92,8.0,0.997,5.943,5943,8|6|5|4|4,4,0.674,0.283,6.14,6,113672,2.65
H00_113477,113477,A2-B0-C2-r3,C2-hard,III,1,1,0.936993,1.9816,3.2586,21.0,0.927,2.634,2634,21|13|9|6|5,7,0.74,0.152,4.07,4,113769,1.83
H00_113477,113477,A2-B0-C2-r3,C2-hibrido,I,0,0,0.593419,0.1949,3.1093,11.0,0.971,3.938,3938,11|8|6|5|4,7,0.74,0.152,4.07,4,113769,2.47
H00_113477,113477,A2-B0-C2-r4,C2-hard,III,1,1,0.891848,0.6364,1.5719,18.0,0.9185,2.519,2519,18|13|8|6|5,7,0.321,0.214,4.27,4,113866,2.02
H00_113477,113477,A2-B0-C2-r4,C2-hibrido,I,0,0,0.605333,0.1414,1.1704,11.0,0.971,3.82,3820,11|8|6|5|4,7,0.321,0.214,4.27,4,113866,2.3
