genealogia,seed_base,rule_id,brazo,clase,es_clase_III,es_clase_III_o_IV,pendiente,z_agg,holon_ratio,diam_b1,giant_b1,grado_medio_b1,n_aristas_b1,diams_por_escala,K,J,noise,meandeg,kcap,seed,seg
H02_344251,344251,A2-B0-C2-r0,C2-hard,I,0,0,0.589833,0.4243,1.4014,12.0,0.981,3.919,3919,12|8|6|5|4,5,0.609,0.326,4.94,6,344252,2.05
H02_344251,344251,A2-B0-C2-r0,C2-hibrido,I,0,0,0.545324,0.8485,1.7151,10.0,0.991,4.818,4818,10|7|5|4|4,5,0.609,0.326,4.94,6,344252,2.61
H02_344251,344251,A2-B0-C2-r1,C2-hard,I,0,0,0.461499,0.7416,3.7697,10.0,0.9885,4.236,4236,10|7|6|5|4,4,0.578,0.16,6.59,6,344349,2.52
H02_344251,344251,A2-B0-C2-r1,C2-hibrido,II,0,0,0.438107,0.6692,3.6146,9.0,0.996,5.296,5296,9|6|5|4|4,4,0.578,0.16,6.59,6,344349,2.65
H02_344251,344251,A2-B0-C2-r2,C2-hard,III,1,1,0.702248,0.4777,1.6529,13.0,0.9685,3.343,3343,13|9|6|5|4,7,0.747,0.275,4.74,5,344446,2.03
H02_344251,344251,A2-B0-C2-r2,C2-hibrido,I,0,0,0.567992,0.2828,1.442,11.0,0.991,4.554,4554,11|7|5|5|4,7,0.747,0.275,4.74,5,344446,2.39
H02_344251,344251,A2-B0-C2-r3,C2-hard,III,1,1,0.728686,0.1949,1.931,14.0,0.94,3.23,3230,14|10|6|5|5,6,0.465,0.229,6.49,5,344543,2.03
H02_344251,344251,A2-B0-C2-r3,C2-hibrido,III,1,1,0.838319,0.7071,1.3248,13.0,0.9245,3.735,3735,13|10|6|5|4,6,0.465,0.229,6.49,5,344543,2.5
H02_344251,344251,A2-B0-C2-r4,C2-hard,I,0,0,0.484346,0.5657,1.42,10.0,0.9895,4.432,4432,10|7|6|5|4,7,0.684,0.258,5.03,7,344640,2.42
H02_344251,344251,A2-B0-C2-r4,C2-hibrido,I,0,0,0.491474,0.8485,2.1779,10.0,0.994,4.946,4946,10|6|5|4|4,7,0.684,0.258,5.03,7,344640,2.57
H02_344251,344251,A2-B0-C2-r5,C2-hard,III,1,1,0.745239,0.6692,2.1269,14.0,0.9715,3.247,3247,14|10|7|5|4,5,0.725,0.243,4.25,5,344737,2.16
H02_344251,344251,A2-B0-C2-r5,C2-hibrido,I,0,0,0.644619,1.2728,1.8875,12.0,0.985,4.177,4177,12|8|6|5|4,5,0.725,0.243,4.25,5,344737,2.4
H02_344251,344251,A2-B0-C2-r6,C2-hard,I,0,0,0.680604,1.3452,2.0143,13.0,0.9765,4.058,4058,13|10|7|5|4,6,0.64,0.167,7.2,6,344834,2.31
H02_344251,344251,A2-B0-C2-r6,C2-hibrido,I,0,0,0.645303,1.2021,1.6874,12.0,0.977,4.87,4870,12|8|6|5|4,6,0.64,0.167,7.2,6,344834,3.07
H02_344251,344251,A2-B0-C2-r7,C2-hard,III,1,1,0.810045,2.2627,2.7225,17.0,0.967,3.246,3246,17|11|7|5|5,5,0.726,0.287,4.2,5,344931,2.32
H02_344251,344251,A2-B0-C2-r7,C2-hibrido,I,0,0,0.508959,0.2828,1.3774,10.0,0.984,4.126,4126,10|7|6|5|4,5,0.726,0.287,4.2,5,344931,2.5
H02_344251,344251,A2-B0-C2-r8,C2-hard,I,0,0,0.505913,0.6692,3.4156,11.0,0.992,4.592,4592,11|7|6|5|4,7,0.689,0.101,5.29,7,345028,2.46
H02_344251,344251,A2-B0-C2-r8,C2-hibrido,I,0,0,0.515951,1.2021,5.7987,11.0,0.995,5.168,5168,11|7|5|5|4,7,0.689,0.101,5.29,7,345028,2.67
H02_344251,344251,A2-B0-C2-r9,C2-hard,I,0,0,0.577077,0.1414,1.6618,11.0,0.9735,3.989,3989,11|8|6|5|4,5,0.331,0.246,7.26,6,345125,2.45
H02_344251,344251,A2-B0-C2-r9,C2-hibrido,I,0,0,0.620497,0.7071,1.4601,10.0,0.9645,4.66,4660,10|7|5|4|4,5,0.331,0.246,7.26,6,345125,2.56
H02_344251,344251,A2-B0-C2-r10,C2-hard,I,0,0,0.607985,1.7627,1.5581,12.0,0.9645,3.23,3230,12|11|6|5|5,8,0.392,0.199,4.73,5,345222,2.5
H02_344251,344251,A2-B0-C2-r10,C2-hibrido,I,0,0,0.633662,0.4087,1.6922,12.0,0.984,4.324,4324,12|8|6|5|4,8,0.392,0.199,4.73,5,345222,2.61
H02_344251,344251,A2-B0-C2-r11,C2-hard,I,0,0,0.615321,0.4243,2.6,12.0,0.979,4.069,4069,12|8|6|5|4,5,0.539,0.202,7.19,6,345319,2.64
H02_344251,344251,A2-B0-C2-r11,C2-hibrido,I,0,0,0.492289,0.5657,2.6699,10.0,0.9755,5.043,5043,10|6|5|5|4,5,0.539,0.202,7.19,6,345319,2.85
H02_344251,344251,A2-B0-C2-r12,C2-hard,III,1,1,0.751384,0.5657,2.1747,14.0,0.9765,3.408,3408,14|9|6|5|4,4,0.597,0.269,5.26,5,345416,2.29
H02_344251,344251,A2-B0-C2-r12,C2-hibrido,I,0,0,0.345886,0.5657,3.5034,8.0,0.995,5.091,5091,8|6|5|5|4,4,0.597,0.269,5.26,5,345416,3.43
H02_344251,344251,A2-B0-C2-r13,C2-hard,III,1,1,0.713223,0.4243,2.9079,14.0,0.979,3.379,3379,14|9|6|5|4,7,0.732,0.305,5.09,5,345513,2.73
H02_344251,344251,A2-B0-C2-r13,C2-hibrido,II,0,0,0.441463,0.0,2.1156,9.0,0.9915,4.844,4844,9|7|5|5|4,7,0.732,0.305,5.09,5,345513,2.89
H02_344251,344251,A2-B0-C2-r14,C2-hard,III,1,1,0.995447,0.1718,2.1675,19.0,0.8895,2.487,2487,19|14|8|6|5,7,0.344,0.109,5.39,4,345610,1.95
H02_344251,344251,A2-B0-C2-r14,C2-hibrido,III,1,1,1.06568,0.5657,1.8146,16.0,0.875,2.83,2830,16|11|7|6|4,7,0.344,0.109,5.39,4,345610,2.33
H02_344251,344251,A2-B0-C2-r15,C2-hard,I,0,0,0.466897,0.1414,2.2398,9.0,0.9965,4.868,4868,9|7|5|4|4,7,0.703,0.223,6.31,7,345707,3.05
H02_344251,344251,A2-B0-C2-r15,C2-hibrido,I,0,0,0.286286,0.5657,2.9632,7.0,0.9985,6.124,6124,7|5|5|4|4,7,0.703,0.223,6.31,7,345707,3.25
H02_344251,344251,A2-B0-C2-r16,C2-hard,III,1,1,0.768929,0.7071,1.4565,14.0,0.95,3.266,3266,14|9|6|5|4,5,0.486,0.343,6.25,5,345804,2.77
H02_344251,344251,A2-B0-C2-r16,C2-hibrido,III,1,1,0.714123,0.3864,1.8225,12.0,0.9405,3.955,3955,12|8|6|5|4,5,0.486,0.343,6.25,5,345804,3.23
