test,condicion,rule_id,seed,N_sistema,pendiente,pendiente_null,z_agg,clase,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,diam_por_escala,ncajas_por_escala,K,J,noise,meandeg,dt,kcap_base,kcap_media_emp,kcap_sd,kcap_cv,kcap_min,kcap_max,grado_inicial_medio
P1-abs,kcap=4,A2-B0-C2-r0,90212,500,1.5197463222339997,1.290415137784951,0.7071067799265478,III,2.8750516013163185,516,2.064,21.0,0.778,21|14|10|5|4,500|328|236|190|168,4,0.404,0.234,7.64,1.0,4,4.0,0.0,0.0,4,4,7.64
P1-abs,kcap=4,A2-B0-C2-r1,90309,500,0.9365124276160955,0.9154682378381097,1.131370847498476,III,2.0660497628789734,614,2.456,15.0,0.888,15|11|8|5|4,500|306|209|149|118,7,0.688,0.281,5.78,0.72,4,4.0,0.0,0.0,4,4,5.78
P1-abs,kcap=4,A2-B0-C2-r2,90406,500,1.024779785815134,1.2053670624710113,0.9342167693590888,III,1.9682543868250804,561,2.244,15.0,0.812,15|10|7|6|4,500|327|228|179|149,7,0.508,0.259,7.01,0.7,4,4.0,0.0,0.0,4,4,7.008
P1-abs,kcap=4,A2-B0-C2-r3,90503,500,0.973140164336715,0.9902822779090493,0.8281507525623562,III,2.7913467299949177,610,2.44,16.0,0.898,16|10|9|5|4,500|313|210|150|127,5,0.66,0.313,5.34,0.67,4,4.0,0.0,0.0,4,4,5.34
P1-abs,kcap=4,A2-B0-C2-r4,90600,500,1.1630337604767955,0.8544969698917384,3.4718362155125995,III,2.699416382238277,632,2.528,22.0,0.916,22|14|10|6|4,500|303|204|156|116,5,0.561,0.109,5.18,0.7,4,4.0,0.0,0.0,4,4,5.18
P1-abs,kcap=4,A2-B0-C2-r5,90697,500,0.9522607953070441,0.886653504784867,0.8485281356238566,III,2.1428569819167858,628,2.512,16.0,0.922,16|11|7|5|4,500|310|208|143|114,5,0.769,0.338,4.97,0.82,4,4.0,0.0,0.0,4,4,4.968
P1-abs,kcap=4,A2-B0-C2-r6,90794,500,1.424641621336553,1.2888147706031967,1.0589602503441216,III,2.102431976609123,526,2.104,18.0,0.784,18|13|7|5|4,500|330|236|191|169,5,0.407,0.249,7.4,0.85,4,4.0,0.0,0.0,4,4,7.4
P1-abs,kcap=4,A2-B0-C2-r7,90891,500,1.2730139142602208,1.1691840654074925,0.7811713766352958,III,1.436565278035464,570,2.28,18.0,0.834,18|14|8|5|4,500|320|228|173|144,7,0.503,0.225,7.25,0.81,4,4.0,0.0,0.0,4,4,7.248
P1-abs,kcap=4,A2-B0-C2-r8,90988,500,1.0645034909953617,1.0080009761722295,0.18708286926369697,III,4.594840507547062,627,2.508,19.0,0.9,19|10|7|5|4,500|308|211|152|117,6,0.544,0.107,4.18,0.78,4,4.0,0.0,0.0,4,4,4.18
P1-abs,kcap=4,A2-B0-C2-r9,91085,500,0.8934530289020611,0.9904692208122406,0.9192388138175114,III,2.4501880268483682,614,2.456,17.0,0.91,17|10|8|5|5,500|308|204|146|123,5,0.397,0.121,5.37,1.08,4,4.0,0.0,0.0,4,4,5.368
P1-abs,kcap=4,A2-B0-C2-r10,91182,500,1.1234526524435915,1.0372301047674704,0.45152605573945026,III,2.4317533573230525,568,2.272,20.0,0.868,20|12|8|6|4,500|324|218|160|126,5,0.441,0.133,6.34,1.03,4,4.0,0.0,0.0,4,4,6.34
P1-abs,kcap=4,A2-B0-C2-r11,91279,500,1.094367425724632,1.0885713378310353,1.1204719401266001,III,1.5762922765869867,546,2.184,18.0,0.824,18|11|8|6|4,500|324|223|168|136,8,0.561,0.315,6.93,0.95,4,4.0,0.0,0.0,4,4,6.928
P1-abs,kcap=4,A2-B0-C2-r12,91376,500,0.8745692167188517,0.9189211547028875,0.4242640682619287,III,1.966654191890233,632,2.528,16.0,0.89,16|10|6|5|5,500|309|203|150|121,7,0.369,0.176,5.34,0.86,4,4.0,0.0,0.0,4,4,5.34
