test,condicion,rule_id,seed,N_sistema,pendiente,pendiente_null,z_agg,clase,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,diam_por_escala,ncajas_por_escala,K,J,noise,meandeg,dt,kcap_base,kcap_media_emp,kcap_sd,kcap_cv,kcap_min,kcap_max,grado_inicial_medio
P2-norm,NORM-log,A2-B0-C2-r0,90212,500,0.8180013390014467,0.8093503930718559,0.46348729496648816,III,2.6207813712084596,724,2.896,12.0,0.914,12|9|6|5|4,500|308|211|153|133,4,0.404,0.234,7.64,0.85,5,5.0,0.0,0.0,5,5,7.64
P2-norm,NORM-log,A2-B0-C2-r1,90309,500,0.6345759745707976,0.5938146504509452,0.4242640678119285,I,1.6340078982975335,816,3.264,13.0,0.96,13|7|5|5|4,500|297|182|122|89,7,0.688,0.281,5.78,0.73,5,5.0,0.0,0.0,5,5,5.78
P2-norm,NORM-log,A2-B0-C2-r2,90406,500,0.7576915899070092,0.7682998423890209,0.7855532336956672,III,1.2497784156544267,755,3.02,14.0,0.946,14|8|7|5|4,500|305|201|135|105,7,0.508,0.259,7.01,0.86,5,5.0,0.0,0.0,5,5,7.008
P2-norm,NORM-log,A2-B0-C2-r3,90503,500,0.7028049563487878,0.6137574475342982,0.5311685644911839,III,1.651049993189193,819,3.276,12.0,0.97,12|8|5|4|4,500|296|180|124|94,5,0.66,0.313,5.34,0.99,5,5.0,0.0,0.0,5,5,5.34
P2-norm,NORM-log,A2-B0-C2-r4,90600,500,0.6240453214207632,0.5273901281506591,0.8329466654473767,I,2.5460890501788276,839,3.356,12.0,0.97,12|8|5|5|4,500|293|182|125|87,5,0.561,0.109,5.18,0.78,5,5.0,0.0,0.0,5,5,5.18
P2-norm,NORM-log,A2-B0-C2-r5,90697,500,0.7096638201159857,0.6078497041497952,1.979898983422333,III,1.5114292938164902,843,3.372,12.0,0.984,12|11|5|5|4,500|296|180|123|93,5,0.769,0.338,4.97,1.01,5,5.0,0.0,0.0,5,5,4.968
P2-norm,NORM-log,A2-B0-C2-r6,90794,500,0.6366309830280537,0.7128435766243213,0.7071067796865472,I,2.2880852876718034,740,2.96,10.0,0.926,10|8|6|5|4,500|309|204|149|122,5,0.407,0.249,7.4,1.04,5,5.0,0.0,0.0,5,5,7.4
P2-norm,NORM-log,A2-B0-C2-r7,90891,500,0.7494359820314174,0.7180594353142523,1.131370847498476,III,1.4804976347681287,776,3.104,13.0,0.934,13|9|7|5|4,500|305|186|134|110,7,0.503,0.225,7.25,1.22,5,5.0,0.0,0.0,5,5,7.248
P2-norm,NORM-log,A2-B0-C2-r8,90988,500,0.7448826684104998,0.6484972666248494,0.739923719871401,III,2.4680327032584954,788,3.152,12.0,0.96,12|9|6|4|4,500|298|185|128|100,6,0.544,0.107,4.18,0.96,5,5.0,0.0,0.0,5,5,4.18
P2-norm,NORM-log,A2-B0-C2-r9,91085,500,0.7940588337369677,0.6773435689982703,0.631319303893945,III,2.7298301731945793,796,3.184,13.0,0.956,13|7|6|5|3,500|296|188|128|100,5,0.397,0.121,5.37,0.98,5,5.0,0.0,0.0,5,5,5.368
