test,condicion,rule_id,seed,N_sistema,pendiente,pendiente_null,z_agg,clase,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,diam_por_escala,ncajas_por_escala,K,J,noise,meandeg,dt,kcap_base,kcap_media_emp,kcap_sd,kcap_cv,kcap_min,kcap_max,grado_inicial_medio
P3-het,UNIF,A2-B0-C2-r0,90212,1000,0.5078387292033911,0.6027923459593931,0.7071067798365476,I,2.122142423777789,1998,3.996,10.0,0.973,10|7|6|5|4,1000|586|364|253|180,4,0.404,0.234,7.64,2.14,6,6.0,0.0,0.0,6,6,7.64
P3-het,UNIF,A2-B0-C2-r1,90309,1000,0.5658015564540786,0.5361558555065961,0.3863703299156272,I,2.1418519929076014,2067,4.134,10.0,0.992,10|8|5|4|4,1000|573|347|223|166,7,0.688,0.281,5.78,2.3,6,6.0,0.0,0.0,6,6,5.78
P3-het,UNIF,A2-B0-C2-r2,90406,1000,0.62789797851647,0.5171667673436566,0.848528135623857,I,1.785367165109355,2050,4.1,12.0,0.985,12|7|4|4|4,1000|586|343|236|161,7,0.508,0.259,7.01,2.59,6,6.0,0.0,0.0,6,6,7.01
P3-het,UNIF,A2-B0-C2-r3,90503,1000,0.5233950273571463,0.501893041925933,0.6363961017928931,I,2.465589563301417,2060,4.12,10.0,0.991,10|7|6|4|4,1000|577|360|218|161,5,0.66,0.313,5.34,2.13,6,6.0,0.0,0.0,6,6,5.34
P3-het,UNIF,A2-B0-C2-r4,90600,1000,0.5812886104141447,0.5553344136008508,0.21213203398096425,I,5.842933698900724,1992,3.984,11.0,0.989,11|8|5|5|4,1000|572|343|236|177,5,0.561,0.109,5.18,2.5,6,6.0,0.0,0.0,6,6,5.18
P3-het,UNIF,A2-B0-C2-r5,90697,1000,0.5081578625909876,0.5183255687004312,0.4242640678119285,I,2.14918882768976,1980,3.96,10.0,0.986,10|7|5|5|4,1000|577|343|236|180,5,0.769,0.338,4.97,2.26,6,6.0,0.0,0.0,6,6,4.97
P3-het,UNIF,A2-B0-C2-r6,90794,1000,0.5942286026674959,0.6176847295079588,0.9899494915611664,I,1.7407901290167438,1961,3.922,11.0,0.97,11|7|5|5|4,1000|581|375|253|202,5,0.407,0.249,7.4,2.67,6,6.0,0.0,0.0,6,6,7.4
P3-het,UNIF,A2-B0-C2-r7,90891,1000,0.6128025578227855,0.49657679037435465,1.8005838892887218,I,1.6667972959997168,2003,4.006,12.0,0.984,12|8|5|5|4,1000|574|345|225|176,7,0.503,0.225,7.25,2.5,6,6.0,0.0,0.0,6,6,7.25
P3-het,UNIF,A2-B0-C2-r8,90988,1000,0.6048983090038141,0.6839133492595423,0.8485281356238573,I,1.7428538736600276,1813,3.626,12.0,0.98,12|7|6|5|4,1000|586|356|237|194,6,0.544,0.107,4.18,2.44,6,6.0,0.0,0.0,6,6,4.18
P3-het,UNIF,A2-B0-C2-r9,91085,1000,0.5423175029046524,0.5686439227493675,0.42426406781192816,I,2.8659464439610782,2023,4.046,11.0,0.981,11|7|5|5|4,1000|578|348|233|172,5,0.397,0.121,5.37,2.23,6,6.0,0.0,0.0,6,6,5.37
P3-het,UNIF,A2-B0-C2-r10,91182,1000,0.4614720958219105,0.4855122145394646,0.7071067796865472,I,3.071442743555468,2053,4.106,10.0,0.984,10|6|6|5|4,1000|573|348|219|189,5,0.441,0.133,6.34,2.12,6,6.0,0.0,0.0,6,6,6.34
P3-het,UNIF,A2-B0-C2-r11,91279,1000,0.5382832615151117,0.4949210229714748,0.7778174580302022,I,2.2168801148465347,1980,3.96,11.0,0.981,11|7|6|5|4,1000|581|357|242|171,8,0.561,0.315,6.93,2.29,6,6.0,0.0,0.0,6,6,6.93
P3-het,UNIF,A2-B0-C2-r12,91376,1000,0.47967734345012614,0.5199855737176077,0.40531719893877793,I,2.1438151747837457,2006,4.012,10.0,0.989,10|7|5|5|4,1000|575|353|235|158,7,0.369,0.176,5.34,2.54,6,6.0,0.0,0.0,6,6,5.34
P3-het,UNIF,A2-B0-C2-r13,91473,1000,0.43034261011882974,0.5112583932894521,0.5656854237492375,II,1.6534892008334072,2003,4.006,9.0,0.984,9|7|6|5|4,1000|571|350|224|169,7,0.527,0.286,7.06,2.41,6,6.0,0.0,0.0,6,6,7.06
P3-het,UNIF,A2-B0-C2-r14,91570,1000,0.587212313260863,0.5313328512183664,0.7778174581802025,I,2.3407648104724936,2059,4.118,13.0,0.976,13|7|5|5|4,1000|584|357|226|156,7,0.47,0.192,6.75,2.93,6,6.0,0.0,0.0,6,6,6.75
P3-het,UNIF,A2-B0-C2-r0,90212,2000,0.5883591670766531,0.609515685928161,0.2121320341309641,I,1.6846566783030945,4062,4.062,11.0,0.974,11|8|6|5|4,2000|1166|721|472|386,4,0.404,0.234,7.64,5.76,6,6.0,0.0,0.0,6,6,7.64
P3-het,UNIF,A2-B0-C2-r1,90309,2000,0.6038507260678416,0.5400552667492926,0.2449489739783178,I,1.730522915696777,4069,4.069,12.0,0.9865,12|9|6|5|4,2000|1146|688|454|315,7,0.688,0.281,5.78,5.33,6,6.0,0.0,0.0,6,6,5.78
P3-het,UNIF,A2-B0-C2-r2,90406,2000,0.5659022239424925,0.5857900223489783,0.35355338991827345,I,1.9553185879204888,4085,4.085,11.0,0.982,11|8|6|5|4,2000|1155|716|467|349,7,0.508,0.259,7.01,5.53,6,6.0,0.0,0.0,6,6,7.01
P3-het,UNIF,A2-B0-C2-r3,90503,2000,0.45689064650756733,0.5293339986382422,0.7778174577302019,I,1.9215220998516505,4092,4.092,9.0,0.9865,9|8|6|5|4,2000|1142|685|454|334,5,0.66,0.313,5.34,5.73,6,6.0,0.0,0.0,6,6,5.34
P3-het,UNIF,A2-B0-C2-r4,90600,2000,0.6284071293803035,0.507834674833207,1.5556349153104045,I,4.321843607703758,4083,4.083,14.0,0.993,14|7|5|5|4,2000|1140|701|447|316,5,0.561,0.109,5.18,6.17,6,6.0,0.0,0.0,6,6,5.18
P3-het,UNIF,A2-B0-C2-r5,90697,2000,0.4965486876341615,0.648335033499167,0.9899494920111666,I,2.502240589197241,3922,3.922,10.0,0.9835,10|7|6|5|4,2000|1166|711|471|359,5,0.769,0.338,4.97,6.15,6,6.0,0.0,0.0,6,6,4.97
P3-het,UNIF,A2-B0-C2-r6,90794,2000,0.6341020740751763,0.5358926049689038,1.4142135593730951,I,1.7796676635095916,4024,4.024,12.0,0.975,12|9|6|5|4,2000|1165|707|475|348,5,0.407,0.249,7.4,6.81,6,6.0,0.0,0.0,6,6,7.4
P3-het,UNIF,A2-B0-C2-r7,90891,2000,0.6057155290085577,0.5457565225889762,0.527791685852937,I,1.751619101246544,4073,4.073,12.0,0.981,12|8|6|5|4,2000|1151|722|470|343,7,0.503,0.225,7.25,8.97,6,6.0,0.0,0.0,6,6,7.25
P3-het,UNIF,A2-B0-C2-r8,90988,2000,0.5933308031518034,0.6752048686286225,0.4949747461555834,I,2.0381520669350754,3619,3.619,11.0,0.981,11|8|6|5|4,2000|1180|727|492|383,6,0.544,0.107,4.18,6.46,6,6.0,0.0,0.0,6,6,4.18
P3-het,UNIF,A2-B0-C2-r9,91085,2000,0.4985026430780506,0.5300862657149807,0.5656854237492382,I,1.7083542967376482,4046,4.046,10.0,0.99,10|8|6|5|4,2000|1136|672|445|323,5,0.397,0.121,5.37,6.37,6,6.0,0.0,0.0,6,6,5.37
P3-het,UNIF,A2-B0-C2-r10,91182,2000,0.6502000561386319,0.512900005826242,2.1213203390596425,I,3.1997281381089406,4115,4.115,13.0,0.9885,13|10|6|5|4,2000|1141|700|427|313,5,0.441,0.133,6.34,6.94,6,6.0,0.0,0.0,6,6,6.34
