cfg_id,familia,admitida,P1_ok,P2_ok,P3_ok,P4_ok,P5_ok,P1_detalle,P2_detalle,P3_detalle,P4_detalle,P5_detalle,motivo_descarte
FASE00,FASE,True,True,True,True,True,True,persistencia_real=0.788 vs sin_memoria=0.503 (burn-in=40 pasos),K=6 (alfabeto de fase = dimensión interna de diferencia),sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),desplazamientos cerrados bajo negación=True (4 vecinos),nombres prohibidos=ninguno; len(desc)=211<500=True,
FASE01,FASE,True,True,True,True,True,True,persistencia_real=0.669 vs sin_memoria=0.484 (burn-in=40 pasos),K=6 (alfabeto de fase = dimensión interna de diferencia),sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),desplazamientos cerrados bajo negación=True (4 vecinos),nombres prohibidos=ninguno; len(desc)=210<500=True,
FASE02,FASE,True,True,True,True,True,True,persistencia_real=0.803 vs sin_memoria=0.495 (burn-in=40 pasos),K=6 (alfabeto de fase = dimensión interna de diferencia),sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),desplazamientos cerrados bajo negación=True (4 vecinos),nombres prohibidos=ninguno; len(desc)=210<500=True,
FASE03,FASE,True,True,True,True,True,True,persistencia_real=0.728 vs sin_memoria=0.500 (burn-in=40 pasos),K=6 (alfabeto de fase = dimensión interna de diferencia),sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),desplazamientos cerrados bajo negación=True (4 vecinos),nombres prohibidos=ninguno; len(desc)=211<500=True,
FASE04,FASE,True,True,True,True,True,True,persistencia_real=0.820 vs sin_memoria=0.493 (burn-in=40 pasos),K=6 (alfabeto de fase = dimensión interna de diferencia),sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),desplazamientos cerrados bajo negación=True (4 vecinos),nombres prohibidos=ninguno; len(desc)=210<500=True,
FASE05,FASE,True,True,True,True,True,True,persistencia_real=0.799 vs sin_memoria=0.498 (burn-in=40 pasos),K=6 (alfabeto de fase = dimensión interna de diferencia),sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),desplazamientos cerrados bajo negación=True (4 vecinos),nombres prohibidos=ninguno; len(desc)=211<500=True,
FASE06,FASE,True,True,True,True,True,True,persistencia_real=0.663 vs sin_memoria=0.494 (burn-in=40 pasos),K=4 (alfabeto de fase = dimensión interna de diferencia),sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),desplazamientos cerrados bajo negación=True (8 vecinos),nombres prohibidos=ninguno; len(desc)=211<500=True,
FASE07,FASE,True,True,True,True,True,True,persistencia_real=0.724 vs sin_memoria=0.496 (burn-in=40 pasos),K=8 (alfabeto de fase = dimensión interna de diferencia),sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),desplazamientos cerrados bajo negación=True (8 vecinos),nombres prohibidos=ninguno; len(desc)=211<500=True,
FASE08,FASE,True,True,True,True,True,True,persistencia_real=0.885 vs sin_memoria=0.498 (burn-in=40 pasos),K=6 (alfabeto de fase = dimensión interna de diferencia),sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),desplazamientos cerrados bajo negación=True (8 vecinos),nombres prohibidos=ninguno; len(desc)=211<500=True,
FASE09,FASE,True,True,True,True,True,True,persistencia_real=0.783 vs sin_memoria=0.498 (burn-in=40 pasos),K=6 (alfabeto de fase = dimensión interna de diferencia),sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),desplazamientos cerrados bajo negación=True (4 vecinos),nombres prohibidos=ninguno; len(desc)=210<500=True,
RD00,RD,True,True,True,True,True,True,persistencia_real=1.000 vs sin_memoria=0.507 (burn-in=400 pasos),"dos especies U,V acopladas (tipo de sustancia = dimensión interna de diferencia)",sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),"desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.375): U→V=7.03e-03, V→U=1.23e-02 (ambos >0 = recíproco)",nombres prohibidos=ninguno; len(desc)=263<500=True,
RD01,RD,False,True,True,True,False,True,persistencia_real=1.000 vs sin_memoria=0.495 (burn-in=400 pasos),"dos especies U,V acopladas (tipo de sustancia = dimensión interna de diferencia)",sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),"desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.000): U→V=5.09e-23, V→U=2.50e-03 (ambos >0 = recíproco)",nombres prohibidos=ninguno; len(desc)=262<500=True,"P4=desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.000): U→V=5.09e-23, V→U=2.50e-03 (ambos >0 = recíproco)"
RD02,RD,True,True,True,True,True,True,persistencia_real=1.000 vs sin_memoria=0.499 (burn-in=400 pasos),"dos especies U,V acopladas (tipo de sustancia = dimensión interna de diferencia)",sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),"desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.380): U→V=7.23e-03, V→U=1.17e-02 (ambos >0 = recíproco)",nombres prohibidos=ninguno; len(desc)=261<500=True,
RD03,RD,True,True,True,True,True,True,persistencia_real=0.995 vs sin_memoria=0.499 (burn-in=400 pasos),"dos especies U,V acopladas (tipo de sustancia = dimensión interna de diferencia)",sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),"desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.383): U→V=7.32e-03, V→U=1.14e-02 (ambos >0 = recíproco)",nombres prohibidos=ninguno; len(desc)=262<500=True,
RD04,RD,True,True,True,True,True,True,persistencia_real=0.938 vs sin_memoria=0.912 (burn-in=400 pasos),"dos especies U,V acopladas (tipo de sustancia = dimensión interna de diferencia)",sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),"desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.413): U→V=8.54e-03, V→U=1.38e-02 (ambos >0 = recíproco)",nombres prohibidos=ninguno; len(desc)=263<500=True,
RD05,RD,False,True,True,True,False,True,persistencia_real=0.943 vs sin_memoria=0.652 (burn-in=400 pasos),"dos especies U,V acopladas (tipo de sustancia = dimensión interna de diferencia)",sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),"desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.000): U→V=8.02e-26, V→U=2.50e-03 (ambos >0 = recíproco)",nombres prohibidos=ninguno; len(desc)=262<500=True,"P4=desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.000): U→V=8.02e-26, V→U=2.50e-03 (ambos >0 = recíproco)"
RD06,RD,True,True,True,True,True,True,persistencia_real=0.990 vs sin_memoria=0.497 (burn-in=400 pasos),"dos especies U,V acopladas (tipo de sustancia = dimensión interna de diferencia)",sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),"desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.383): U→V=7.32e-03, V→U=1.21e-02 (ambos >0 = recíproco)",nombres prohibidos=ninguno; len(desc)=265<500=True,
RD07,RD,False,True,True,True,False,True,persistencia_real=0.938 vs sin_memoria=0.900 (burn-in=400 pasos),"dos especies U,V acopladas (tipo de sustancia = dimensión interna de diferencia)",sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),"desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.000): U→V=0.00e+00, V→U=2.50e-03 (ambos >0 = recíproco)",nombres prohibidos=ninguno; len(desc)=263<500=True,"P4=desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.000): U→V=0.00e+00, V→U=2.50e-03 (ambos >0 = recíproco)"
RD08,RD,False,False,True,True,False,True,persistencia_real=0.938 vs sin_memoria=0.926 (burn-in=400 pasos),"dos especies U,V acopladas (tipo de sustancia = dimensión interna de diferencia)",sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),"desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.000): U→V=0.00e+00, V→U=2.50e-03 (ambos >0 = recíproco)",nombres prohibidos=ninguno; len(desc)=261<500=True,"P1=persistencia_real=0.938 vs sin_memoria=0.926 (burn-in=400 pasos); P4=desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.000): U→V=0.00e+00, V→U=2.50e-03 (ambos >0 = recíproco)"
RD09,RD,False,True,True,True,False,True,persistencia_real=0.938 vs sin_memoria=0.882 (burn-in=400 pasos),"dos especies U,V acopladas (tipo de sustancia = dimensión interna de diferencia)",sin patrones de coordenadas en el CÓDIGO de sustrato/dinámica (docstrings excluidas),"desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.000): U→V=0.00e+00, V→U=2.50e-03 (ambos >0 = recíproco)",nombres prohibidos=ninguno; len(desc)=262<500=True,"P4=desplazamientos cerrados bajo negación=True (4 vecinos); en el sitio de V máximo (V=0.000): U→V=0.00e+00, V→U=2.50e-03 (ambos >0 = recíproco)"
