combo,eje_A,eje_B,eje_C,rule_id,seed,K,J,noise,meandeg,sim_thr_frac,kcap,escala_b,N,diam_real_viejo,diam_real_corr,diam_null_viejo,diam_null_corr,diam_null_std_viejo,diam_null_std_corr,giant_real,holon_real,holon_null_valor,n_aristas,n_triangulos,tam_comp_medida,tam_gigante,n_componentes,n_aislados,descarrila,difiere_real,difiere_null
A0-B0-C0,A0,B0,C0,A0-B0-C0-r0,620001,5,0.402,0.348,7.62,0.34,6,1,2000,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,2.1291071385411002,1.4628423235984298,20154,1500,2000,2000,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r0,620001,5,0.402,0.348,7.62,0.34,6,2,1032,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,2.1291071385411002,1.4628423235984298,18887,1500,1032,1032,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r0,620001,5,0.402,0.348,7.62,0.34,6,4,543,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,2.1291071385411002,1.4628423235984298,17427,1500,543,543,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r0,620001,5,0.402,0.348,7.62,0.34,6,8,302,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,2.1291071385411002,1.4628423235984298,14125,1500,302,302,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r0,620001,5,0.402,0.348,7.62,0.34,6,16,176,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,2.1291071385411002,1.4628423235984298,7652,1500,176,176,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r1,620098,7,0.774,0.191,6.12,0.163,6,1,2000,6.0,6.0,5.0,5.0,1e-09,1e-09,0.9995,1.4878400598783572,1.522765539290009,9882,1122,1999,1999,1,1,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r1,620098,7,0.774,0.191,6.12,0.163,6,2,1072,5.0,5.0,4.0,4.0,1e-09,1e-09,0.9990671641791045,1.4878400598783572,1.522765539290009,8824,1122,1071,1071,1,1,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r1,620098,7,0.774,0.191,6.12,0.163,6,4,587,4.0,4.0,3.3333333333333335,3.3333333333333335,0.4714045217910317,0.4714045217910317,0.9982964224872232,1.4878400598783572,1.522765539290009,7982,1122,586,586,1,1,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r1,620098,7,0.774,0.191,6.12,0.163,6,8,334,3.0,3.0,3.0,3.0,1e-09,1e-09,0.9970059880239521,1.4878400598783572,1.522765539290009,6762,1122,333,333,1,1,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r1,620098,7,0.774,0.191,6.12,0.163,6,16,216,3.0,3.0,2.3333333333333335,2.3333333333333335,0.4714045217910317,0.4714045217910317,0.9953703703703703,1.4878400598783572,1.522765539290009,4535,1122,215,215,1,1,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r2,620195,5,0.53,0.125,7.06,0.185,5,1,2000,5.0,5.0,5.0,5.0,1e-09,1e-09,1.0,1.3407909950616923,1.449003012593172,10852,1146,2000,2000,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r2,620195,5,0.53,0.125,7.06,0.185,5,2,1055,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,1.3407909950616923,1.449003012593172,9781,1146,1055,1055,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r2,620195,5,0.53,0.125,7.06,0.185,5,4,585,3.0,3.0,3.3333333333333335,3.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,1.3407909950616923,1.449003012593172,8922,1146,585,585,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r2,620195,5,0.53,0.125,7.06,0.185,5,8,331,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.3407909950616923,1.449003012593172,7514,1146,331,331,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r2,620195,5,0.53,0.125,7.06,0.185,5,16,229,3.0,3.0,2.0,2.0,1e-09,1e-09,1.0,1.3407909950616923,1.449003012593172,5138,1146,229,229,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r3,620292,5,0.573,0.13,6.07,0.168,6,1,2000,6.0,6.0,5.333333333333333,5.333333333333333,0.4714045217910317,0.4714045217910317,1.0,1.2294653472670414,1.5324858616315442,10037,1131,2000,2000,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r3,620292,5,0.573,0.13,6.07,0.168,6,2,1065,5.0,5.0,4.0,4.0,1e-09,1e-09,1.0,1.2294653472670414,1.5324858616315442,8990,1131,1065,1065,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r3,620292,5,0.573,0.13,6.07,0.168,6,4,591,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.2294653472670414,1.5324858616315442,8178,1131,591,591,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r3,620292,5,0.573,0.13,6.07,0.168,6,8,354,4.0,4.0,3.3333333333333335,3.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,1.2294653472670414,1.5324858616315442,6857,1131,354,354,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r3,620292,5,0.573,0.13,6.07,0.168,6,16,230,3.0,3.0,2.3333333333333335,2.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,1.2294653472670414,1.5324858616315442,4631,1131,230,230,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r4,620389,7,0.367,0.199,7.35,0.283,5,1,2000,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,1.8486653153565942,1.494042584329762,16808,1500,2000,2000,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r4,620389,7,0.367,0.199,7.35,0.283,5,2,1040,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.8486653153565942,1.494042584329762,15616,1500,1040,1040,1,0,False,False,False
