combo,eje_A,eje_B,eje_C,rule_id,seed,K,J,noise,meandeg,sim_thr_frac,kcap,clase_vieja,clase_corregida,cambia_clase,pendiente_vieja,pendiente_corr,z_agg_viejo,z_agg_corr,z_sost_viejo,z_sost_corr,holon_ratio,n_escalas_descarrila,n_escalas_difiere_real,n_escalas_difiere_null,diam_viejo_por_escala,diam_corr_por_escala,gigante_frac_b1,segundos
A0-B0-C0,A0,B0,C0,A0-B0-C0-r0,620001,5,0.402,0.348,7.62,0.34,6,I,I,False,0.29452040276364383,0.29452040276364383,0.0,0.0,False,False,0.6870684415631586,0,0,0,4|3|3|2|2,4|3|3|2|2,1.0,13.04
A0-B0-C0,A0,B0,C0,A0-B0-C0-r1,620098,7,0.774,0.191,6.12,0.163,6,I,I,False,0.34031793393699156,0.34031793393699156,0.5656854237492379,0.5656854237492379,False,False,1.0234739474715495,0,0,0,6|5|4|3|3,6|5|4|3|3,0.9995,6.5
A0-B0-C0,A0,B0,C0,A0-B0-C0-r2,620195,5,0.53,0.125,7.06,0.185,5,I,I,False,0.24572086687998654,0.24572086687998654,0.14142135593730956,0.14142135593730956,False,False,1.0807075956879475,0,0,0,5|4|3|3|3,5|4|3|3|3,1.0,6.8
A0-B0-C0,A0,B0,C0,A0-B0-C0-r3,620292,5,0.573,0.13,6.07,0.168,6,I,I,False,0.30168539073144474,0.30168539073144474,0.848528135623857,0.848528135623857,False,False,1.2464652745505047,0,0,0,6|5|3|4|3,6|5|3|4|3,1.0,6.47
A0-B0-C0,A0,B0,C0,A0-B0-C0-r4,620389,7,0.367,0.199,7.35,0.283,5,I,I,False,0.2262308927973744,0.2262308927973744,0.28284271187461896,0.28284271187461896,False,False,0.8081736439359615,0,0,0,4|3|3|3|2,4|3|3|3|2,1.0,9.83
A0-B0-C0,A0,B0,C0,A0-B0-C0-r5,620486,5,0.594,0.148,6.21,0.257,4,I,I,False,0.22715821611815,0.22715821611815,0.4242640678119285,0.4242640678119285,False,False,0.7896299120670253,0,0,0,4|3|3|3|2,4|3|3|3|2,1.0,9.55
A0-B0-C0,A0,B0,C0,A0-B0-C0-r6,620583,6,0.79,0.229,7.65,0.177,5,I,I,False,0.239849939794762,0.239849939794762,0.565685423749238,0.565685423749238,False,False,1.1631646881687832,0,0,0,5|4|3|3|3,5|4|3|3|3,1.0,7.16
A0-B0-C0,A0,B0,C0,A0-B0-C0-r7,620680,7,0.528,0.226,6.02,0.259,5,I,I,False,0.23038326266885867,0.23038326266885867,0.14142135593730956,0.14142135593730956,False,False,0.7770244452457853,0,0,0,4|3|3|3|2,4|3|3|3|2,1.0,8.76
A0-B0-C0,A0,B0,C0,A0-B0-C0-r8,620777,5,0.658,0.259,5.52,0.201,5,II,II,False,0.3689005731486149,0.3689005731486149,0.42426406781192866,0.42426406781192866,False,False,1.0649616371663255,0,0,0,5|4|3|3|2,5|4|3|3|2,1.0,6.85
A0-B0-C0,A0,B0,C0,A0-B0-C0-r9,620874,4,0.518,0.178,5.89,0.296,6,I,I,False,0.2960396038170849,0.2960396038170849,0.14142135593730956,0.14142135593730956,False,False,1.1140208054410285,0,0,0,4|3|3|2|2,4|3|3|2|2,1.0,8.91
A0-B0-C1,A0,B0,C1,A0-B0-C1-r0,625001,6,0.577,0.14,7.63,0.162,5,I,I,False,0.1531653880283521,0.1531653880283521,1.1313708474984763,1.1313708474984763,False,False,1.2594815356888411,0,0,0,6|4|4|4|4,6|4|4|4|4,0.9995,5.28
A0-B0-C1,A0,B0,C1,A0-B0-C1-r1,625098,5,0.486,0.135,5.46,0.227,5,I,I,False,0.28256380375185586,0.28256380375185586,0.42426406781192866,0.42426406781192866,False,False,0.9644603238720716,0,0,0,4|4|3|3|2,4|4|3|3|2,1.0,7.43
A0-B0-C1,A0,B0,C1,A0-B0-C1-r2,625195,4,0.419,0.149,5.89,0.326,7,I,I,False,0.2874243951303462,0.2874243951303462,0.0,0.0,False,False,0.9231824147909856,0,0,0,4|3|3|2|2,4|3|3|2|2,1.0,9.89
A0-B0-C1,A0,B0,C1,A0-B0-C1-r3,625292,8,0.381,0.165,6.36,0.236,5,I,I,False,0.23705774948696673,0.23705774948696673,0.42426406781192866,0.42426406781192866,False,False,0.7144123696623826,0,0,0,4|3|3|3|2,4|3|3|3|2,1.0,7.62
A0-B0-C1,A0,B0,C1,A0-B0-C1-r4,625389,5,0.52,0.247,5.14,0.338,6,I,I,False,0.22822500700977444,0.22822500700977444,0.28284271187461896,0.28284271187461896,False,False,0.7368403130243247,0,0,0,4|3|3|3|2,4|3|3|3|2,1.0,10.68
A0-B0-C1,A0,B0,C1,A0-B0-C1-r5,625486,5,0.568,0.17,6.12,0.196,5,II,II,False,0.3782894916634925,0.3782894916634925,0.14142135593730937,0.14142135593730937,False,False,0.9706115066326262,0,0,0,5|4|3|3|2,5|4|3|3|2,1.0,8.32
A0-B0-C1,A0,B0,C1,A0-B0-C1-r6,625583,6,0.592,0.331,6.9,0.278,5,I,I,False,0.29311179858393127,0.29311179858393127,0.14142135593730956,0.14142135593730956,False,False,0.7483384611494789,0,0,0,4|3|3|2|2,4|3|3|2|2,1.0,9.05
A0-B0-C1,A0,B0,C1,A0-B0-C1-r7,625680,6,0.383,0.281,6.43,0.256,6,I,I,False,0.22949053329535316,0.22949053329535316,0.14142135593730956,0.14142135593730956,False,False,0.785923968400278,0,0,0,4|3|3|3|2,4|3|3|3|2,1.0,9.5
A0-B0-C1,A0,B0,C1,A0-B0-C1-r8,625777,6,0.432,0.16,7.71,0.276,7,I,I,False,0.2969503160680167,0.2969503160680167,0.14142135593730956,0.14142135593730956,False,False,0.7728221675037035,0,0,0,4|3|3|2|2,4|3|3|2|2,1.0,9.57
A0-B0-C1,A0,B0,C1,A0-B0-C1-r9,625874,6,0.652,0.303,5.17,0.2,6,II,II,False,0.374638484849841,0.374638484849841,0.2828427118746191,0.2828427118746191,False,False,0.97959446165648,0,0,0,5|4|3|3|2,5|4|3|3|2,1.0,7.52
A0-B0-C2,A0,B0,C2,A0-B0-C2-r0,630001,7,0.521,0.225,7.67,0.16,6,I,I,False,0.24762803907896183,0.24762803907896183,0.28284271187461896,0.28284271187461896,False,False,0.9865978401075886,0,0,0,6|4|5|4|3,6|4|5|4|3,1.0,5.7
A0-B0-C2,A0,B0,C2,A0-B0-C2-r1,630098,6,0.696,0.306,4.25,0.313,4,I,I,False,0.29589500340128555,0.29589500340128555,0.28284271187461896,0.28284271187461896,False,False,0.7217375840167369,0,0,0,4|3|3|2|2,4|3|3|2|2,1.0,10.32
A0-B0-C2,A0,B0,C2,A0-B0-C2-r2,630195,7,0.446,0.286,4.17,0.349,5,I,I,False,0.29114862053551294,0.29114862053551294,0.0,0.0,False,False,0.8322149664993962,0,0,0,4|3|3|2|2,4|3|3|2|2,1.0,11.03
A0-B0-C2,A0,B0,C2,A0-B0-C2-r3,630292,5,0.49,0.213,7.62,0.327,5,I,I,False,0.2937208654927169,0.2937208654927169,0.0,0.0,False,False,0.7159206839653014,0,0,0,4|3|3|2|2,4|3|3|2|2,1.0,10.26
A0-B0-C2,A0,B0,C2,A0-B0-C2-r4,630389,6,0.684,0.327,5.2,0.163,5,I,I,False,0.2527558033363142,0.2527558033363142,0.2828427118746191,0.2828427118746191,False,False,1.1161972203511457,0,0,0,6|4|4|4|3,6|4|4|4|3,1.0,5.28
A0-B0-C2,A0,B0,C2,A0-B0-C2-r5,630486,8,0.482,0.343,6.4,0.184,7,I,I,False,0.23675141322912502,0.23675141322912502,0.4242640678119285,0.4242640678119285,False,False,0.7384149776686588,0,0,0,5|4|3|3|3,5|4|3|3|3,1.0,6.15
A0-B0-C2,A0,B0,C2,A0-B0-C2-r6,630583,7,0.523,0.233,7.93,0.189,7,II,II,False,0.36676215109746496,0.36676215109746496,0.0,0.0,False,False,0.9515488323751795,0,0,0,5|4|3|3|2,5|4|3|3|2,1.0,6.5
A0-B0-C2,A0,B0,C2,A0-B0-C2-r7,630680,4,0.307,0.161,7.55,0.195,6,I,I,False,0.2338864377708901,0.2338864377708901,0.4242640678119285,0.4242640678119285,False,False,1.392284936842569,0,0,0,5|4|3|3|3,5|4|3|3|3,1.0,6.24
