rule_id,clase,N,npart,sep_media,fof_b0.20,ngrupos_b0.20,fof_b0.30,ngrupos_b0.30,fof_b0.50,ngrupos_b0.50,dens_k8_cv,par
A2-B0-C2-batch4-r57,I,2000,2000,7.745961543236626,0.5924999999999994,67,0.654500000000001,13,0.6754999999999836,1,4.324533141700026,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43
A2-B0-C2-batch4-r43,III,2000,2000,7.745961543236626,0.6189999999999994,66,0.6844999999999976,7,0.695999999999983,3,4.3233405327138525,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43
A2-B0-C2-batch4-r57,I,4000,4000,6.147973751119519,0.6570000000000028,22,0.662750000000023,1,0.6680000000000238,1,5.969348295611058,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43
A2-B0-C2-batch4-r43,III,4000,4000,6.147973751119519,0.6807499999999986,18,0.6870000000000267,1,0.694750000000028,1,6.068593406795263,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43
A2-B0-C2-batch3-r112,I,2000,2000,7.745961543236626,0.6169999999999994,64,0.6750000000000015,14,0.6914999999999831,3,4.222577279573662,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108
A2-B0-C2-batch3-r108,III,2000,2000,7.745961543236626,0.6324999999999995,72,0.6810000000000026,10,0.692499999999983,2,4.334171100875727,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108
A2-B0-C2-batch3-r112,I,4000,4000,6.147973751119519,0.6709999999999947,23,0.6777500000000253,1,0.6840000000000263,1,5.860310859999705,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108
A2-B0-C2-batch3-r108,III,4000,4000,6.147973751119519,0.6722499999999937,16,0.6787500000000255,1,0.6827500000000261,1,5.9206306283909145,A2-B0-C2-batch3-r112_vs_A2-B0-C2-batch3-r108
A2-B0-C2-batch3-r100,I,2000,2000,7.745961543236626,0.7789999999999998,49,0.8004999999999892,5,0.8064999999999785,1,3.991864958894243,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0
A2-B0-C2-batch3-r0,III,2000,2000,7.745961543236626,0.796,45,0.8119999999999873,4,0.818999999999978,1,3.9666516405061336,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0
A2-B0-C2-batch3-r100,I,4000,4000,6.147973751119519,0.8082500000000454,1,0.8110000000000459,1,0.8147500000000465,1,5.387012073353569,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0
A2-B0-C2-batch3-r0,III,4000,4000,6.147973751119519,0.7967500000000252,4,0.798250000000044,1,0.8030000000000447,1,5.345154463014573,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0
A2-B0-C2-r9v2fix,I,2000,2000,7.745961543236626,0.3869999999999998,72,0.5159999999999995,44,0.5489999999999887,2,4.622167845444537,A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39
