rule_id,clase,seed,N,par_n2000,K,kcap,fraccion_masa_en_sumideros,n_sumideros,kappa_v_agregado,t_primer_sumidero,masa_acretada_total,n_aristas_grafo_final,grado_medio_grafo_final,diam_grafo_final_OFICIAL,holon_grafo_final,n_dump_final,abortado_por_timeout,t_grafo_s,t_ic_s,t_phantom_s,fuente
A2-B0-C2-r9,I,272702,2000,PAR_piloto_A_r9_r19,5,7,0.08050000000000002,8,0.3859649122807018,0.046,1513.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r19,III,273672,2000,PAR_piloto_A_r9_r19,5,7,0.08700000000000001,8,0.43636363636363634,0.038,1635.6000000000001,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r1,I,271926,2000,PAR_piloto_B_r1_r17,5,6,0.08700000000000002,8,0.4137931034482758,0.038,1635.5999999999997,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r17,III,273478,2000,PAR_piloto_B_r1_r17,5,5,0.12100000000000004,8,0.7971014492753623,0.03,2274.8,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r6,I,272411,2000,PAR_piloto_C_r6_r14,7,5,0.10050000000000002,8,0.5238095238095237,0.039,1889.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r14,III,273187,2000,PAR_piloto_C_r6_r14,8,5,0.09900000000000003,8,0.5151515151515152,0.042,1861.1999999999998,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r2,I,372023,2000,PAR_v2_D_r2_r20,5,6,0.07600000000000001,8,0.5000000000000001,0.05,1428.8000000000002,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r20,III,373769,2000,PAR_v2_D_r2_r20,5,6,0.08650000000000002,8,0.39784946236559127,0.04,1626.2,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r12,I,372993,2000,PAR_v2_E_r12_r28,6,6,0.08200000000000002,8,0.37037037037037046,0.037,1541.6,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r28,III,374545,2000,PAR_v2_E_r12_r28,6,6,0.08950000000000002,8,0.4285714285714286,0.04,1682.6000000000001,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r6,I,272411,2000,PAR_v2_F_r6_r2v1fix,7,5,0.10050000000000002,8,0.5238095238095237,0.039,1889.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r2v1fix,III,272023,2000,PAR_v2_F_r6_r2v1fix,7,5,0.12150000000000004,8,0.8169014084507041,0.041,2284.2,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r12v1fix,I,272993,2000,PAR_v2_G_r12v1fix_r19,5,7,0.06200000000000002,8,0.3440860215053776,0.052,1165.6,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r19,III,273672,2000,PAR_v2_G_r12v1fix_r19,5,7,0.08700000000000001,8,0.43636363636363634,0.038,1635.6000000000001,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r9,I,272702,2000,PAR_v2_H_r9_r39,5,7,0.08050000000000002,8,0.3859649122807018,0.046,1513.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r39,III,375612,2000,PAR_v2_H_r9_r39,5,6,0.07850000000000001,8,0.47222222222222177,0.045,1475.8000000000002,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r9v2fix,I,372702,2000,A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39,5,6,0.07500000000000002,8,0.42553191489361675,0.046,1410.0,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-r39,III,375612,2000,A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39,5,6,0.07850000000000001,8,0.47222222222222177,0.045,1475.8000000000002,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r100,I,481529,2000,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,5,4,0.14999999999999994,8,1.3287671232876717,0.032,2820.0,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r0,III,471829,2000,A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,5,4,0.15049999999999997,8,1.2938596491228065,0.029,2829.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r1,I,471926,2000,A2-B0-C2-batch3-r1_vs_A2-B0-C2-batch3-r69,7,6,0.078,8,0.42,0.052,1466.3999999999999,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r69,III,478522,2000,A2-B0-C2-batch3-r1_vs_A2-B0-C2-batch3-r69,7,6,0.08800000000000001,8,0.43113772455089827,0.04,1654.3999999999999,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r5,I,472314,2000,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114,6,6,0.08100000000000003,8,0.35714285714285726,0.044,1522.8,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r114,III,482887,2000,A2-B0-C2-batch3-r5_vs_A2-B0-C2-batch3-r114,6,6,0.09150000000000004,8,0.44117647058823545,0.04,1720.2,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r44,I,476097,2000,A2-B0-C2-batch3-r44_vs_A2-B0-C2-batch3-r10,7,5,0.10150000000000003,8,0.5925925925925919,0.037,1908.2000000000003,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r10,III,472799,2000,A2-B0-C2-batch3-r44_vs_A2-B0-C2-batch3-r10,7,5,0.12000000000000002,8,0.8823529411764706,0.034,2256.0,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r86,I,480171,2000,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,5,5,0.09450000000000001,8,0.5,0.035,1776.6,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r12,III,472993,2000,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,5,5,0.10150000000000003,8,0.5440414507772019,0.037,1908.2,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r50,I,476679,2000,A2-B0-C2-batch3-r50_vs_A2-B0-C2-batch3-r21,6,5,0.10000000000000003,8,0.5340314136125656,0.04,1880.0,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r21,III,473866,2000,A2-B0-C2-batch3-r50_vs_A2-B0-C2-batch3-r21,6,5,0.09650000000000004,8,0.48387096774193544,0.042,1814.1999999999998,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r48,I,476485,2000,A2-B0-C2-batch3-r48_vs_A2-B0-C2-batch3-r25,8,5,0.09900000000000003,8,0.47826086956521735,0.041,1861.2,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r25,III,474254,2000,A2-B0-C2-batch3-r48_vs_A2-B0-C2-batch3-r25,8,5,0.113,8,0.6865671641791045,0.03,2124.4,,,,,,False,,,,FaseVB_TOTAL_40pares
A2-B0-C2-batch3-r35,I,475224,2000,A2-B0-C2-batch3-r35_vs_A2-B0-C2-batch3-r31,4,5,0.09750000000000003,8,0.5312499999999999,0.036,1833.0,,,,,,False,,,,FaseVB_TOTAL_40pares
