carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,variante
A2-B0-C2-batch3-r0_orig,A2-B0-C2-batch3-r0,III,471829,5,0.413,0.225,6.59,4,2308,,2000,cosmog_00500,15970.6,2829.399999999999,18800.0,0.15049999999999997,8,0.029,2829.4,1.2938596491228065,1.3031249999999994,0,orig
A2-B0-C2-batch3-r0_rewire,A2-B0-C2-batch3-r0,III,471829,5,0.413,0.225,6.59,4,2308,,2000,cosmog_00500,16017.6,2782.399999999999,18800.0,0.14799999999999996,8,0.032,2782.4,1.229437229437229,1.2362689393939392,0,rewire
A2-B0-C2-batch3-r111_orig,A2-B0-C2-batch3-r111,III,482596,6,0.465,0.345,7.52,5,3017,,2000,cosmog_00500,16459.4,2340.6000000000004,18800.0,0.12450000000000001,8,0.034,2340.6,0.9798994974874374,0.9897916666666668,0,orig
A2-B0-C2-batch3-r111_rewire,A2-B0-C2-batch3-r111,III,482596,6,0.465,0.345,7.52,5,3017,,2000,cosmog_00500,16694.4,2105.6000000000004,18800.0,0.11200000000000002,8,0.041,2105.6000000000004,0.6262135922330097,0.6415400930487137,0,rewire
A2-B0-C2-batch3-r60_orig,A2-B0-C2-batch3-r60,III,477649,6,0.456,0.261,7.33,5,3068,,2000,cosmog_00500,16440.600000000002,2359.4,18800.000000000004,0.12549999999999997,8,0.036,2359.4,0.9104477611940299,0.9079861111111112,0,orig
A2-B0-C2-batch3-r60_rewire,A2-B0-C2-batch3-r60,III,477649,6,0.456,0.261,7.33,5,3068,,2000,cosmog_00500,16609.8,2190.2000000000007,18800.0,0.11650000000000003,8,0.031,2190.2000000000003,0.6486486486486485,0.6582070707070705,0,rewire
A2-B0-C2-batch4-r10_orig,A2-B0-C2-batch4-r10,III,572799,5,0.339,0.263,7.64,5,2994,,2000,cosmog_00500,16393.600000000002,2406.4,18800.000000000004,0.12799999999999997,8,0.03,2406.3999999999996,0.9027777777777777,0.9086805555555555,0,orig
A2-B0-C2-batch4-r10_rewire,A2-B0-C2-batch4-r10,III,572799,5,0.339,0.263,7.64,5,2994,,2000,cosmog_00500,16553.4,2246.6000000000004,18800.0,0.11950000000000002,8,0.035,2246.6000000000004,0.7892156862745094,0.7909556878306876,0,rewire
A2-B0-C2-batch4-r36_orig,A2-B0-C2-batch4-r36,III,575321,8,0.543,0.156,6.77,4,2343,,2000,cosmog_00500,15914.2,2885.7999999999993,18800.0,0.15349999999999997,8,0.023,2885.7999999999997,1.407894736842105,1.4208964646464646,0,orig
A2-B0-C2-batch4-r36_rewire,A2-B0-C2-batch4-r36,III,575321,8,0.543,0.156,6.77,4,2343,,2000,cosmog_00500,16092.800000000001,2707.1999999999994,18800.0,0.14399999999999996,8,0.029,2707.2000000000003,1.3142857142857143,1.3222222222222222,0,rewire
