rule_id,seed,lote,K,kcap,n_aristas,solapamiento_aristas,clustering_orig,clustering_rewire,transitividad_orig,transitividad_rewire,pendiente_corr_orig,pendiente_corr_rewire,frac_masa_orig,frac_masa_rewire,d_frac_masa,kappa_v_orig,kappa_v_rewire,d_kappa_v,n_sumideros_orig,n_sumideros_rewire,t_primer_sumidero_orig,t_primer_sumidero_rewire,masa_acretada_orig,masa_acretada_rewire,dump_final_orig,dump_final_rewire,frac_masa_fase5b,kappa_v_fase5b,replica_frac_ok,delta_replica_frac
A2-B0-C2-batch3-r0,471829,471828,5,4,2308,0.005199306759098787,0.017,0.0,0.01635372501514234,0.0,1.0887557522803921,1.0447958637572663,0.15049999999999997,0.14799999999999996,0.0025000000000000022,1.2938596491228065,1.229437229437229,0.06442241968557738,8,8,0.029,0.032,2829.4,2782.4,cosmog_00500,cosmog_00500,0.15049999999999997,1.2938596491228065,True,0.0
A2-B0-C2-batch3-r111,482596,471828,6,5,3017,0.003646005966191581,0.01706666666666667,0.00018333333333333334,0.01285317276516906,0.0003473830477072719,0.7894309120929355,0.8671196518219336,0.12450000000000001,0.11200000000000002,0.012499999999999997,0.9798994974874374,0.6262135922330097,0.3536859052544278,8,8,0.034,0.041,2340.6,2105.6000000000004,cosmog_00500,cosmog_00500,0.12200000000000003,0.838235294117647,False,0.0024999999999999883
A2-B0-C2-batch3-r60,477649,471828,6,5,3068,0.002607561929595828,0.019,0.0018,0.013706262536215734,0.0020057945174949856,0.9265824692819378,0.8837448890066177,0.12549999999999997,0.11650000000000003,0.008999999999999939,0.9104477611940299,0.6486486486486485,0.26179911254538146,8,8,0.036,0.031,2359.4,2190.2000000000003,cosmog_00500,cosmog_00500,0.12549999999999997,0.9104477611940299,True,0.0
A2-B0-C2-batch4-r10,572799,571828,5,5,2994,0.0026720106880427524,0.011550000000000001,0.0011833333333333333,0.008668515950069348,0.0020804438280166435,1.00288992732594,0.8697157941056846,0.12799999999999997,0.11950000000000002,0.008499999999999952,0.9027777777777777,0.7892156862745094,0.11356209150326824,8,8,0.03,0.035,2406.3999999999996,2246.6000000000004,cosmog_00500,cosmog_00500,0.12799999999999997,0.9027777777777777,True,0.0
A2-B0-C2-batch4-r36,575321,571828,8,4,2343,0.0017072129748186087,0.021333333333333336,0.0003333333333333333,0.017850059500198336,0.0005950019833399445,1.1388881788592264,1.0082924310578296,0.15349999999999997,0.14399999999999996,0.009500000000000008,1.407894736842105,1.3142857142857143,0.09360902255639081,8,8,0.023,0.029,2885.7999999999997,2707.2000000000003,cosmog_00500,cosmog_00500,0.15349999999999997,1.407894736842105,True,0.0
A2-B0-C2-batch4-r62,577843,571828,8,5,3299,0.003031221582297666,0.00525,0.00048333333333333334,0.004595588235294118,0.0006127450980392157,0.8938269333275853,0.6169557999414776,0.10250000000000004,0.09900000000000003,0.003500000000000003,0.5671641791044775,0.5468749999999999,0.020289179104477584,8,8,0.036,0.04,1927.0,1861.2000000000003,cosmog_00500,cosmog_00500,0.10250000000000004,0.5671641791044775,True,0.0
A2-B0-C2-r14,273187,271828,8,5,3296,0.0024271844660194173,0.004966666666666667,0.0012000000000000001,0.005912863070539419,0.0009336099585062241,0.7893306509717354,0.7716226038922163,0.09900000000000003,0.10000000000000003,-0.0010000000000000009,0.6166666666666667,0.4626865671641791,0.1539800995024876,8,9,0.037,0.04,1861.2,1880.0,cosmog_00500,cosmog_00500,0.09900000000000003,0.5151515151515152,True,0.0
A2-B0-C2-r17,273478,271828,5,5,3165,0.0037914691943127963,0.01188333333333333,0.00135,0.009164647635099547,0.0012640893289792478,0.8559190857277267,0.7930617521912765,0.12100000000000004,0.10750000000000005,0.013499999999999984,0.7971014492753623,0.5714285714285714,0.2256728778467909,8,8,0.03,0.036,2274.8,2021.0,cosmog_00500,cosmog_00500,0.12100000000000004,0.7971014492753623,True,0.0
A2-B0-C2-r19,273672,271828,5,7,3679,0.002718129926610492,0.0010047619047619048,0.0012357142857142857,0.001393512425485794,0.001625764496400093,0.6730652317833353,0.77627282511484,0.09050000000000001,0.09100000000000004,-0.0005000000000000282,0.4126984126984126,0.5636363636363636,-0.15093795093795098,9,8,0.039,0.036,1701.4,1710.8000000000002,cosmog_00500,cosmog_00500,0.08700000000000001,0.43636363636363634,False,0.003500000000000003
A2-B0-C2-r20,373769,371828,5,6,3706,0.0016189962223421479,0.0023166666666666665,0.00075,0.0028945887271850123,0.0007236471817962531,0.7081758225701758,0.5957272392160541,0.08600000000000003,0.08850000000000004,-0.0025000000000000022,0.5000000000000001,0.47953216374268925,0.020467836257310856,8,8,0.041,0.034,1616.7999999999997,1663.8,cosmog_00500,cosmog_00500,0.08650000000000002,0.39784946236559127,False,-0.0004999999999999866
A2-B0-C2-r28,374545,371828,6,6,3947,0.002786926779832784,0.010516666666666665,0.0017833333333333334,0.0076262452765372725,0.0020611473720371005,0.6864755601172486,0.5587917632620671,0.08950000000000002,0.08300000000000002,0.006500000000000006,0.4285714285714286,0.4000000000000001,0.028571428571428525,8,8,0.04,0.037,1682.6000000000001,1560.3999999999999,cosmog_00500,cosmog_00500,0.08950000000000002,0.4285714285714286,True,0.0
A2-B0-C2-r39,375612,371828,5,6,4083,0.0031839333823169237,0.0032333333333333333,0.0015999999999999999,0.003966417663779996,0.0017848879487009982,0.7408037939170649,0.5289574198292217,0.07850000000000001,0.07600000000000003,0.0024999999999999883,0.47222222222222177,0.41999999999999993,0.05222222222222184,8,8,0.045,0.05,1475.8000000000002,1428.8,cosmog_00500,cosmog_00500,0.07850000000000001,0.47222222222222177,True,0.0
