carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,cond_id,cond_n,rigidez,criterio,brazo_hist,rule_id_historico,idx_lote,pendiente_corregida,pendiente_archivada,dif_vs_archivada,reproduce_archivada,clase_geom,z_agg,giant_grafo_final,grado_medio_grafo_final,diam_b1_corregido,holon_grafo_final
A2-B0-C2-mec-r0__c1-rigido-soporte,A2-B0-C2-mec-r0,III,90212,4,0.404,0.234,7.64,5,3467,15.0,2000,cosmog_00500,16393.600000000002,2406.3999999999996,18800.0,0.12799999999999997,8,0.027,2406.4,0.8959276018099546,0.8794337606837606,0,c1-rigido-soporte,1,rigido,soporte,C2-hibrido,A2-B0-C2-r0,0,1.0869458832005492,1.0869458832005492,0.0,True,III,0.2449489739783178,0.8765,3.467,15.0,0.668639905661768
A2-B0-C2-mec-r0__c2-rigido-azar,A2-B0-C2-mec-r0,I,90212,4,0.404,0.234,7.64,5,4379,10.0,2000,cosmog_00500,17559.2,1240.8000000000004,18800.0,0.06600000000000002,8,0.051,1240.8000000000002,0.35897435897435903,0.37083333333333335,0,c2-rigido-azar,2,rigido,azar,C2-random,A2-B0-C2-r0,0,0.49216105210551075,0.49216105210551075,0.0,True,I,0.6502661729170958,0.992,4.379,10.0,0.5557073705492787
A2-B0-C2-mec-r0__c3-elastico-soporte,A2-B0-C2-mec-r0,I,90212,4,0.404,0.234,7.64,5,4312,11.0,2000,cosmog_00500,17427.600000000002,1372.4000000000003,18800.000000000004,0.07300000000000001,8,0.045,1372.4,0.511111111111111,0.5279761904761904,0,c3-elastico-soporte,3,elastico,soporte,C2-presupuesto-variable,A2-B0-C2-r0,0,0.6559956128063361,0.655995612806335,1.1102230246251565e-15,True,I,0.2449489739783178,0.9885,4.312,11.0,0.6626042756857321
A2-B0-C2-mec-r0__c4-elastico-azar,A2-B0-C2-mec-r0,I,90212,4,0.404,0.234,7.64,5,3890,12.0,2000,cosmog_00500,17239.600000000002,1560.4000000000005,18800.000000000004,0.08300000000000002,8,0.046,1560.4,0.4437869822485206,0.470625,0,c4-elastico-azar,4,elastico,azar,C2-presupuesto-variable-azar,A2-B0-C2-r0,0,0.6714943927447302,0.6714943927447296,6.661338147750939e-16,True,I,0.47771631660155656,0.982,3.89,12.0,0.4779067528937684
A2-B0-C2-mec-r1__c1-rigido-soporte,A2-B0-C2-mec-r1,I,90309,7,0.688,0.281,5.78,7,5624,9.0,2000,cosmog_00500,17766.0,1034.0000000000002,18800.0,0.055000000000000014,8,0.064,1034.0,0.3448275862068966,0.3979166666666666,0,c1-rigido-soporte,1,rigido,soporte,C2-hibrido,A2-B0-C2-r1,1,0.45779012901159294,0.4577901290115929,5.551115123125783e-17,True,I,0.4242640678119285,0.9955,5.624,9.0,0.6557809009772856
A2-B0-C2-mec-r1__c2-rigido-azar,A2-B0-C2-mec-r1,II,90309,7,0.688,0.281,5.78,7,5633,9.0,2000,cosmog_00500,17794.2,1005.8000000000001,18800.0,0.053500000000000006,8,0.071,1005.8,0.46153846153846145,0.48958333333333326,0,c2-rigido-azar,2,rigido,azar,C2-random,A2-B0-C2-r1,1,0.4128759116097801,0.41287591160978043,3.3306690738754696e-16,True,II,0.848528135623857,0.9955,5.633,9.0,0.8319979503843701
A2-B0-C2-mec-r1__c3-elastico-soporte,A2-B0-C2-mec-r1,I,90309,7,0.688,0.281,5.78,7,5504,9.0,2000,cosmog_00500,17587.4,1212.6000000000004,18800.0,0.06450000000000002,8,0.049,1212.6000000000001,0.31858407079646023,0.3418290043290043,0,c3-elastico-soporte,3,elastico,soporte,C2-presupuesto-variable,A2-B0-C2-r1,1,0.47039121178996646,0.4703912117899666,1.6653345369377348e-16,True,I,0.2828427118746193,0.9825,5.504,9.0,0.8504094824819189
A2-B0-C2-mec-r1__c4-elastico-azar,A2-B0-C2-mec-r1,I,90309,7,0.688,0.281,5.78,7,5494,8.0,2000,cosmog_00500,17719.0,1081.0000000000002,18800.0,0.05750000000000001,8,0.057,1081.0,0.48275862068965514,0.58125,0,c4-elastico-azar,4,elastico,azar,C2-presupuesto-variable-azar,A2-B0-C2-r1,1,0.523454498964963,0.5234544989649622,7.771561172376096e-16,True,I,0.8485281356238572,0.985,5.494,8.0,1.0221339083391425
A2-B0-C2-mec-r2__c1-rigido-soporte,A2-B0-C2-mec-r2,III,90406,7,0.508,0.259,7.01,5,3578,13.0,2000,cosmog_00500,16544.0,2256.0000000000005,18800.0,0.12000000000000002,8,0.034,2256.0,0.8030303030303029,0.7993551587301586,0,c1-rigido-soporte,1,rigido,soporte,C2-hibrido,A2-B0-C2-r2,2,0.8695325763946667,0.8695325763946679,1.1102230246251565e-15,True,III,0.336294960214247,0.9065,3.578,13.0,0.9387789237883061
A2-B0-C2-mec-r2__c2-rigido-azar,A2-B0-C2-mec-r2,I,90406,7,0.508,0.259,7.01,5,4275,11.0,2000,cosmog_00500,17512.2,1287.8000000000002,18800.0,0.0685,8,0.056,1287.8,0.48780487804878053,0.49375,0,c2-rigido-azar,2,rigido,azar,C2-random,A2-B0-C2-r2,2,0.5152258511416159,0.495041604341514,0.02018424680010189,False,I,0.5656854237492382,0.9915,4.275,11.0,0.9437464389117008
