rule_id,seed,K,J,noise,meandeg,kcap,sim_thr_frac
A2-B0-C2-kbar-r0,9314160,4,0.771,0.101,7.15,4,0.283
A2-B0-C2-kbar-r1,9314257,6,0.733,0.299,5.29,7,0.255
A2-B0-C2-kbar-r2,9314354,5,0.712,0.261,6.92,4,0.191
A2-B0-C2-kbar-r3,9314451,5,0.709,0.143,4.67,6,0.343
A2-B0-C2-kbar-r4,9314548,7,0.37,0.135,7.7,6,0.318
A2-B0-C2-kbar-r5,9314645,6,0.578,0.151,4.97,4,0.155
A2-B0-C2-kbar-r6,9314742,7,0.667,0.159,5.08,4,0.24
A2-B0-C2-kbar-r7,9314839,8,0.535,0.335,7.17,4,0.273
A2-B0-C2-kbar-r8,9314936,5,0.722,0.193,5.19,7,0.243
A2-B0-C2-kbar-r9,9315033,5,0.481,0.243,4.8,6,0.301
A2-B0-C2-kbar-r10,9315130,7,0.704,0.111,6.9,5,0.3
A2-B0-C2-kbar-r11,9315227,7,0.751,0.253,7.68,5,0.258
A2-B0-C2-kbar-r12,9315324,7,0.783,0.3,6.93,7,0.231
A2-B0-C2-kbar-r13,9315421,6,0.71,0.317,7.7,5,0.181
A2-B0-C2-kbar-r14,9315518,4,0.418,0.143,4.51,6,0.183
A2-B0-C2-kbar-r15,9315615,5,0.74,0.249,7.38,5,0.156
A2-B0-C2-kbar-r16,9315712,6,0.362,0.101,6.27,5,0.173
A2-B0-C2-kbar-r17,9315809,6,0.581,0.16,7.24,7,0.268
A2-B0-C2-kbar-r18,9315906,8,0.308,0.322,7.64,6,0.269
A2-B0-C2-kbar-r19,9316003,5,0.371,0.335,5.45,4,0.214
A2-B0-C2-kbar-r20,9316100,5,0.463,0.114,7.04,5,0.198
A2-B0-C2-kbar-r21,9316197,4,0.529,0.338,4.7,5,0.343
A2-B0-C2-kbar-r22,9316294,5,0.306,0.26,7.45,7,0.263
A2-B0-C2-kbar-r23,9316391,6,0.735,0.31,6.57,4,0.228
A2-B0-C2-kbar-r24,9316488,6,0.764,0.268,6.12,6,0.321
A2-B0-C2-kbar-r25,9316585,7,0.447,0.299,6.3,5,0.328
A2-B0-C2-kbar-r26,9316682,5,0.482,0.256,4.08,5,0.167
A2-B0-C2-kbar-r27,9316779,8,0.594,0.107,5.39,7,0.2
A2-B0-C2-kbar-r28,9316876,5,0.501,0.289,6.14,6,0.169
A2-B0-C2-kbar-r29,9316973,6,0.399,0.135,5.67,6,0.345
A2-B0-C2-kbar-r30,9317070,6,0.443,0.158,5.9,7,0.312
A2-B0-C2-kbar-r31,9317167,5,0.756,0.107,4.87,7,0.206
A2-B0-C2-kbar-r32,9317264,5,0.683,0.316,6.64,4,0.173
A2-B0-C2-kbar-r33,9317361,5,0.517,0.186,5.5,7,0.152
A2-B0-C2-kbar-r34,9317458,4,0.574,0.341,7.01,4,0.179
A2-B0-C2-kbar-r35,9317555,7,0.708,0.318,5.38,6,0.241
A2-B0-C2-kbar-r36,9317652,7,0.586,0.287,5.09,5,0.209
A2-B0-C2-kbar-r37,9317749,6,0.719,0.272,7.29,4,0.23
A2-B0-C2-kbar-r38,9317846,6,0.599,0.174,4.02,7,0.167
