rule_id,clase,kcap,K,J,noise,meandeg,seed,pendiente_corregida,pendiente_null,z_agg,holon_ratio,n_aristas_grafo_final,grado_medio_grafo_final,diam_grafo_final,giant_grafo_final,n_gas_inicial,n_sumideros,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,n_dump_final,t_setup_s,t_run_s,carpeta
A2-B0-C2-kbar-r0,IV,4,4,0.771,0.101,7.15,9314160,1.1145168441482867,1.1237712959057864,0.5311685646911839,5.9794793298233095,2294,2.294,18.0,0.825,2000,8,15923.6,2876.399999999999,18800.0,0.15299999999999997,0.032,2876.4,1.4285714285714286,1.427083333333333,0,cosmog_00500,5.47,32.36,A2-B0-C2-kbar-r0
A2-B0-C2-kbar-r10,III,5,7,0.704,0.111,6.9,9315130,0.8378713246079779,0.8923631004287267,0.9019803839634845,3.158723001447875,3193,3.193,15.0,0.95,2000,8,16760.2,2039.8000000000006,18800.0,0.10850000000000003,0.038,2039.8000000000002,0.5915492957746479,0.5968749999999999,0,cosmog_00500,6.42,43.21,A2-B0-C2-kbar-r10
A2-B0-C2-kbar-r11,III,5,7,0.751,0.253,7.68,9315227,0.9904389442039234,0.8490677731145745,1.1313708474984765,1.8712848784757703,3086,3.086,15.0,0.904,2000,8,16384.2,2415.8,18800.0,0.1285,0.034,2415.7999999999997,1.0000000000000002,1.0017361111111112,0,cosmog_00500,5.23,30.45,A2-B0-C2-kbar-r11
A2-B0-C2-kbar-r12,I,7,7,0.783,0.3,6.93,9315324,0.4503492914682387,0.43101445824232476,0.4949747458555834,2.0479163226449737,5036,5.036,10.0,0.995,2000,8,17775.4,1024.6000000000001,18800.0,0.05450000000000001,0.063,1024.6000000000001,0.3870967741935484,0.38541666666666663,0,cosmog_00500,4.12,24.14,A2-B0-C2-kbar-r12
A2-B0-C2-kbar-r128,I,7,8,0.465,0.334,6.26,9326576,0.4707922375845246,0.39862445596009344,0.7778174580302022,0.9637545954163741,4732,4.732,10.0,0.9945,2000,8,17643.8,1156.2000000000003,18800.0,0.06150000000000001,0.053,1156.2000000000003,0.3513513513513515,0.36250000000000004,0,cosmog_00500,3.38,27.33,A2-B0-C2-kbar-r128
A2-B0-C2-kbar-r132,I,7,7,0.756,0.137,4.61,9326964,0.5940104926120932,0.5224693332098655,0.2449489739783178,4.675596627915179,4204,4.204,11.0,0.9885,2000,8,17446.4,1353.6000000000004,18800.0,0.07200000000000002,0.05,1353.6000000000001,0.4112903225806453,0.40930059523809537,0,cosmog_00500,2.25,23.11,A2-B0-C2-kbar-r132
A2-B0-C2-kbar-r14,I,6,4,0.418,0.143,4.51,9315518,0.5740753607232386,0.5652996262401384,0.14142135593730937,4.214389622641446,3865,3.865,11.0,0.983,2000,8,17324.2,1475.8000000000002,18800.0,0.07850000000000001,0.035,1475.8000000000002,0.49056603773584895,0.509970238095238,0,cosmog_00500,6.59,35.92,A2-B0-C2-kbar-r14
A2-B0-C2-kbar-r15,III,5,5,0.74,0.249,7.38,9315615,0.8658389454116696,0.8438683965195449,0.4242640678119285,2.506492114192622,3123,3.123,14.0,0.9215,2000,8,16459.4,2340.6000000000004,18800.0,0.12450000000000001,0.035,2340.6000000000004,0.8981481481481479,0.8972958754208752,0,cosmog_00500,7.08,37.74,A2-B0-C2-kbar-r15
A2-B0-C2-kbar-r18,I,6,8,0.308,0.322,7.64,9315906,0.6447999043870436,0.6237641639869762,0.4242640678119285,1.4787527751454985,3835,3.835,12.0,0.959,2000,8,17032.8,1767.2000000000005,18800.0,0.09400000000000003,0.041,1767.2,0.45161290322580655,0.4528769841269842,0,cosmog_00500,1.44,20.13,A2-B0-C2-kbar-r18
A2-B0-C2-kbar-r19,III,4,5,0.371,0.335,5.45,9316003,0.9116228724132952,0.948055624212604,0.21986780994642946,1.2560858941621864,2479,2.479,19.0,0.8895,2000,8,16168.0,2631.9999999999995,18800.0,0.13999999999999999,0.032,2632.0,1.236111111111111,1.2350694444444443,0,cosmog_00500,4.57,27.34,A2-B0-C2-kbar-r19
