carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_gas_inicial,n_dump_final,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,brazo,par_seed,clase_corregida_historica,rule_id_original,pendiente_corregida,pendiente_null,z_agg_corregido,z_sostenido,grado_medio_grafo_final,giant_grafo_final,holon_grafo_final,aristas_antes_de_podar,frac_conservada,hist_usado_suma,hist_usado_no_cero,hist_acumulado_suma,n_costos_distintos
A2-B0-C2-o3e-s588998-mem,A2-B0-C2-o3e-s588998-mem,mem,588998,5,0.704,0.121,7.31,7,4971,8.0,2000,cosmog_00500,17634.4,1165.6000000000001,18800.0,0.062000000000000006,8,0.054,1165.6,0.38888888888888873,0.42083333333333317,0,mem,588998,I,A2-B0-C2-batch4-r177,0.3141782046905083,0.39936317020795126,0.42426406781192816,False,4.971,0.9945,0.2398473182644755,5116,0.9716575449569976,55.0,55,2312.0,74
A2-B0-C2-o3e-s588998-nomem,A2-B0-C2-o3e-s588998-nomem,nomem,588998,5,0.704,0.121,7.31,7,5025,8.0,2000,cosmog_00500,17625.0,1175.0000000000005,18800.0,0.06250000000000003,8,0.062,1175.0,0.48571428571428577,0.4916666666666667,0,nomem,588998,I,A2-B0-C2-batch4-r177,0.34908175710857064,0.39080738461494147,0.28284271187461874,False,5.025,0.9945,0.23298847407433557,5116,0.9822126661454261,0.0,0,2312.0,70
A2-B0-C2-o3e-s584342-mem,A2-B0-C2-o3e-s584342-mem,mem,584342,5,0.357,0.106,7.41,7,4892,10.0,2000,cosmog_00500,17606.2,1193.8000000000002,18800.0,0.06350000000000001,8,0.049,1193.8,0.3451327433628316,0.3964285714285712,0,mem,584342,I,A2-B0-C2-batch4-r129,0.4606547580115715,0.4412106449373345,0.8485281356238566,False,4.892,0.99,0.5183086259043791,5080,0.962992125984252,127.0,127,2624.0,62
A2-B0-C2-o3e-s584342-nomem,A2-B0-C2-o3e-s584342-nomem,nomem,584342,5,0.357,0.106,7.41,7,5018,9.0,2000,cosmog_00500,17634.4,1165.6000000000004,18800.0,0.06200000000000002,8,0.066,1165.6000000000001,0.33333333333333354,0.31666666666666676,0,nomem,584342,I,A2-B0-C2-batch4-r129,0.462720658974106,0.41027540467192253,0.5656854237492382,False,5.018,0.991,0.5407305074113672,5080,0.9877952755905511,0.0,0,2624.0,56
A2-B0-C2-o3e-s582111-mem,A2-B0-C2-o3e-s582111-mem,mem,582111,5,0.788,0.243,6.3,6,4254,11.0,2000,cosmog_00500,17427.600000000002,1372.4000000000005,18800.000000000004,0.07300000000000001,8,0.05,1372.4,0.4565217391304348,0.4816964285714287,0,mem,582111,I,A2-B0-C2-batch4-r106,0.5084483465537022,0.5284596577597791,0.4242640678119285,False,4.254,0.9885,0.4717029583376378,4337,0.9808623472446392,28.0,28,2019.0,52
A2-B0-C2-o3e-s582111-nomem,A2-B0-C2-o3e-s582111-nomem,nomem,582111,5,0.788,0.243,6.3,6,4281,11.0,2000,cosmog_00500,17418.2,1381.8000000000002,18800.0,0.07350000000000001,8,0.048,1381.8,0.39583333333333326,0.40476190476190466,0,nomem,582111,I,A2-B0-C2-batch4-r106,0.5079842847248652,0.5079842847248652,0.0,False,4.281,0.9885,0.4717029583376378,4337,0.987087848743371,0.0,0,2019.0,50
A2-B0-C2-o3e-s485506-mem,A2-B0-C2-o3e-s485506-mem,mem,485506,5,0.31,0.195,6.61,7,4794,10.0,2000,cosmog_00500,17615.600000000002,1184.4,18800.000000000004,0.06299999999999999,8,0.05,1184.3999999999999,0.3900000000000001,0.4035714285714287,0,mem,485506,I,A2-B0-C2-batch3-r141,0.5422850469867411,0.4041710622479981,0.7071067796865472,False,4.794,0.995,0.9043813275412097,5017,0.9555511261710186,151.0,151,1933.0,56
A2-B0-C2-o3e-s485506-nomem,A2-B0-C2-o3e-s485506-nomem,nomem,485506,5,0.31,0.195,6.61,7,4943,10.0,2000,cosmog_00500,17681.4,1118.6000000000004,18800.0,0.05950000000000002,8,0.055,1118.6,0.31428571428571417,0.36666666666666653,0,nomem,485506,I,A2-B0-C2-batch3-r141,0.5121540054555336,0.388183028577883,0.848528135623857,False,4.943,0.995,0.9043813275412097,5017,0.9852501494917282,0.0,0,1933.0,53
A2-B0-C2-o3e-s375224-mem,A2-B0-C2-o3e-s375224-mem,mem,375224,6,0.56,0.332,5.3,6,3965,11.0,2000,cosmog_00500,17390.0,1410.0000000000005,18800.0,0.07500000000000002,8,0.052,1410.0,0.411764705882353,0.433779761904762,0,mem,375224,I,A2-B0-C2-r35,0.5710631942154135,0.6087677097100342,0.5656854240492379,False,3.965,0.9855,0.7939962879556154,4134,0.9591194968553459,128.0,128,1432.0,33
A2-B0-C2-o3e-s375224-nomem,A2-B0-C2-o3e-s375224-nomem,nomem,375224,6,0.56,0.332,5.3,6,4092,11.0,2000,cosmog_00500,17427.600000000002,1372.4000000000005,18800.000000000004,0.07300000000000001,8,0.05,1372.3999999999999,0.38775510204081626,0.3766369047619047,0,nomem,375224,I,A2-B0-C2-r35,0.5033454813119447,0.5313596299822568,0.3863703299156272,False,4.092,0.986,0.8177204953354725,4134,0.9898403483309144,0.0,0,1432.0,30
A2-B0-C2-o3e-s575709-mem,A2-B0-C2-o3e-s575709-mem,mem,575709,6,0.449,0.103,4.55,6,3731,11.0,2000,cosmog_00500,17220.8,1579.2000000000007,18800.0,0.08400000000000003,8,0.028,1579.1999999999998,0.3448275862068965,0.3444940476190476,0,mem,575709,I,A2-B0-C2-batch4-r40,0.6012006435980857,0.5762761910225257,0.2449489739783178,False,3.731,0.982,0.6453746843930062,3862,0.9660797514241326,102.0,102,900.0,28
A2-B0-C2-o3e-s575709-nomem,A2-B0-C2-o3e-s575709-nomem,nomem,575709,6,0.449,0.103,4.55,6,3833,12.0,2000,cosmog_00500,17202.0,1598.0000000000005,18800.0,0.08500000000000002,8,0.036,1598.0,0.4259259259259261,0.4375000000000002,0,nomem,575709,I,A2-B0-C2-batch4-r40,0.6059928273314171,0.5691875124052544,0.42426406781192816,False,3.833,0.9855,0.6555642560538044,3862,0.9924909373381667,0.0,0,900.0,26
A2-B0-C2-o3e-s576679-mem,A2-B0-C2-o3e-s576679-mem,mem,576679,5,0.572,0.215,6.02,5,3366,13.0,2000,cosmog_00500,16901.2,1898.8000000000006,18800.0,0.10100000000000003,8,0.038,1898.8000000000002,0.5217391304347826,0.5208333333333333,0,mem,576679,I,A2-B0-C2-batch4-r50,0.6326249144600209,0.7182158181335849,0.0,False,3.366,0.958,0.4094475923933868,3463,0.9719896043892579,62.0,62,2687.0,34
A2-B0-C2-o3e-s576679-nomem,A2-B0-C2-o3e-s576679-nomem,nomem,576679,5,0.572,0.215,6.02,5,3427,13.0,2000,cosmog_00500,16920.0,1880.0000000000007,18800.0,0.10000000000000003,8,0.039,1880.0,0.5151515151515152,0.5060515873015873,0,nomem,576679,I,A2-B0-C2-batch4-r50,0.6639172839674509,0.7020384614580496,0.8485281356238566,False,3.427,0.96,0.4102125307197293,3463,0.9896043892578689,0.0,0,2687.0,29
A2-B0-C2-o3e-s475321-mem,A2-B0-C2-o3e-s475321-mem,mem,475321,5,0.386,0.32,4.24,6,3581,12.0,2000,cosmog_00500,17079.8,1720.2000000000007,18800.0,0.09150000000000004,8,0.04,1720.2,0.44999999999999996,0.4506448412698413,0,mem,475321,I,A2-B0-C2-batch3-r36,0.6656640618955437,0.6560459383761763,0.4242640678119288,False,3.581,0.972,0.8906691193624555,3724,0.9616004296455424,125.0,125,768.0,15
A2-B0-C2-o3e-s475321-nomem,A2-B0-C2-o3e-s475321-nomem,nomem,475321,5,0.386,0.32,4.24,6,3706,12.0,2000,cosmog_00500,17202.0,1598.0000000000005,18800.0,0.08500000000000002,8,0.041,1598.0,0.4310344827586207,0.43675595238095244,0,nomem,475321,I,A2-B0-C2-batch3-r36,0.667775561911312,0.6879516444473792,0.07844645400911969,False,3.706,0.9745,0.8906691193624555,3724,0.9951664876476907,0.0,0,768.0,14
A2-B0-C2-o3e-s573963-mem,A2-B0-C2-o3e-s573963-mem,mem,573963,8,0.459,0.129,4.95,5,3361,14.0,2000,cosmog_00500,17014.0,1786.0000000000007,18800.0,0.09500000000000004,8,0.035,1785.9999999999998,0.43939393939393934,0.443204365079365,0,mem,573963,I,A2-B0-C2-batch4-r22,0.6994921025673034,0.7167908736250377,0.2449489739783178,False,3.361,0.976,0.6601279370599714,3464,0.9702655889145496,83.0,83,1666.0,16
A2-B0-C2-o3e-s573963-nomem,A2-B0-C2-o3e-s573963-nomem,nomem,573963,8,0.459,0.129,4.95,5,3443,12.0,2000,cosmog_00500,17089.2,1710.8000000000006,18800.0,0.09100000000000004,8,0.039,1710.8,0.4450549450549453,0.4500152625152628,0,nomem,573963,I,A2-B0-C2-batch4-r22,0.623733101486433,0.662186442587625,0.5656854241992384,False,3.443,0.978,0.6601279370599714,3464,0.9939376443418014,0.0,0,1666.0,14
A2-B0-C2-o3e-s484633-mem,A2-B0-C2-o3e-s484633-mem,mem,484633,4,0.468,0.333,6.84,5,3273,14.0,2000,cosmog_00500,16694.4,2105.6000000000004,18800.0,0.11200000000000002,8,0.035,2105.6,0.6742081447963801,0.6790175461511667,0,mem,484633,III,A2-B0-C2-batch3-r132,0.7502734613883114,0.798782898693798,0.848528135623857,False,3.273,0.933,0.754989289145106,3397,0.9634972034147777,52.0,52,3569.0,47
