corrida,umbral,descripcion_umbral,n_difuso,masa_difusa,H_v3d_abs,Hmm_v3d_abs,Hrar_v3d_abs,H_v3d_std,Hmm_v3d_std,Hrar_v3d_std,H_mod_abs,Hmm_mod_abs,Hrar_mod_abs,H_mod_std,Hmm_mod_std,Hrar_mod_std,sigma_v,v_mediana,n_fil_c1.0,frac_mayor_c1.0,n_fil_c1.5,frac_mayor_c1.5,n_fil_c2.5,frac_mayor_c2.5
A2-B0-C2-batch3-r0_III,A_P50_abs,rho < 0.2004 (P50 agrupado),414,3891.6000000000004,5.867239726342234,5.977010001192482,5.867239726342234,5.853909931869086,5.963680206719333,5.853909931869086,3.97504094812082,4.001176727847069,3.97504094812082,3.979959558033261,4.00609533775951,3.979959558033261,1.6776138496121105,1.4714806231061974,2,0.016908212560386472,9,0.03140096618357488,18,0.10386473429951691
A2-B0-C2-batch3-r100_I,A_P50_abs,rho < 0.2004 (P50 agrupado),463,4352.2,5.895047626709697,5.993200745042316,5.882385094434012,5.9003413371316,5.998494455464218,5.887487276493506,3.967489939351491,3.9908597294306856,3.9645064124159695,3.9716568891497794,3.995026679228974,3.968651976912513,1.8194851046219203,1.4636255951376351,4,0.017278617710583154,11,0.023758099352051837,13,0.15334773218142547
A2-B0-C2-batch3-r104_I,A_P50_abs,rho < 0.2004 (P50 agrupado),856,8046.400000000001,5.951437526052281,6.004527355243873,5.891151918179093,5.949261043922457,6.0023508731140485,5.89101103219763,3.990791062449606,4.003431497971413,3.9779173220479556,3.9899817370727595,4.002622172594567,3.9766441203641385,1.7276617802844032,1.4608054116949605,23,0.02336448598130841,50,0.030373831775700934,10,0.8084112149532711
A2-B0-C2-batch3-r107_I,A_P50_abs,rho < 0.2004 (P50 agrupado),857,8055.8,5.9457456970854565,5.998773577818248,5.889403245422681,5.944085843913684,5.997113724646476,5.886533630995563,3.9885802783425497,4.00120596423131,3.9754967758659228,3.990067672094859,4.002693357983619,3.9770706320557436,1.7380261476198664,1.447891169283902,24,0.014002333722287048,46,0.029171528588098017,7,0.8693115519253208
A2-B0-C2-batch3-r108_III,A_P50_abs,rho < 0.2004 (P50 agrupado),781,7341.400000000001,5.92994566621276,5.988133750448358,5.876541419701583,5.942356138967904,6.0005442232035024,5.888071778122696,3.9860268026532295,3.99988110842361,3.974414652945388,3.992469402546111,4.006323708316492,3.9806118950971716,1.7061909505341957,1.4541360306603508,14,0.034571062740076826,42,0.03585147247119078,2,0.7682458386683739
A2-B0-C2-batch3-r10_III,A_P50_abs,rho < 0.2004 (P50 agrupado),779,7322.6,5.933628701804837,5.991966177784301,5.88135550698578,5.93022573118821,5.988563207167673,5.877055478650885,3.9836853092848896,3.9975751845180953,3.9715357625458636,3.9858419123171,3.9997317875503056,3.9736459201560606,1.7370143571423913,1.4675584516616909,16,0.012836970474967908,34,0.021822849807445442,4,0.865211810012837
A2-B0-C2-batch3-r111_III,A_P50_abs,rho < 0.2004 (P50 agrupado),751,7059.400000000001,5.92870333287096,5.989215841243799,5.876765695375404,5.937540560491019,5.998053068863858,5.8849294886855565,3.9756136931167827,3.990021433205554,3.9640780211927535,3.98323319170499,3.9976409317937613,3.9711087781357226,1.7437703705229066,1.5030564416116026,15,0.018641810918774968,33,0.037283621837549935,5,0.7776298268974701
A2-B0-C2-batch3-r112_I,A_P50_abs,rho < 0.2004 (P50 agrupado),765,7191.0,5.941782506237656,6.001187596156614,5.887987453633124,5.93116894833755,5.990574038256508,5.878347918302459,3.976659127414779,3.990803196443102,3.964100406086368,3.983414346735083,3.997558415763406,3.971085305335484,1.6992766528860257,1.5029884404818505,14,0.023529411764705882,39,0.03137254901960784,8,0.6169934640522876
A2-B0-C2-batch3-r114_III,A_P50_abs,rho < 0.2004 (P50 agrupado),1205,11327.0,5.943783487023363,5.981497091826684,5.868826413054021,5.9449066403619035,5.982620245165225,5.872206312822218,3.9904458822686504,3.999425311983727,3.973439794646221,3.9906688173092713,3.9996482470243477,3.972639044534037,1.8020763233837813,1.5630796174584887,35,0.019087136929460582,69,0.022406639004149378,9,0.9062240663900415
A2-B0-C2-batch3-r120_I,A_P50_abs,rho < 0.2004 (P50 agrupado),832,7820.8,5.9349029512947205,5.989524217866839,5.87795597276626,5.939063818312292,5.99368508488441,5.878990842540344,3.9860987706333497,3.9991038341029017,3.9728437605713225,3.991088543700209,4.004093607169761,3.9776676861325,1.7152741473251047,1.5030969512236352,14,0.019230769230769232,42,0.027644230769230768,5,0.8329326923076923
