par,estado,umbral,frac_masa_I,frac_masa_III,n_difuso_I,n_difuso_III,masa_difusa_I,masa_difusa_III,H_v3d_abs_I,H_v3d_abs_III,Hmm_v3d_abs_I,Hmm_v3d_abs_III,Hrar_v3d_abs_I,Hrar_v3d_abs_III,H_v3d_std_I,H_v3d_std_III,Hmm_v3d_std_I,Hmm_v3d_std_III,Hrar_v3d_std_I,Hrar_v3d_std_III,H_mod_abs_I,H_mod_abs_III,Hmm_mod_abs_I,Hmm_mod_abs_III,Hrar_mod_abs_I,Hrar_mod_abs_III,H_mod_std_I,H_mod_std_III,Hmm_mod_std_I,Hmm_mod_std_III,Hrar_mod_std_I,Hrar_mod_std_III,sigma_v_I,sigma_v_III,v_mediana_I,v_mediana_III,n_fil_c1.0_I,n_fil_c1.0_III,frac_mayor_c1.0_I,frac_mayor_c1.0_III,n_fil_c1.5_I,n_fil_c1.5_III,frac_mayor_c1.5_I,frac_mayor_c1.5_III,n_fil_c2.5_I,n_fil_c2.5_III,frac_mayor_c2.5_I,frac_mayor_c2.5_III,Btau_H_v3d_abs_I,Btau_H_v3d_abs_III,Btau_Hmm_v3d_abs_I,Btau_Hmm_v3d_abs_III,Btau_Hrar_v3d_abs_I,Btau_Hrar_v3d_abs_III,Btau_H_v3d_std_I,Btau_H_v3d_std_III,Btau_Hmm_v3d_std_I,Btau_Hmm_v3d_std_III,Btau_Hrar_v3d_std_I,Btau_Hrar_v3d_std_III,Btau_H_mod_abs_I,Btau_H_mod_abs_III,Btau_Hmm_mod_abs_I,Btau_Hmm_mod_abs_III,Btau_Hrar_mod_abs_I,Btau_Hrar_mod_abs_III,Btau_H_mod_std_I,Btau_H_mod_std_III,Btau_Hmm_mod_std_I,Btau_Hmm_mod_std_III,Btau_Hrar_mod_std_I,Btau_Hrar_mod_std_III
PAR_piloto_A_r9_r19,valido,A_P50_abs,0.08050000000000002,0.08700000000000001,1135,1026,10669.0,9644.4,5.944314223942744,5.960045868111635,5.984353777940984,6.004339136910858,5.871343261539233,5.891921048527756,5.937866304047683,5.963923415778382,5.977905858045923,6.008216684577604,5.864811050850075,5.8959949983865165,3.989340517114808,3.991836888164136,3.998873744257246,4.002382904544904,3.971605185882183,3.9765988316729555,3.991334353050327,3.991000854870236,4.000867580192765,4.001546871251003,3.974622879242874,3.9742249830537157,1.808947086401561,1.7724062734732355,1.5550103786616525,1.5294382373241984,33,25,0.016740088105726872,0.016569200779727095,70,47,0.03259911894273128,0.03508771929824561,8,12,0.8881057268722466,0.8450292397660819,0.0005571575802739473,0.0006179799539744967,0.0005609104675171979,0.0006225725951755275,0.0005503180486961509,0.0006109162880560487,0.000556553219987598,0.0006183820057005497,0.0005603061072308485,0.0006229746469015807,0.0005497057878760967,0.000611338704158529,0.0003739188787247922,0.0004139020455563992,0.0003748124233065185,0.00041499553155664465,0.00037225655505503634,0.000412322055459433,0.0003741057599634761,0.00041381535967714283,0.00037499930454520247,0.00041490884567738827,0.0003725394019348462,0.0004120759179475878
PAR_piloto_B_r1_r17,valido,A_P50_abs,0.08700000000000002,0.12100000000000004,1313,888,12342.2,8347.2,5.950261023020822,5.930664532076527,5.984872518670481,5.981841214270223,5.870491782230387,5.8654164560028565,5.960173223761296,5.922911939346298,5.994784719410955,5.974088621539994,5.8829194018588735,5.860739058331621,3.980283575359538,3.988794492608265,3.9885244076570756,4.000979416940098,3.9627761666326036,3.9750296852789675,3.98846169773927,3.9887796882866597,3.9967025300368078,4.000964612618493,3.970680877058921,3.9752895497291645,1.8096153447187462,1.7600112457850083,1.5554254994341445,1.533301887246155,39,22,0.03427265803503427,0.030405405405405407,59,50,0.044173648134044174,0.033783783783783786,9,2,0.9146991622239147,0.9009009009009009,0.0004821070006174606,0.0007104974760490376,0.000484911322022855,0.0007166284759284817,0.0004756438708034537,0.0007026807140122264,0.0004829101151951269,0.0007095687103874709,0.00048571443660052135,0.000715699710266915,0.0004766507917436821,0.0007021203587228796,0.00032249384837059337,0.000477860179773848,0.00032316154394330634,0.00047931994164990624,0.00032107534853045676,0.00047621114688505933,0.00032315646300815656,0.00047785840620647157,0.0003238241585808695,0.00047931816808252973,0.0003217158105571876,0.0004762422788155506
PAR_piloto_C_r6_r14,valido,A_P50_abs,0.10050000000000002,0.09900000000000003,836,780,7858.400000000001,7332.0,5.93778328898102,5.956048350128499,5.992143209780066,6.014311034472091,5.880479597388577,5.902214211238562,5.935105802412542,5.954934944081767,5.9894657232115875,6.01319762842536,5.874375818540874,5.9019201578710625,3.9879681468866846,3.9899983533459564,4.000910985172172,4.003870421046812,3.9748943052516745,3.9779063259282426,3.9898065642758906,3.9882473387163966,4.002749402561378,4.002119406417252,3.97614741320715,3.9755643816697166,1.7237642637667594,1.7322271068765536,1.4954573377740603,1.478335824459049,16,9,0.019138755980861243,0.020512820512820513,45,35,0.02751196172248804,0.03974358974358974,5,7,0.868421052631579,0.5897435897435898,0.0007555969776266186,0.0008123361088554963,0.0007625144062124689,0.0008202824651489486,0.000748304947239715,0.0008049937549425207,0.0007552562611234528,0.0008121842531480861,0.000762173689709303,0.0008201306094415384,0.0007475282269343471,0.0008049536494641384,0.0005074783857893062,0.0005441896281159242,0.000509125392595461,0.0005460816177096033,0.0005058147084968536,0.0005425404154293839,0.0005077123287534218,0.0005439508099722309,0.0005093593355595767,0.0005458427995659101,0.0005059741694501615,0.0005422210013188375
PAR_v2_D_r2_r20,valido,A_P50_abs,0.07600000000000001,0.08650000000000002,1246,1030,11712.4,9682.0,5.9633064066693375,5.945618917276016,5.999779034107542,5.989740173380873,5.88851325797273,5.878245646832695,5.9631972311782455,5.940878142337058,5.99966985861645,5.984999398441915,5.886080751446958,5.8707449653989,3.990876276254653,3.9933562119682806,3.999560235168511,4.0038612729456275,3.9730262577411124,3.9767404806109745,3.9898874936787054,3.9932301598906434,3.9985714525925635,4.00373522086799,3.9728789420730846,3.976976638582906,1.7582806747635717,1.7623928739302968,1.4843907267633867,1.5116186473983055,38,27,0.02247191011235955,0.018446601941747572,60,51,0.03691813804173355,0.030097087378640777,5,3,0.9052969502407705,0.9106796116504854,0.0005091447019115927,0.00061408995220781,0.0005122587201690125,0.0006186469916732981,0.000502758892965808,0.0006071313413378119,0.0005091353805520855,0.0006136003038976511,0.0005122493988095053,0.0006181573433631394,0.0005025512065372561,0.0006063566376160813,0.0003407394109025181,0.0004124515814881513,0.0003414808438209514,0.0004135365908846961,0.0003392153835030491,0.00041073543489061914,0.0003406549890439795,0.0004124385622692257,0.0003413964219624128,0.00041352357166577055,0.00033920280575057925,0.00041075982633576806
PAR_v2_E_r12_r28,valido,A_P50_abs,0.08200000000000002,0.08950000000000002,1199,1220,11270.6,11468.0,5.940837703522742,5.951654920493835,5.978740033621159,5.9889048334348205,5.861024627957147,5.874810641272432,5.952420522180088,5.9564897183873775,5.990322852278505,5.993739631328363,5.877373842191587,5.881989320461319,3.9877884221238222,3.9859013270350037,3.9968127864329692,3.9947703539257144,3.9694594286332903,3.969023397616736,3.9891431379772198,3.9876615825079114,3.9981675022863667,3.996530609398622,3.973465482573742,3.9695419881611325,1.786375614062822,1.7693282022003252,1.5836114417501543,1.5446769862290382,33,38,0.022518765638031693,0.022950819672131147,64,62,0.03836530442035029,0.023770491803278688,5,6,0.9065888240200167,0.8991803278688525,0.0005271092668999647,0.0005189793268655246,0.0005304722049954004,0.0005222274880916307,0.0005200277383597277,0.0005122785700446836,0.0005281369689439859,0.0005194009171945742,0.0005314999070394215,0.0005226490784206804,0.0005214783456241537,0.0005129045448605963,0.0003538221942153765,0.00034756725907176525,0.0003546228937619088,0.0003483406307922667,0.0003521959282232792,0.0003460955177552089,0.00035394239330445757,0.00034772075187547186,0.0003547430928509899,0.00034849412359597333,0.0003525513710515626,0.00034614073841656194
PAR_v2_F_r6_r2v1fix,valido,A_P50_abs,0.10050000000000002,0.12150000000000004,836,722,7858.400000000001,6786.8,5.93778328898102,5.939590925325232,5.992143209780066,6.002533991513602,5.880479597388577,5.888650980799484,5.935105802412542,5.944734054132258,5.9894657232115875,6.007677120320627,5.874375818540874,5.8982056546109245,3.9879681468866846,3.9823686087748715,4.000910985172172,3.9973550531054354,3.9748943052516745,3.971702648526592,3.9898065642758906,3.981929196430844,4.002749402561378,3.996915640761408,3.97614741320715,3.969475188482718,1.7237642637667594,1.7728115043185362,1.4954573377740603,1.5003416784541437,16,11,0.019138755980861243,0.02077562326869806,45,36,0.02751196172248804,0.029085872576177285,5,11,0.868421052631579,0.3573407202216066,0.0007555969776266186,0.0008751681094662038,0.0007625144062124689,0.0008844424458527733,0.000748304947239715,0.0008676623711910596,0.0007552562611234528,0.0008759259229876021,0.000762173689709303,0.0008852002593741715,0.0007475282269343471,0.0008690702031312142,0.0005074783857893062,0.000586781488886496,0.000509125392595461,0.0005889896642166316,0.0005058147084968536,0.00058520991461758,0.0005077123287534218,0.0005867167437423888,0.0005093593355595767,0.0005889249190725243,0.0005059741694501615,0.0005848817098607175
PAR_v2_G_r12v1fix_r19,valido,A_P50_abs,0.06200000000000002,0.08700000000000001,1623,1026,15256.2,9644.4,5.966832605134966,5.960045868111635,5.9948331558361385,6.004339136910858,5.881357876588173,5.891921048527756,5.976801000117916,5.963923415778382,6.004801550819089,6.008216684577604,5.891485841292556,5.8959949983865165,3.974139079896328,3.991836888164136,3.980805877682321,4.002382904544904,3.9534335617775076,3.9765988316729555,3.9895670498543487,3.991000854870236,3.996233847640342,4.001546871251003,3.97090564116027,3.9742249830537157,1.8531347056976986,1.7724062734732355,1.6225688135414527,1.5294382373241984,45,25,0.02895871842267406,0.016569200779727095,60,47,0.05730129390018484,0.03508771929824561,1,12,0.9858287122612446,0.8450292397660819,0.00039110870368341827,0.0006179799539744967,0.0003929440591914198,0.0006225725951755275,0.00038550608123832757,0.0006109162880560487,0.0003917621032837742,0.0006183820057005497,0.0003935974587917757,0.0006229746469015807,0.00038616994017465396,0.000611338704158529,0.0002604933784229577,0.0004139020455563992,0.00026093036782962476,0.00041499553155664465,0.0002591361913043554,0.000412322055459433,0.00026150463744932214,0.00041381535967714283,0.00026194162685598917,0.00041490884567738827,0.0002602814358202088,0.0004120759179475878
PAR_v2_H_r9_r39,valido,A_P50_abs,0.08050000000000002,0.07850000000000001,1135,1254,10669.0,11787.6,5.944314223942744,5.955709092539056,5.984353777940984,5.99194903973842,5.871343261539233,5.878237996816531,5.937866304047683,5.959090140456983,5.977905858045923,5.995330087656346,5.864811050850075,5.882363545721155,3.989340517114808,3.9903275843683335,3.998873744257246,3.9989561432253247,3.971605185882183,3.973110123616183,3.991334353050327,3.9913951864556214,4.000867580192765,4.000023745312613,3.974622879242874,3.9728616016164,1.808947086401561,1.7885706754005997,1.5550103786616525,1.5673136345641516,33,33,0.016740088105726872,0.02073365231259968,70,55,0.03259911894273128,0.0342902711323764,8,4,0.8881057268722466,0.9290271132376395,0.0005571575802739473,0.000505252052371904,0.0005609104675171979,0.0005083264650767264,0.0005503180486961509,0.0004986797988408608,0.000556553219987598,0.0005055388832719962,0.0005603061072308485,0.0005086132959768186,0.0005497057878760967,0.0004990297894160945,0.0003739188787247922,0.00033851908652892304,0.0003748124233065185,0.00033925108955388074,0.00037225655505503634,0.0003370584447738457,0.0003741057599634761,0.000338609656457262,0.00037499930454520247,0.0003393416594822197,0.0003725394019348462,0.0003370373614320472
A2-B0-C2-r9v2fix_vs_A2-B0-C2-r39,valido,A_P50_abs,0.07500000000000002,0.07850000000000001,1304,1254,12257.6,11787.6,5.959551247748859,5.955709092539056,5.99440162642064,5.99194903973842,5.879828790130643,5.878237996816531,5.9595197640915565,5.959090140456983,5.994370142763337,5.995330087656346,5.881369185546896,5.882363545721155,3.991233523145569,3.9903275843683335,3.9995312323531356,3.9989561432253247,3.9736416134041876,3.973110123616183,3.9947205851403496,3.9913951864556214,4.003018294347917,4.000023745312613,3.977395832640965,3.9728616016164,1.8022578033561776,1.7885706754005997,1.5641074528535366,1.5673136345641516,34,33,0.01763803680981595,0.02073365231259968,71,55,0.023773006134969327,0.0342902711323764,2,4,0.9424846625766872,0.9290271132376395,0.0004861923417103559,0.000505252052371904,0.0004890355066587782,0.0005083264650767264,0.0004796884210718773,0.0004986797988408608,0.0004861897732094012,0.0005055388832719962,0.0004890329381578235,0.0005086132959768186,0.00047981408967064484,0.0004990297894160945,0.00032561296853752516,0.00033851908652892304,0.0003262899125728638,0.00033925108955388074,0.00032417778467270814,0.0003370584447738457,0.0003258974501648242,0.000338609656457262,0.0003265743942001629,0.0003393416594822197,0.00032448406153251573,0.0003370373614320472
A2-B0-C2-batch3-r100_vs_A2-B0-C2-batch3-r0,roto_misma_clase,A_P50_abs,0.14999999999999994,0.15049999999999997,463,414,4352.2,3891.6000000000004,5.895047626709697,5.867239726342234,5.993200745042316,5.977010001192482,5.882385094434012,5.867239726342234,5.9003413371316,5.853909931869086,5.998494455464218,5.963680206719333,5.887487276493506,5.853909931869086,3.967489939351491,3.97504094812082,3.9908597294306856,4.001176727847069,3.9645064124159695,3.97504094812082,3.9716568891497794,3.979959558033261,3.995026679228974,4.00609533775951,3.968651976912513,3.979959558033261,1.8194851046219203,1.6776138496121105,1.4636255951376351,1.4714806231061974,4,2,0.017278617710583154,0.016908212560386472,11,9,0.023758099352051837,0.03140096618357488,13,18,0.15334773218142547,0.10386473429951691,0.0013544983288244332,0.0015076677269869035,0.001377050858196387,0.0015358747047981502,0.0013515888733132697,0.0015076677269869035,0.0013557146585937228,0.001504242453455927,0.0013782671879656767,0.0015324494312671736,0.0013527611958305008,0.001504242453455927,0.0009116056108063717,0.0010214412961560334,0.0009169752606568369,0.0010281572432539491,0.0009109200892458917,0.0010214412961560334,0.0009125630460800928,0.0010227052004402458,0.000917932695930558,0.0010294211475381616,0.0009118726108433696,0.0010227052004402458
