umbral,metrica,n,pearson_r,pearson_p,spearman_rho,spearman_p
A_P50_abs,Btau_Hrar_v3d_std,74,0.8008369244304954,1.0804218892087099e-17,0.7829307823560377,1.709184032641611e-16
A_P50_abs,Btau_Hrar_v3d_abs,74,0.8005798740763078,1.1263182447434872e-17,0.7806049080191553,2.400208777239607e-16
A_P50_abs,Btau_H_v3d_abs,74,0.8008210812157359,1.083197713068338e-17,0.7813604468164866,2.1505274731120615e-16
A_P50_abs,Hrar_v3d_std,74,-0.1465056156872476,0.2129236352406968,-0.13158226662541062,0.26377630351640213
A_P50_abs,Hrar_v3d_abs,74,-0.19812405297443197,0.0906210982901015,-0.14211536632938124,0.22710446846650426
A_P50_abs,H_v3d_abs,74,-0.6863099441446682,1.488177385323065e-11,-0.7413761485028202,4.219327162963331e-14
A_P50_abs,masa_difusa,74,-0.8029261903291318,7.68703937287383e-18,-0.7871238916089823,9.169081628878364e-17
A_P50_abs,sigma_v,74,-0.5052680350338201,4.4048897763947395e-06,-0.5095294391256894,3.5445330669943404e-06
A_P50_abs,n_fil_c1.5,74,-0.7061378242164285,2.1029987506464876e-12,-0.7469846731385656,2.136059361785026e-14
A_P75_abs,Btau_Hrar_v3d_std,74,0.8071841595489437,3.792556459206462e-18,0.7764716663631668,4.344362906452946e-16
A_P75_abs,Btau_Hrar_v3d_abs,74,0.8063010744644783,4.39732616304944e-18,0.7748272583925047,5.48181769682017e-16
A_P75_abs,Btau_H_v3d_abs,74,0.8062987407414026,4.399041449985563e-18,0.7764124084182781,4.381073177146253e-16
A_P75_abs,Hrar_v3d_std,74,-0.13787395931892626,0.24141828516300748,-0.1116864116290217,0.3434479930268224
A_P75_abs,Hrar_v3d_abs,74,-0.23534064872542437,0.043543723992002854,-0.19393643913457,0.09779029086162304
A_P75_abs,H_v3d_abs,74,-0.47788950758268733,1.6633987201232302e-05,-0.4764635058777817,1.777120589532915e-05
A_P75_abs,masa_difusa,74,-0.812181433499202,1.6180103223622014e-18,-0.7771078336510331,3.9684750943237295e-16
A_P75_abs,sigma_v,74,0.47421222691036186,1.971511691670815e-05,0.4431457263640968,7.685351159528377e-05
A_P75_abs,n_fil_c1.5,74,0.5556646785876747,2.762032469453411e-07,0.618394319166303,4.331604714350023e-09
