corrida,carpeta,n_gas_final,n_gas_inicial,masa_por_particula,tiempo_final,n_sumideros,masa_sumideros,rho0_mediana
A2-B0-C2-batch3-r0_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r0_III,1699,2000,9.4,0.5,8,2829.399999999999,0.6686234176158905
A2-B0-C2-batch3-r100_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r100_I,1700,2000,9.4,0.5,8,2819.999999999999,0.5925279855728149
A2-B0-C2-batch3-r104_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r104_I,1803,2000,9.4,0.5,8,1851.8000000000006,0.304855540394783
A2-B0-C2-batch3-r107_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r107_I,1787,2000,9.4,0.5,8,2002.2000000000007,0.29442785680294037
A2-B0-C2-batch3-r108_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r108_III,1804,2000,9.4,0.5,8,1842.4000000000005,0.34925974905490875
A2-B0-C2-batch3-r10_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r10_III,1760,2000,9.4,0.5,8,2256.0000000000005,0.3361813426017761
A2-B0-C2-batch3-r111_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r111_III,1756,2000,9.4,0.5,8,2293.6000000000004,0.3575122505426407
A2-B0-C2-batch3-r112_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r112_I,1797,2000,9.4,0.5,8,1908.2000000000007,0.35602204501628876
A2-B0-C2-batch3-r114_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r114_III,1817,2000,9.4,0.5,8,1720.2000000000007,0.13673406094312668
A2-B0-C2-batch3-r120_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r120_I,1815,2000,9.4,0.5,8,1739.0000000000007,0.31701867282390594
A2-B0-C2-batch3-r12_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r12_III,1797,2000,9.4,0.5,8,1908.2000000000007,0.36290569603443146
A2-B0-C2-batch3-r143_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r143_I,1800,2000,9.4,0.5,8,1880.0000000000007,0.28280413150787354
A2-B0-C2-batch3-r1_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r1_I,1844,2000,9.4,0.5,8,1466.4000000000003,0.12458190321922302
A2-B0-C2-batch3-r21_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r21_III,1807,2000,9.4,0.5,8,1814.2000000000007,0.3188393712043762
A2-B0-C2-batch3-r23_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r23_III,1765,2000,9.4,0.5,8,2209.000000000001,0.3252575993537903
A2-B0-C2-batch3-r25_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r25_III,1774,2000,9.4,0.5,8,2124.4000000000005,0.3453245759010315
A2-B0-C2-batch3-r26_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r26_III,1777,2000,9.4,0.5,8,2096.2000000000007,0.310805082321167
A2-B0-C2-batch3-r31_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r31_III,1766,2000,9.4,0.5,8,2199.6000000000004,0.31218375265598297
A2-B0-C2-batch3-r35_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r35_I,1805,2000,9.4,0.5,8,1833.0000000000005,0.32896700501441956
A2-B0-C2-batch3-r44_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r44_I,1797,2000,9.4,0.5,8,1908.2000000000007,0.33566814661026
A2-B0-C2-batch3-r48_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r48_I,1802,2000,9.4,0.5,8,1861.2000000000007,0.40835635364055634
A2-B0-C2-batch3-r50_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r50_I,1800,2000,9.4,0.5,8,1880.0000000000007,0.3130597323179245
A2-B0-C2-batch3-r53_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r53_I,1808,2000,9.4,0.5,8,1804.8000000000006,0.3799063265323639
A2-B0-C2-batch3-r58_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r58_III,1795,2000,9.4,0.5,8,1927.0000000000007,0.3628721833229065
A2-B0-C2-batch3-r59_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r59_I,1793,2000,9.4,0.5,8,1945.8000000000006,0.36848562955856323
A2-B0-C2-batch3-r5_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r5_I,1838,2000,9.4,0.5,8,1522.8000000000006,0.11281639337539673
A2-B0-C2-batch3-r60_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r60_III,1749,2000,9.4,0.5,8,2359.4,0.35365502536296844
A2-B0-C2-batch3-r69_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r69_III,1824,2000,9.4,0.5,8,1654.4000000000005,0.20307893306016922
A2-B0-C2-batch3-r70_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r70_III,1810,2000,9.4,0.5,8,1786.0000000000007,0.29380202293395996
A2-B0-C2-batch3-r71_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r71_III,1740,2000,9.4,0.5,8,2444.0,0.3895719200372696
A2-B0-C2-batch3-r76_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r76_I,1787,2000,9.4,0.5,8,2002.2000000000007,0.31948645412921906
A2-B0-C2-batch3-r83_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r83_III,1826,2000,9.4,0.5,8,1635.6000000000006,0.23786841332912445
A2-B0-C2-batch3-r86_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r86_I,1811,2000,9.4,0.5,8,1776.6000000000006,0.24910782277584076
A2-B0-C2-batch3-r9_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r9_I,1847,2000,9.4,0.5,8,1438.2000000000003,0.11403350159525871
A2-B0-C2-batch4-r0_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r0_III,1820,2000,9.4,0.5,8,1692.0000000000005,0.13657893985509872
A2-B0-C2-batch4-r10_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r10_III,1744,2000,9.4,0.5,8,2406.4,0.36858558654785156
A2-B0-C2-batch4-r11_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r11_I,1828,2000,9.4,0.5,8,1616.8000000000006,0.12812110036611557
A2-B0-C2-batch4-r12_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r12_III,1799,2000,9.4,0.5,8,1889.4000000000005,0.31227385997772217
A2-B0-C2-batch4-r13_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r13_I,1847,2000,9.4,0.5,8,1438.2000000000003,0.13004424422979355
A2-B0-C2-batch4-r15_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r15_I,1789,2000,9.4,0.5,8,1983.4000000000008,0.4116828292608261
A2-B0-C2-batch4-r18_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r18_I,1836,2000,9.4,0.5,8,1541.6000000000004,0.13395509123802185
A2-B0-C2-batch4-r19_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r19_III,1819,2000,9.4,0.5,8,1701.4000000000005,0.27022337913513184
A2-B0-C2-batch4-r1_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r1_III,1785,2000,9.4,0.5,8,2021.0000000000005,0.33198899030685425
A2-B0-C2-batch4-r23_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r23_I,1809,2000,9.4,0.5,8,1795.4000000000005,0.2956544756889343
A2-B0-C2-batch4-r26_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r26_III,1795,2000,9.4,0.5,8,1927.0000000000007,0.313372939825058
A2-B0-C2-batch4-r28_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r28_III,1787,2000,9.4,0.5,8,2002.2000000000007,0.3063572645187378
A2-B0-C2-batch4-r31_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r31_I,1803,2000,9.4,0.5,8,1851.8000000000006,0.33099229633808136
A2-B0-C2-batch4-r36_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r36_III,1693,2000,9.4,0.5,8,2885.7999999999993,0.6582806408405304
A2-B0-C2-batch4-r38_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r38_I,1801,2000,9.4,0.5,8,1870.6000000000008,0.34426000714302063
A2-B0-C2-batch4-r39_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r39_I,1797,2000,9.4,0.5,8,1908.2000000000007,0.35705040395259857
A2-B0-C2-batch4-r3_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r3_I,1849,2000,9.4,0.5,8,1419.4000000000005,0.10710201784968376
A2-B0-C2-batch4-r41_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r41_I,1813,2000,9.4,0.5,8,1757.8000000000006,0.34217308461666107
A2-B0-C2-batch4-r43_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r43_III,1813,2000,9.4,0.5,8,1757.8000000000006,0.33934204280376434
A2-B0-C2-batch4-r44_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r44_I,1800,2000,9.4,0.5,8,1880.0000000000007,0.34358492493629456
A2-B0-C2-batch4-r47_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r47_III,1814,2000,9.4,0.5,8,1748.4000000000005,0.36053958535194397
A2-B0-C2-batch4-r51_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r51_I,1710,2000,9.4,0.5,8,2725.999999999999,0.6775836944580078
A2-B0-C2-batch4-r57_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r57_I,1801,2000,9.4,0.5,8,1870.6000000000008,0.3089168220758438
A2-B0-C2-batch4-r62_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r62_III,1795,2000,9.4,0.5,8,1927.0000000000007,0.349964901804924
A2-B0-C2-batch4-r70_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r70_I,1804,2000,9.4,0.5,8,1842.4000000000005,0.3376569300889969
A2-B0-C2-batch4-r72_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r72_III,1797,2000,9.4,0.5,8,1908.2000000000007,0.3041398376226425
A2-B0-C2-batch4-r94_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r94_III,1822,2000,9.4,0.5,8,1673.2000000000007,0.24630927294492722
A2-B0-C2-batch4-r9_III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r9_III,1841,2000,9.4,0.5,8,1494.6000000000004,0.1846177652478218
A2-B0-C2-r12_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r12_I,1836,2000,9.4,0.5,8,1541.6000000000004,0.14913365244865417
A2-B0-C2-r12v1fix_I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r12v1fix_I,1876,2000,9.4,0.5,8,1165.6000000000004,0.02441401593387127
