regla,rol,ruta_ic,dt,eps,t_final,nsteps,E0,Ef,deriva_energia_rel,Ekin0,Ekinf,virial_final,segundos,ini_fof_ell0.6_nmin3,ini_ngrupos_ell0.6_nmin3,ini_fof_ell0.6_nmin5,ini_ngrupos_ell0.6_nmin5,ini_fof_ell0.6_nmin10,ini_ngrupos_ell0.6_nmin10,ini_fof_ell1.0_nmin3,ini_ngrupos_ell1.0_nmin3,ini_fof_ell1.0_nmin5,ini_ngrupos_ell1.0_nmin5,ini_fof_ell1.0_nmin10,ini_ngrupos_ell1.0_nmin10,ini_fof_ell2.0_nmin3,ini_ngrupos_ell2.0_nmin3,ini_fof_ell2.0_nmin5,ini_ngrupos_ell2.0_nmin5,ini_fof_ell2.0_nmin10,ini_ngrupos_ell2.0_nmin10,ini_knn8_frac_rho_mayor_100x,ini_knn8_frac_rho_mayor_1000x,fin_fof_ell0.6_nmin3,fin_ngrupos_ell0.6_nmin3,fin_fof_ell0.6_nmin5,fin_ngrupos_ell0.6_nmin5,fin_fof_ell0.6_nmin10,fin_ngrupos_ell0.6_nmin10,fin_fof_ell1.0_nmin3,fin_ngrupos_ell1.0_nmin3,fin_fof_ell1.0_nmin5,fin_ngrupos_ell1.0_nmin5,fin_fof_ell1.0_nmin10,fin_ngrupos_ell1.0_nmin10,fin_fof_ell2.0_nmin3,fin_ngrupos_ell2.0_nmin3,fin_fof_ell2.0_nmin5,fin_ngrupos_ell2.0_nmin5,fin_fof_ell2.0_nmin10,fin_ngrupos_ell2.0_nmin10,fin_knn8_frac_rho_mayor_100x,fin_knn8_frac_rho_mayor_1000x
A2-B0-C2-r1,I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r1_I/cosmogenesis_ic.txt,0.002,0.6,0.5,250,-2825017.1481770677,-2825021.9434443484,-1.6974294417119354e-06,25380.000000000004,187929.6930904141,0.06237394945594103,256.4,0.10400000000000001,22,0.08349999999999999,9,0.081,8,0.2755,87,0.1665,22,0.128,9,0.534,83,0.49900000000000005,63,0.3795,25,0.0805,0.0445,0.289,126,0.11900000000000001,23,0.0795,8,0.372,149,0.18,34,0.10850000000000001,8,0.51,157,0.377,80,0.171,13,0.1185,0.0805
A2-B0-C2-r17,III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r17_III/cosmogenesis_ic.txt,0.002,0.6,0.5,250,-2949013.1482658787,-2949024.3934959355,-3.813218012752404e-06,25380.000000000015,305653.38947406964,0.09391202750496254,257.8,0.1935,41,0.1425,9,0.14,8,0.464,132,0.30550000000000005,37,0.22550000000000003,11,0.667,54,0.6485000000000001,44,0.5820000000000001,24,0.128,0.0495,0.42900000000000005,172,0.21200000000000002,43,0.11150000000000002,8,0.5305,193,0.295,55,0.155,8,0.652,163,0.5375,98,0.289,21,0.176,0.1095
A2-B0-C2-batch4-r23,I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r23_I/cosmogenesis_ic.txt,0.002,0.6,0.5,250,-2884187.695861403,-2884197.468709448,-3.388423041611018e-06,25380.0,226572.34194935433,0.0728348144478651,259.2,0.158,46,0.1025,11,0.0945,8,0.47150000000000003,145,0.33,62,0.18150000000000002,14,0.65,48,0.635,39,0.5805,24,0.0895,0.047,0.421,174,0.20650000000000002,50,0.091,8,0.512,191,0.3125,76,0.123,9,0.6285000000000001,180,0.4975,105,0.235,23,0.132,0.0895
A2-B0-C2-batch4-r10,III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch4-r10_III/cosmogenesis_ic.txt,0.002,0.6,0.5,250,-2983556.85307064,-2983567.7689791434,-3.658689624805248e-06,25380.000000000004,331303.13320958,0.09994450552835378,257.8,0.23700000000000002,55,0.16949999999999998,12,0.162,9,0.509,139,0.36800000000000005,55,0.23600000000000002,10,0.7020000000000001,36,0.6940000000000001,32,0.661,22,0.137,0.0505,0.464,181,0.255,56,0.12,8,0.5475,195,0.3265,65,0.1605,8,0.6805,165,0.5910000000000001,114,0.321,28,0.175,0.115
A2-B0-C2-batch3-r120,I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r120_I/cosmogenesis_ic.txt,0.002,0.6,0.5,250,-2886684.226723684,-2886688.8009468867,-1.58459424148545e-06,25380.000000000004,225555.5196045715,0.07247359023683762,255.6,0.16,50,0.0965,10,0.091,8,0.4945,162,0.319,58,0.1775,12,0.664,51,0.6475,41,0.6035,28,0.0905,0.0455,0.459,204,0.195,46,0.086,8,0.5335000000000001,204,0.29800000000000004,65,0.132,10,0.637,170,0.507,96,0.269,25,0.1415,0.0855
A2-B0-C2-batch3-r111,III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v4/A2-B0-C2-batch3-r111_III/cosmogenesis_ic.txt,0.002,0.6,0.5,250,-2966504.3758905437,-2966509.80470689,-1.8300382061030707e-06,25380.000000000007,285711.24707979837,0.08785111544703758,256.8,0.21400000000000002,53,0.1445,10,0.139,8,0.515,139,0.3725,56,0.2285,10,0.6915,30,0.6855,27,0.6695,22,0.1285,0.048,0.44900000000000007,193,0.1955,41,0.10350000000000001,8,0.546,202,0.3155,67,0.15150000000000002,8,0.671,161,0.5760000000000001,106,0.336,29,0.168,0.1025
A2-B0-C2-batch3-r104,I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r104_I/cosmogenesis_ic.txt,0.002,0.6,0.5,250,-2901499.469181199,-2901506.8045793786,-2.5281404519949773e-06,25380.000000000007,243768.34855570152,0.07750302809365449,273.2,0.164,47,0.113,15,0.0935,8,0.47200000000000003,153,0.307,54,0.186,13,0.663,42,0.6465000000000001,33,0.6060000000000001,22,0.094,0.0465,0.42300000000000004,172,0.21950000000000003,52,0.0955,8,0.521,188,0.3265,74,0.1325,9,0.6345000000000001,168,0.5245,106,0.2755,29,0.151,0.098
A2-B0-C2-batch3-r60,III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v3/A2-B0-C2-batch3-r60_III/cosmogenesis_ic.txt,0.002,0.6,0.5,250,-2969782.7998986985,-2969791.1756490637,-2.820324222191295e-06,25380.000000000007,287819.4774030079,0.08835293964100603,277.8,0.20550000000000002,46,0.14400000000000002,8,0.14400000000000002,8,0.5145000000000001,138,0.38400000000000006,59,0.2465,14,0.6935,41,0.685,36,0.6295000000000001,21,0.1275,0.051,0.4610000000000001,188,0.23950000000000002,57,0.1005,8,0.557,195,0.3525,74,0.1595,9,0.674,165,0.5745,109,0.315,30,0.167,0.104
A2-B0-C2-r12v1fix,I,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_escala_v2/A2-B0-C2-r12v1fix_I/cosmogenesis_ic.txt,0.002,0.6,0.5,250,-2770656.3948361306,-2770658.556803348,-7.803086739611456e-07,25380.000000000004,122376.40296206455,0.04230035401023556,276.8,0.055,15,0.046000000000000006,9,0.035,6,0.17900000000000002,67,0.093,15,0.076,9,0.3975,84,0.359,61,0.239,22,0.0585,0.0265,0.198,89,0.074,14,0.053000000000000005,7,0.264,114,0.1065,19,0.07700000000000001,8,0.37050000000000005,131,0.2425,55,0.10200000000000001,9,0.0855,0.0565
A2-B0-C2-r19,III,/Users/alexis/phantom_cs073/bateria_fase5b_a2b0c2_piloto/A2-B0-C2-r19_III/cosmogenesis_ic.txt,0.002,0.6,0.5,250,-2856907.6288920674,-2856913.408779357,-2.023127115237406e-06,25380.000000000004,215510.43197814992,0.07014345778706618,277.7,0.1355,43,0.0825,9,0.079,8,0.3995,129,0.261,46,0.152,8,0.603,56,0.587,47,0.5195000000000001,27,0.0815,0.044,0.378,166,0.16949999999999998,39,0.085,8,0.457,177,0.257,57,0.11850000000000001,8,0.5710000000000001,159,0.4675,101,0.21700000000000003,19,0.1275,0.086
