regla,rol,estrato,masa_total_phantom,n_puntos_phantom,phantom_fofcomun_ell0.6,phantom_ngrupos_ell0.6,ic_fofcomun_ell0.6,nbody_fofcomun_ell0.6,phantom_fofcomun_ell1.0,phantom_ngrupos_ell1.0,ic_fofcomun_ell1.0,nbody_fofcomun_ell1.0,phantom_fofcomun_ell2.0,phantom_ngrupos_ell2.0,ic_fofcomun_ell2.0,nbody_fofcomun_ell2.0
A2-B0-C2-r1,I,fuerte,18800.0,1834,0.1015,13,0.0835,0.119,0.188,39,0.1665,0.18,0.4695,70,0.499,0.377
A2-B0-C2-r17,III,fuerte,18800.000000000004,1766,0.177,25,0.1425,0.212,0.3225,59,0.3055,0.295,0.641,66,0.6485,0.5375
A2-B0-C2-batch4-r23,I,fuerte,18800.000000000004,1817,0.146,26,0.1025,0.2065,0.353,81,0.33,0.3125,0.6295,62,0.635,0.4975
A2-B0-C2-batch4-r10,III,fuerte,18800.000000000007,1752,0.194,27,0.1695,0.255,0.374,71,0.368,0.3265,0.692,54,0.694,0.5910000000000001
A2-B0-C2-batch3-r120,I,fuerte,18800.000000000004,1823,0.148,26,0.0965,0.195,0.3575,76,0.319,0.298,0.6425,63,0.6475,0.507
A2-B0-C2-batch3-r111,III,fuerte,18800.000000000007,1764,0.1655,23,0.1445,0.1955,0.3775,73,0.3725,0.3155,0.6885,52,0.6855,0.5760000000000001
A2-B0-C2-batch3-r104,I,fuerte,18800.000000000007,1811,0.151,26,0.113,0.2195,0.336,71,0.307,0.3265,0.641,58,0.6465,0.5245
A2-B0-C2-batch3-r60,III,fuerte,18800.000000000007,1757,0.189,30,0.144,0.2395,0.4015,84,0.384,0.3525,0.682,62,0.685,0.5745
A2-B0-C2-r12v1fix,I,fuerte,18800.000000000004,1884,0.0695,10,0.046,0.074,0.1075,21,0.093,0.1065,0.34,64,0.359,0.2425
A2-B0-C2-r19,III,fuerte,18800.0,1834,0.118,19,0.0825,0.1694999999999999,0.2755,59,0.261,0.257,0.568,63,0.587,0.4675
A2-B0-C2-batch3-r59,I,empate,18800.000000000004,1801,0.162,27,0.118,0.2065,0.37,74,0.3565,0.316,0.6725,49,0.682,0.5835
A2-B0-C2-batch3-r58,III,empate,18800.000000000004,1803,0.1545,25,0.121,0.2145,0.379,86,0.3515,0.3364999999999999,0.6755,58,0.683,0.5770000000000001
A2-B0-C2-batch4-r39,I,empate,18800.000000000004,1805,0.1645,29,0.116,0.225,0.381,85,0.3745,0.313,0.662,49,0.6755,0.5555
A2-B0-C2-batch4-r26,III,empate,18800.000000000004,1803,0.1585,27,0.1065,0.22,0.3635,84,0.3465,0.307,0.6575,60,0.658,0.5529999999999999
A2-B0-C2-r6,I,empate,18800.000000000004,1807,0.145,22,0.1055,0.179,0.336,73,0.3155,0.2805,0.639,49,0.659,0.56
A2-B0-C2-r14,III,empate,18800.000000000004,1810,0.157,27,0.0965,0.2015,0.3375,77,0.3205,0.304,0.6545,59,0.6595,0.539
A2-B0-C2-batch4-r38,I,empate,18800.000000000004,1809,0.1415,23,0.103,0.2035,0.3695,88,0.363,0.2955,0.671,58,0.674,0.5725
A2-B0-C2-batch4-r72,III,empate,18800.000000000004,1805,0.164,30,0.1115,0.2115,0.3225,66,0.322,0.3,0.64,56,0.653,0.5315000000000001
A2-B0-C2-r9,I,empate,18800.0,1847,0.112,19,0.072,0.1465,0.254,57,0.225,0.236,0.5245,70,0.552,0.4365
A2-B0-C2-r39,III,empate,18800.0,1851,0.0975,15,0.0635,0.1265,0.2135,48,0.1965,0.202,0.4895,74,0.5065,0.383
