par,estrato,d_sumideros_phantom,d_fofcomun_phantom,d_fofcomun_nbody,d_fofcomun_IC,coincide_ph_vs_nb,coincide_sumideros_vs_nb,coincide_IC_vs_sumideros
PAR_piloto_B_r1_r17,fuerte,0.034,0.07549999999999998,0.093,0.05899999999999998,True,True,True
A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,fuerte,0.0325,0.048000000000000015,0.048500000000000015,0.06700000000000002,True,True,True
A2-B0-C2-batch3-r120_vs_A2-B0-C2-batch3-r111,fuerte,0.0295,0.017500000000000016,0.0005000000000000004,0.04799999999999999,True,True,True
A2-B0-C2-batch3-r104_vs_A2-B0-C2-batch3-r60,fuerte,0.027,0.038000000000000006,0.01999999999999999,0.030999999999999986,True,True,True
PAR_v2_G_r12v1fix_r19,fuerte,0.025,0.04849999999999999,0.0954999999999999,0.036500000000000005,True,True,True
A2-B0-C2-batch3-r59_vs_A2-B0-C2-batch3-r58,empate,-0.001,-0.007500000000000007,0.008000000000000007,0.0030000000000000027,False,False,False
A2-B0-C2-batch4-r39_vs_A2-B0-C2-batch4-r26,empate,0.001,-0.006000000000000005,-0.0050000000000000044,-0.009500000000000008,True,False,False
PAR_piloto_C_r6_r14,empate,-0.0015,0.01200000000000001,0.02250000000000002,-0.008999999999999994,True,False,True
A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,empate,0.002,0.02250000000000002,0.008000000000000007,0.008500000000000008,True,True,True
PAR_v2_H_r9_r39,empate,-0.002,-0.014499999999999999,-0.01999999999999999,-0.008499999999999994,True,True,True
