observable,media_fin,media_ini,coinc_fuerte_fin,coinc_empate_fin,coinc_total_fin,coinc_fuerte_ini,coinc_empate_ini,coinc_total_ini,coinc_fuerte_delta,coinc_empate_delta,coinc_total_delta,spearman20_fin
fof_ell0.6_nmin3,0.4051,0.1586,4,2,6,5,5,10,2,0,2,0.805
fof_ell0.6_nmin5,0.191,0.1069,5,2,7,5,3,8,2,2,4,0.785
fof_ell0.6_nmin10,0.0916,0.1002,5,4,9,5,3,8,0,3,3,0.863
fof_ell1.0_nmin3,0.4924,0.4461,5,1,6,5,2,7,0,2,2,0.821
fof_ell1.0_nmin5,0.283,0.3039,5,2,7,5,2,7,0,3,3,0.753
fof_ell1.0_nmin10,0.1296,0.1796,5,2,7,5,4,9,0,1,1,0.893
fof_ell2.0_nmin3,0.6138,0.6384,5,4,9,5,2,7,3,2,5,0.934
fof_ell2.0_nmin5,0.5093,0.6245,5,3,8,5,1,6,4,4,8,0.889
fof_ell2.0_nmin10,0.2519,0.5745,5,3,8,5,1,6,3,3,6,0.881
knn8_frac_rho_mayor_100x,0.1418,0.0975,5,3,8,5,5,10,2,3,5,0.911
knn8_frac_rho_mayor_1000x,0.0923,0.0457,5,4,9,5,4,9,5,4,9,0.884
