rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio,fuente,paso_phantom
A2-B0-C2-batch4-r53,intermedio (sin clase clara),576970,6,0.393,0.134,7.89,4,0.321,-1.2015965510219309,4.841143046515876,2.909962078453398,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r49,intermedio (sin clase clara),576582,7,0.51,0.298,7.82,4,0.251,-1.1005970114298573,3.945358700950865,1.69952478581246,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r110,intermedio (sin clase clara),582499,7,0.487,0.224,7.51,4,0.169,-1.096531026564667,5.404780127939132,2.2681320125383895,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r40,intermedio (sin clase clara),475709,6,0.751,0.272,6.68,4,0.212,-1.0008485832490617,8.061017288426642,2.3913901555032786,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r100,I,481529,5,0.569,0.195,6.61,4,0.253,-0.942349973342588,2.8600737574163655,2.7953812374879092,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-r0,intermedio (sin clase clara),271829,8,0.717,0.222,5.83,4,0.159,-0.8543832048975385,4.745376491823968,2.418427084394883,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-batch4-r51,I,576776,8,0.449,0.196,5.29,4,0.338,-0.8118138566051867,0.8637819495242006,2.505911671042578,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r156,intermedio (sin clase clara),586961,6,0.628,0.248,7.57,5,0.244,-0.7736765310855259,5.020458138849487,2.607598055942926,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r118,intermedio (sin clase clara),583275,6,0.474,0.208,7.5,5,0.288,-0.7332665346341074,3.4671793735927507,2.3457793081107257,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r143,I,485700,4,0.585,0.132,6.04,5,0.232,-0.6471381266137246,2.0311854369058535,5.190362062894224,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r56,I,577261,8,0.763,0.332,6.55,5,0.189,-0.6169533920397224,2.3859697649171574,2.6144463396355055,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r15,intermedio (sin clase clara),473284,4,0.404,0.19,6.87,6,0.279,-0.5919387374002495,4.384062034056594,2.571771058703554,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r178,intermedio (sin clase clara),589095,5,0.718,0.101,6.97,4,0.26,-0.5601145883746886,5.3611372854745865,6.590312370045645,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r45,intermedio (sin clase clara),476194,8,0.632,0.292,6.97,4,0.275,-0.48908085725894435,5.9924565891685315,2.1775350953956334,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r95,intermedio (sin clase clara),481044,5,0.572,0.302,7.05,4,0.282,-0.18587149745112772,3.791755713208475,2.3630802727856355,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r177,I,588998,5,0.704,0.121,7.31,7,0.231,0.3141782046905083,0.42426406781192816,5.505205041019487,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r211,I,592296,7,0.681,0.22,7.49,7,0.269,0.34742841733621843,0.8485281356238566,2.198072534061326,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r145,II,485894,7,0.782,0.157,7.35,7,0.302,0.352958295823385,0.5277916858529366,5.013040023139262,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r78,II,479395,8,0.482,0.303,6.49,7,0.201,0.357116607935505,0.6692130417902463,2.411468370300394,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r88,II,480365,7,0.73,0.111,6.51,7,0.232,0.3619540063055784,0.5656854237492379,3.930430089938448,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r195,II,590744,8,0.522,0.254,6.15,7,0.299,0.37027586499277026,0.4242640678119285,2.1760004956178856,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r6,II,372411,8,0.601,0.179,7.46,7,0.296,0.3733201254483976,0.8485281356238566,2.6345160851894063,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch4-r215,II,592684,4,0.708,0.121,7.58,7,0.327,0.3766316560859304,0.28284271202461875,5.157667828115073,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r55,II,577164,4,0.691,0.217,7.65,7,0.298,0.3914357592569719,0.5656854237492379,2.742834577379112,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r190,II,590259,6,0.75,0.212,6.09,6,0.299,0.39193114490365544,1.2727922040357855,1.6504371261307837,cs090_fase5b_candidatas_v4.csv,False
