rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio,fuente,paso_phantom
A2-B0-C2-batch4-r53,intermedio (sin clase clara),576970,6,0.393,0.134,7.89,4,0.321,-1.2015965510219309,4.841143046515876,2.909962078453398,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r49,intermedio (sin clase clara),576582,7,0.51,0.298,7.82,4,0.251,-1.1005970114298573,3.945358700950865,1.69952478581246,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r110,intermedio (sin clase clara),582499,7,0.487,0.224,7.51,4,0.169,-1.096531026564667,5.404780127939132,2.2681320125383895,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r40,intermedio (sin clase clara),475709,6,0.751,0.272,6.68,4,0.212,-1.0008485832490617,8.061017288426642,2.3913901555032786,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r0,intermedio (sin clase clara),271829,8,0.717,0.222,5.83,4,0.159,-0.8543832048975385,4.745376491823968,2.418427084394883,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-batch4-r156,intermedio (sin clase clara),586961,6,0.628,0.248,7.57,5,0.244,-0.7736765310855259,5.020458138849487,2.607598055942926,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r118,intermedio (sin clase clara),583275,6,0.474,0.208,7.5,5,0.288,-0.7332665346341074,3.4671793735927507,2.3457793081107257,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r56,I,577261,8,0.763,0.332,6.55,5,0.189,-0.6169533920397224,2.3859697649171574,2.6144463396355055,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r15,intermedio (sin clase clara),473284,4,0.404,0.19,6.87,6,0.279,-0.5919387374002495,4.384062034056594,2.571771058703554,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r178,intermedio (sin clase clara),589095,5,0.718,0.101,6.97,4,0.26,-0.5601145883746886,5.3611372854745865,6.590312370045645,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r45,intermedio (sin clase clara),476194,8,0.632,0.292,6.97,4,0.275,-0.48908085725894435,5.9924565891685315,2.1775350953956334,cs090_fase5b_candidatas_v3.csv,False
