rule_id,seed,escala_b,n_cajas,diam,giant,n_aristas,grado_medio,n_componentes,tam_comp_del_diam,n_aislados,clase_csv,pendiente_csv,pendiente_repro,reproduce,K,J,noise,meandeg,kcap,monotonia
A2-B0-C2-batch3-r100,481529,1,2000,1.0,0.8445,2374,2.374,29,2,242,I,-0.942349973342588,-0.9423499733425887,True,5,0.569,0.195,6.61,4,NO MONOTONA
A2-B0-C2-batch3-r100,481529,2,1298,17.0,0.7835130970724191,1651,2.5439137134052388,11,1017,260,I,-0.942349973342588,-0.9423499733425887,True,5,0.569,0.195,6.61,4,NO MONOTONA
A2-B0-C2-batch3-r100,481529,4,878,10.0,0.6913439635535308,1226,2.792710706150342,2,607,269,I,-0.942349973342588,-0.9423499733425887,True,5,0.569,0.195,6.61,4,NO MONOTONA
A2-B0-C2-batch3-r100,481529,8,666,7.0,0.5945945945945946,1001,3.006006006006006,1,396,270,I,-0.942349973342588,-0.9423499733425887,True,5,0.569,0.195,6.61,4,NO MONOTONA
A2-B0-C2-batch3-r100,481529,16,559,5.0,0.516994633273703,858,3.0697674418604652,1,289,270,I,-0.942349973342588,-0.9423499733425887,True,5,0.569,0.195,6.61,4,NO MONOTONA
A2-B0-C2-batch4-r51,576776,1,2000,1.0,0.8905,2483,2.483,23,2,159,I,-0.8118138566051867,-0.8118138566051878,True,8,0.449,0.196,5.29,4,NO MONOTONA
A2-B0-C2-batch4-r51,576776,2,1244,15.0,0.844855305466238,1711,2.7508038585209005,13,1051,169,I,-0.8118138566051867,-0.8118138566051878,True,8,0.449,0.196,5.29,4,NO MONOTONA
A2-B0-C2-batch4-r51,576776,4,821,9.0,0.7795371498172959,1288,3.137637028014616,1,640,181,I,-0.8118138566051867,-0.8118138566051878,True,8,0.449,0.196,5.29,4,NO MONOTONA
A2-B0-C2-batch4-r51,576776,8,588,6.0,0.6921768707482994,1048,3.564625850340136,1,407,181,I,-0.8118138566051867,-0.8118138566051878,True,8,0.449,0.196,5.29,4,NO MONOTONA
A2-B0-C2-batch4-r51,576776,16,488,5.0,0.6290983606557377,919,3.7663934426229506,1,307,181,I,-0.8118138566051867,-0.8118138566051878,True,8,0.449,0.196,5.29,4,NO MONOTONA
A2-B0-C2-batch3-r143,485700,1,2000,1.0,0.954,3349,3.349,8,2,77,I,-0.6471381266137246,-0.6471381266137252,True,4,0.585,0.132,6.04,5,NO MONOTONA
A2-B0-C2-batch3-r143,485700,2,1196,9.0,0.9289297658862876,2531,4.2324414715719065,2,1111,83,I,-0.6471381266137246,-0.6471381266137252,True,4,0.585,0.132,6.04,5,NO MONOTONA
