rule_id,seed,clase,corrio_phantom,fraccion_masa,pend_orig,pend_corr,giant_b1,n_aristas_b1,K,J,noise,meandeg,kcap,escalas_descarriladas,descarrila_en_b1,n_cajas,diam_orig,diam_gig,tam_comp_src,tam_comp_gigante
A2-B0-C2-batch4-r53,576970,,False,nan,-1.2015965510219309,1.2489536705146664,0.762,2076,6,0.393,0.134,7.89,4,1,True,"[2000, 1362, 975, 797, 685]","[1.0, 16.0, 10.0, 7.0, 5.0]","[19.0, 16.0, 10.0, 7.0, 5.0]","[2, 922, 553, 377, 265]","[1524, 922, 553, 377, 265]"
A2-B0-C2-batch4-r49,576582,,False,nan,-1.100597011429855,1.2518920643742322,0.79,2102,7,0.51,0.298,7.82,4,1,True,"[2000, 1354, 973, 744, 650]","[1.0, 15.0, 9.0, 7.0, 5.0]","[21.0, 15.0, 9.0, 7.0, 5.0]","[2, 965, 596, 368, 274]","[1580, 965, 596, 368, 274]"
A2-B0-C2-batch4-r110,582499,,False,nan,-1.0965310265646666,1.4432315217386857,0.785,2154,7,0.487,0.224,7.51,4,1,True,"[2000, 1337, 959, 739, 632]","[1.0, 19.0, 12.0, 8.0, 5.0]","[28.0, 19.0, 12.0, 8.0, 5.0]","[3, 946, 582, 364, 257]","[1570, 946, 582, 364, 257]"
A2-B0-C2-batch3-r40,475709,,False,nan,-1.000848583249062,1.0608380390359655,0.8445,2319,6,0.751,0.272,6.68,4,1,True,"[2000, 1302, 908, 702, 579]","[1.0, 13.0, 9.0, 6.0, 5.0]","[18.0, 13.0, 9.0, 6.0, 5.0]","[2, 1011, 624, 418, 295]","[1689, 1011, 624, 418, 295]"
A2-B0-C2-batch3-r100,481529,I,True,0.14999999999999994,-0.9423499733425887,1.2549922266543088,0.8445,2374,5,0.569,0.195,6.61,4,1,True,"[2000, 1298, 878, 666, 559]","[1.0, 17.0, 10.0, 7.0, 5.0]","[25.0, 17.0, 10.0, 7.0, 5.0]","[2, 1017, 607, 396, 289]","[1689, 1017, 607, 396, 289]"
A2-B0-C2-r0,271829,,False,nan,-0.8543832048975383,1.0282139706555447,0.869,2479,8,0.717,0.222,5.83,4,1,True,"[2000, 1263, 817, 622, 488]","[1.0, 13.0, 9.0, 6.0, 5.0]","[21.0, 13.0, 9.0, 6.0, 5.0]","[2, 1035, 603, 410, 278]","[1738, 1035, 603, 410, 278]"
A2-B0-C2-batch4-r51,576776,I,True,0.14499999999999996,-0.8118138566051878,1.080657709435624,0.8905,2483,8,0.449,0.196,5.29,4,1,True,"[2000, 1244, 821, 588, 488]","[1.0, 15.0, 9.0, 6.0, 5.0]","[22.0, 15.0, 9.0, 6.0, 5.0]","[2, 1051, 640, 407, 307]","[1781, 1051, 640, 407, 307]"
A2-B0-C2-batch4-r156,586961,,False,nan,-0.7736765310855254,0.965909543858033,0.9135,3067,6,0.628,0.248,7.57,5,1,True,"[2000, 1243, 817, 612, 466]","[1.0, 12.0, 8.0, 7.0, 4.0]","[18.0, 12.0, 8.0, 7.0, 4.0]","[2, 1081, 656, 451, 305]","[1827, 1081, 656, 451, 305]"
A2-B0-C2-batch4-r118,583275,,False,nan,-0.7340081284090899,0.7733448733605102,0.9295,3060,6,0.474,0.208,7.5,5,1,True,"[2000, 1228, 796, 561, 427]","[1.0, 11.0, 8.0, 5.0, 5.0]","[15.0, 11.0, 8.0, 5.0, 5.0]","[2, 1096, 667, 432, 298]","[1859, 1096, 667, 432, 298]"
A2-B0-C2-batch3-r143,485700,I,True,0.10000000000000003,-0.6471381266137252,0.7640298812029376,0.954,3349,4,0.585,0.132,6.04,5,1,True,"[2000, 1196, 769, 518, 404]","[1.0, 9.0, 7.0, 5.0, 4.0]","[14.0, 9.0, 7.0, 5.0, 4.0]","[2, 1111, 685, 434, 320]","[1908, 1111, 685, 434, 320]"
