rule_id,seed,clase_csv,pendiente_original,pendiente_corregida,fraccion_masa_en_sumideros,percentil_vs_80,kappa_v_agregado,n_sumideros,t_primer_sumidero,giant_grafo_final,grado_medio_grafo_final,K,J,noise,meandeg,kcap
A2-B0-C2-batch4-r53,576970,intermedio (sin clase clara),-1.2015965510219309,1.2489536705146664,0.156,100.0,1.3506493506493507,8,0.021,0.762,2.076,6,0.393,0.134,7.89,4
A2-B0-C2-batch4-r49,576582,intermedio (sin clase clara),-1.1005970114298573,1.2518920643742322,0.157,100.0,1.5138888888888888,8,0.034,0.79,2.102,7,0.51,0.298,7.82,4
A2-B0-C2-batch4-r110,582499,intermedio (sin clase clara),-1.096531026564667,1.4432315217386857,0.15549999999999997,100.0,1.355555555555555,8,0.03,0.785,2.154,7,0.487,0.224,7.51,4
A2-B0-C2-batch3-r40,475709,intermedio (sin clase clara),-1.0008485832490617,1.0608380390359655,0.156,100.0,1.495495495495495,8,0.022,0.8445,2.319,6,0.751,0.272,6.68,4
A2-B0-C2-r0,271829,intermedio (sin clase clara),-0.8543832048975385,1.0282139706555447,0.1415,95.0,1.1666666666666665,8,0.024,0.869,2.479,8,0.717,0.222,5.83,4
A2-B0-C2-batch4-r156,586961,intermedio (sin clase clara),-0.7736765310855259,0.965909543858033,0.1325,95.0,1.0270270270270272,8,0.029,0.9135,3.067,6,0.628,0.248,7.57,5
A2-B0-C2-batch4-r118,583275,intermedio (sin clase clara),-0.7332665346341074,0.7733448733605102,0.12349999999999998,91.2,0.8857142857142855,8,0.034,0.9295,3.06,6,0.474,0.208,7.5,5
A2-B0-C2-batch4-r56,577261,I,-0.6169533920397224,0.8409053526801468,0.1065,76.2,0.5679611650485437,8,0.04,0.95,3.249,8,0.763,0.332,6.55,5
A2-B0-C2-batch3-r15,473284,intermedio (sin clase clara),-0.5919387374002495,0.5937192333814296,0.07700000000000001,7.5,0.3653846153846153,8,0.044,0.985,4.205,4,0.404,0.19,6.87,6
A2-B0-C2-batch4-r178,589095,intermedio (sin clase clara),-0.5601145883746886,1.061302737698569,0.15200000000000002,98.8,1.276315789473684,8,0.034,0.844,2.332,5,0.718,0.101,6.97,4
A2-B0-C2-batch3-r45,476194,intermedio (sin clase clara),-0.48908085725894435,1.2657695680500618,0.153,98.8,1.2948717948717947,8,0.03,0.8175,2.281,8,0.632,0.292,6.97,4
