carpeta,rule_id,clase,seed,K,J,noise,meandeg,kcap,n_aristas_grafo_final,diam_grafo_final,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,masa_total_sistema,fraccion_masa_en_sumideros,pendiente,clase_csv,fuente_csv,giant_grafo_final,grado_medio_grafo_final,t_run_s
A2-B0-C2-batch4-r53_pendNEG,A2-B0-C2-batch4-r53,intermedio (sin clase clara),576970,6,0.393,0.134,7.89,4,2076,1.0,8,0.021,2932.8,1.3506493506493507,1.3706439393939394,0,18800.0,0.156,-1.2015965510219309,intermedio (sin clase clara),cs090_fase5b_candidatas_v4.csv,0.762,2.076,9.87
A2-B0-C2-batch4-r49_pendNEG,A2-B0-C2-batch4-r49,intermedio (sin clase clara),576582,7,0.51,0.298,7.82,4,2102,1.0,8,0.034,2951.6,1.5138888888888888,1.5212797619047618,0,18800.0,0.157,-1.1005970114298573,intermedio (sin clase clara),cs090_fase5b_candidatas_v4.csv,0.79,2.102,10.07
A2-B0-C2-batch4-r110_pendNEG,A2-B0-C2-batch4-r110,intermedio (sin clase clara),582499,7,0.487,0.224,7.51,4,2154,1.0,8,0.03,2923.3999999999996,1.355555555555555,1.364741161616161,0,18800.0,0.15549999999999997,-1.096531026564667,intermedio (sin clase clara),cs090_fase5b_candidatas_v4.csv,0.785,2.154,10.42
A2-B0-C2-batch3-r40_pendNEG,A2-B0-C2-batch3-r40,intermedio (sin clase clara),475709,6,0.751,0.272,6.68,4,2319,1.0,8,0.022,2932.8,1.495495495495495,1.4995370370370367,0,18800.0,0.156,-1.0008485832490617,intermedio (sin clase clara),cs090_fase5b_candidatas_v3.csv,0.8445,2.319,10.28
A2-B0-C2-r0_pendNEG,A2-B0-C2-r0,intermedio (sin clase clara),271829,8,0.717,0.222,5.83,4,2479,1.0,8,0.024,2660.2,1.1666666666666665,1.170486111111111,0,18800.0,0.1415,-0.8543832048975385,intermedio (sin clase clara),cs090_fase5_profundizar_a2b0c2_resumen.csv,0.869,2.479,9.98
A2-B0-C2-batch4-r156_pendNEG,A2-B0-C2-batch4-r156,intermedio (sin clase clara),586961,6,0.628,0.248,7.57,5,3067,1.0,8,0.029,2491.0,1.0270270270270272,1.0396464646464647,0,18800.0,0.1325,-0.7736765310855259,intermedio (sin clase clara),cs090_fase5b_candidatas_v4.csv,0.9135,3.067,10.5
A2-B0-C2-batch4-r118_pendNEG,A2-B0-C2-batch4-r118,intermedio (sin clase clara),583275,6,0.474,0.208,7.5,5,3060,1.0,8,0.034,2321.7999999999997,0.8857142857142855,0.896875,0,18800.0,0.12349999999999998,-0.7332665346341074,intermedio (sin clase clara),cs090_fase5b_candidatas_v4.csv,0.9295,3.06,10.01
A2-B0-C2-batch4-r56_pendNEG,A2-B0-C2-batch4-r56,I,577261,8,0.763,0.332,6.55,5,3249,1.0,8,0.04,2002.2,0.5679611650485437,0.5654334291187739,0,18800.0,0.1065,-0.6169533920397224,I,cs090_fase5b_candidatas_v4.csv,0.95,3.249,9.64
A2-B0-C2-batch3-r15_pendNEG,A2-B0-C2-batch3-r15,intermedio (sin clase clara),473284,4,0.404,0.19,6.87,6,4205,1.0,8,0.044,1447.6000000000001,0.3653846153846153,0.36770833333333325,0,18800.0,0.07700000000000001,-0.5919387374002495,intermedio (sin clase clara),cs090_fase5b_candidatas_v3.csv,0.985,4.205,9.99
A2-B0-C2-batch4-r178_pendNEG,A2-B0-C2-batch4-r178,intermedio (sin clase clara),589095,5,0.718,0.101,6.97,4,2332,2.0,8,0.034,2857.6000000000004,1.276315789473684,1.2777777777777777,0,18800.0,0.15200000000000002,-0.5601145883746886,intermedio (sin clase clara),cs090_fase5b_candidatas_v4.csv,0.844,2.332,10.46
A2-B0-C2-batch3-r45_pendNEG,A2-B0-C2-batch3-r45,intermedio (sin clase clara),476194,8,0.632,0.292,6.97,4,2281,2.0,8,0.03,2876.4,1.2948717948717947,1.3132575757575755,0,18800.0,0.153,-0.48908085725894435,intermedio (sin clase clara),cs090_fase5b_candidatas_v3.csv,0.8175,2.281,11.4
