rule_id,seed,fuente,K,J,noise,meandeg,kcap,clase_csv,pendiente_csv,z_agg_csv,reconstruccion_fiel,pendiente_vieja,pendiente_corregida,z_agg_vieja,z_agg_corregida,z_sost_vieja,z_sost_corregida,holon_ratio,clase_vieja,clase_corregida,cambia_clase,diam_viejo,diam_corregido,diam_null_viejo,diam_null_corregido,n_cajas,tam_comp_medida,tam_gigante,descarrila_b1,escalas_descarriladas
A2-B0-C2-batch4-r53,576970,cs090_fase5b_candidatas_v4.csv,6,0.393,0.134,7.89,4,intermedio (sin clase clara),-1.2015965510219309,4.841143046515876,True,-1.2015965510219309,1.2489536705146664,4.841143046515876,1.02276643215852,False,False,2.909962078453398,intermedio (sin clase clara),III,True,"[1.0, 16.0, 10.0, 7.0, 5.0]","[19.0, 16.0, 10.0, 7.0, 5.0]","[21.333, 15.0, 10.0, 7.667, 5.0]","[21.333, 15.0, 10.0, 7.667, 5.0]","[2000, 1362, 975, 797, 685]","[2, 922, 553, 377, 265]","[1524, 922, 553, 377, 265]",True,1
A2-B0-C2-batch4-r49,576582,cs090_fase5b_candidatas_v4.csv,7,0.51,0.298,7.82,4,intermedio (sin clase clara),-1.1005970114298573,3.945358700950865,True,-1.100597011429855,1.2518920643742322,3.945358700950865,0.7382238005732006,False,False,1.69952478581246,intermedio (sin clase clara),III,True,"[1.0, 15.0, 9.0, 7.0, 5.0]","[21.0, 15.0, 9.0, 7.0, 5.0]","[21.667, 15.0, 11.0, 7.0, 5.333]","[21.667, 15.0, 11.0, 7.0, 5.333]","[2000, 1354, 973, 744, 650]","[2, 965, 596, 368, 274]","[1580, 965, 596, 368, 274]",True,1
A2-B0-C2-batch4-r110,582499,cs090_fase5b_candidatas_v4.csv,7,0.487,0.224,7.51,4,intermedio (sin clase clara),-1.096531026564667,5.404780127939132,True,-1.0965310265646666,1.4432315217386857,5.404780127939132,3.427046939372905,False,False,2.2681320125383895,intermedio (sin clase clara),III,True,"[1.0, 19.0, 12.0, 8.0, 5.0]","[28.0, 19.0, 12.0, 8.0, 5.0]","[20.667, 14.667, 10.667, 7.333, 5.0]","[20.667, 14.667, 10.667, 7.333, 5.0]","[2000, 1337, 959, 739, 632]","[3, 946, 582, 364, 257]","[1570, 946, 582, 364, 257]",True,1
A2-B0-C2-batch3-r40,475709,cs090_fase5b_candidatas_v3.csv,6,0.751,0.272,6.68,4,intermedio (sin clase clara),-1.0008485832490617,8.061017288426642,True,-1.000848583249062,1.0608380390359655,8.061017288426642,0.8485281356238573,False,False,2.3913901555032786,intermedio (sin clase clara),III,True,"[1.0, 13.0, 9.0, 6.0, 5.0]","[18.0, 13.0, 9.0, 6.0, 5.0]","[19.667, 13.0, 9.0, 6.0, 5.333]","[19.667, 13.0, 9.0, 6.0, 5.333]","[2000, 1302, 908, 702, 579]","[2, 1011, 624, 418, 295]","[1689, 1011, 624, 418, 295]",True,1
A2-B0-C2-batch3-r100,481529,cs090_fase5b_candidatas_v3.csv,5,0.569,0.195,6.61,4,I,-0.942349973342588,2.8600737574163655,True,-0.9423499733425887,1.2549922266543088,2.8600737574163655,1.1729709784774875,False,False,2.7953812374879092,I,III,True,"[1.0, 17.0, 10.0, 7.0, 5.0]","[25.0, 17.0, 10.0, 7.0, 5.0]","[21.667, 13.667, 9.667, 6.0, 5.0]","[21.667, 13.667, 9.667, 6.0, 5.0]","[2000, 1298, 878, 666, 559]","[2, 1017, 607, 396, 289]","[1689, 1017, 607, 396, 289]",True,1
A2-B0-C2-r0,271829,cs090_fase5_profundizar_a2b0c2_resumen.csv,8,0.717,0.222,5.83,4,intermedio (sin clase clara),-0.8543832048975385,4.745376491823968,True,-0.8543832048975383,1.0282139706555447,4.745376491823968,0.8261929081708825,False,False,2.418427084394883,intermedio (sin clase clara),III,True,"[1.0, 13.0, 9.0, 6.0, 5.0]","[21.0, 13.0, 9.0, 6.0, 5.0]","[19.0, 12.667, 9.0, 6.667, 5.0]","[19.0, 12.667, 9.0, 6.667, 5.0]","[2000, 1263, 817, 622, 488]","[2, 1035, 603, 410, 278]","[1738, 1035, 603, 410, 278]",True,1
A2-B0-C2-batch4-r51,576776,cs090_fase5b_candidatas_v4.csv,8,0.449,0.196,5.29,4,I,-0.8118138566051867,0.8637819495242006,True,-0.8118138566051878,1.080657709435624,0.8637819495242006,0.8485281365038567,False,False,2.505911671042578,I,III,True,"[1.0, 15.0, 9.0, 6.0, 5.0]","[22.0, 15.0, 9.0, 6.0, 5.0]","[13.667, 13.0, 8.333, 6.0, 5.0]","[18.667, 13.0, 8.333, 6.0, 5.0]","[2000, 1244, 821, 588, 488]","[2, 1051, 640, 407, 307]","[1781, 1051, 640, 407, 307]",True,1
A2-B0-C2-batch4-r156,586961,cs090_fase5b_candidatas_v4.csv,6,0.628,0.248,7.57,5,intermedio (sin clase clara),-0.7736765310855259,5.020458138849487,True,-0.7736765310855254,0.965909543858033,5.020458138849487,2.8284271194961903,False,False,2.607598055942926,intermedio (sin clase clara),III,True,"[1.0, 12.0, 8.0, 7.0, 4.0]","[18.0, 12.0, 8.0, 7.0, 4.0]","[14.667, 9.333, 7.333, 5.333, 4.0]","[14.667, 9.333, 7.333, 5.333, 4.0]","[2000, 1243, 817, 612, 466]","[2, 1081, 656, 451, 305]","[1827, 1081, 656, 451, 305]",True,1
A2-B0-C2-batch4-r118,583275,cs090_fase5b_candidatas_v4.csv,6,0.474,0.208,7.5,5,intermedio (sin clase clara),-0.7332665346341074,3.4671793735927507,False,-0.7340081284090899,0.7733448733605102,3.4671793735927507,0.5277916858529366,False,False,2.3457793081107257,intermedio (sin clase clara),III,True,"[1.0, 11.0, 8.0, 5.0, 5.0]","[15.0, 11.0, 8.0, 5.0, 5.0]","[14.0, 9.0, 7.0, 5.333, 4.667]","[14.0, 9.0, 7.0, 5.333, 4.667]","[2000, 1228, 796, 561, 427]","[2, 1096, 667, 432, 298]","[1859, 1096, 667, 432, 298]",True,1
A2-B0-C2-batch3-r143,485700,cs090_fase5b_candidatas_v3.csv,4,0.585,0.132,6.04,5,I,-0.6471381266137246,2.0311854369058535,True,-0.6471381266137252,0.7640298812029376,2.0311854369058535,0.05345224833962783,False,False,5.190362062894224,I,IV,True,"[1.0, 9.0, 7.0, 5.0, 4.0]","[14.0, 9.0, 7.0, 5.0, 4.0]","[13.667, 10.0, 6.0, 5.0, 4.0]","[13.667, 10.0, 6.0, 5.0, 4.0]","[2000, 1196, 769, 518, 404]","[2, 1111, 685, 434, 320]","[1908, 1111, 685, 434, 320]",True,1
A2-B0-C2-batch4-r56,577261,cs090_fase5b_candidatas_v4.csv,8,0.763,0.332,6.55,5,I,-0.6169533920397224,2.3859697649171574,True,-0.6169533920397225,0.8409053526801468,2.3859697649171574,0.8170406847347618,False,False,2.6144463396355055,I,III,True,"[1.0, 11.0, 8.0, 5.0, 4.0]","[15.0, 11.0, 8.0, 5.0, 4.0]","[14.667, 9.333, 7.667, 5.0, 4.0]","[14.667, 9.333, 7.667, 5.0, 4.0]","[2000, 1186, 759, 542, 395]","[2, 1094, 668, 451, 304]","[1900, 1094, 668, 451, 304]",True,1
A2-B0-C2-batch3-r15,473284,cs090_fase5b_candidatas_v3.csv,4,0.404,0.19,6.87,6,intermedio (sin clase clara),-0.5919387374002495,4.384062034056594,True,-0.5919387374002498,0.5937192333814296,4.384062034056594,0.8485281356238573,False,False,2.571771058703554,intermedio (sin clase clara),I,True,"[1.0, 8.0, 6.0, 5.0, 4.0]","[12.0, 8.0, 6.0, 5.0, 4.0]","[10.667, 7.333, 6.0, 5.0, 4.0]","[10.667, 7.333, 6.0, 5.0, 4.0]","[2000, 1154, 685, 444, 341]","[2, 1127, 658, 417, 314]","[1970, 1127, 658, 417, 314]",True,1
A2-B0-C2-batch4-r178,589095,cs090_fase5b_candidatas_v4.csv,5,0.718,0.101,6.97,4,intermedio (sin clase clara),-0.5601145883746886,5.3611372854745865,True,-0.5601145883746895,1.061302737698569,5.3611372854745865,0.9520557538648651,False,False,6.590312370045645,intermedio (sin clase clara),IV,True,"[2.0, 13.0, 9.0, 7.0, 5.0]","[20.0, 13.0, 9.0, 7.0, 5.0]","[21.0, 14.0, 9.667, 6.333, 5.0]","[21.0, 14.0, 9.667, 6.333, 5.0]","[2000, 1299, 886, 675, 579]","[3, 1011, 605, 395, 299]","[1688, 1011, 605, 395, 299]",True,1
A2-B0-C2-batch3-r45,476194,cs090_fase5b_candidatas_v3.csv,8,0.632,0.292,6.97,4,intermedio (sin clase clara),-0.48908085725894435,5.9924565891685315,True,-0.4890808572589448,1.2657695680500618,5.9924565891685315,1.0934771096021751,False,False,2.1775350953956334,intermedio (sin clase clara),III,True,"[2.0, 16.0, 11.0, 6.0, 5.0]","[22.0, 16.0, 11.0, 6.0, 5.0]","[23.0, 16.0, 9.667, 6.667, 5.0]","[23.0, 16.0, 9.667, 6.667, 5.0]","[2000, 1318, 903, 705, 604]","[4, 984, 580, 383, 282]","[1635, 984, 580, 383, 282]",True,1
A2-B0-C2-batch3-r95,481044,cs090_fase5b_candidatas_v3.csv,5,0.572,0.302,7.05,4,intermedio (sin clase clara),-0.18587149745112772,3.791755713208475,True,-0.1858714974511283,1.147420364197025,3.791755713208475,1.226047792906344,False,False,2.3630802727856355,intermedio (sin clase clara),III,True,"[3.0, 15.0, 10.0, 6.0, 5.0]","[19.0, 15.0, 10.0, 6.0, 5.0]","[23.333, 15.667, 10.667, 6.333, 5.0]","[23.333, 15.667, 10.667, 6.333, 5.0]","[2000, 1314, 923, 711, 591]","[5, 963, 591, 384, 264]","[1609, 963, 591, 384, 264]",True,1
