seed,arm,b,n_cajas,diam_viejo,diam_corregido,tam_comp_medida,tam_gigante,n_componentes,n_aislados,descarrila
80100,local,1,8000,9.0,9.0,7320,7320,39,592,False
80100,local,2,4664,7.0,7.0,4024,4024,11,620,False
80100,local,4,2921,6.0,6.0,2291,2291,1,630,False
80100,local,8,1946,6.0,6.0,1316,1316,1,630,False
80100,local,16,1412,4.0,4.0,782,782,1,630,False
80100,local,32,1139,4.0,4.0,509,509,1,630,False
80100,local_barajado,1,8000,7.0,7.0,7287,7287,39,625,False
80100,local_barajado,2,4584,5.0,5.0,3911,3911,11,653,False
80100,local_barajado,4,2840,4.0,4.0,2177,2177,1,663,False
80100,local_barajado,8,1873,4.0,4.0,1210,1210,1,663,False
80100,local_barajado,16,1443,4.0,4.0,780,780,1,663,False
80100,local_barajado,32,1199,3.0,3.0,536,536,1,663,False
80100,er_null,1,8000,10.0,10.0,7982,7982,1,18,False
80100,er_null,2,4461,6.0,6.0,4443,4443,1,18,False
80100,er_null,4,2649,6.0,6.0,2631,2631,1,18,False
80100,er_null,8,1663,5.0,5.0,1645,1645,1,18,False
80100,er_null,16,1197,4.0,4.0,1179,1179,1,18,False
80100,er_null,32,910,4.0,4.0,892,892,1,18,False
80200,local,1,8000,10.0,10.0,7330,7330,39,584,False
80200,local,2,4642,8.0,8.0,4011,4011,10,613,False
80200,local,4,2910,6.0,6.0,2288,2288,1,622,False
80200,local,8,1933,6.0,6.0,1311,1311,1,622,False
80200,local,16,1407,5.0,5.0,785,785,1,622,False
80200,local,32,1123,5.0,5.0,501,501,1,622,False
80200,local_barajado,1,8000,7.0,7.0,7284,7284,39,629,False
80200,local_barajado,2,4581,5.0,5.0,3906,3906,8,660,False
80200,local_barajado,4,2816,4.0,4.0,2148,2148,2,666,False
80200,local_barajado,8,1910,4.0,4.0,1243,1243,1,667,False
80200,local_barajado,16,1424,3.0,3.0,757,757,1,667,False
80200,local_barajado,32,1174,3.0,3.0,507,507,1,667,False
80200,er_null,1,8000,9.0,9.0,7978,7978,1,22,False
80200,er_null,2,4444,7.0,7.0,4422,4422,1,22,False
80200,er_null,4,2624,5.0,5.0,2602,2602,1,22,False
80200,er_null,8,1692,5.0,5.0,1670,1670,1,22,False
80200,er_null,16,1202,4.0,4.0,1180,1180,1,22,False
80200,er_null,32,949,4.0,4.0,927,927,1,22,False
80300,local,1,8000,9.0,9.0,7260,7260,56,611,False
80300,local,2,4664,7.0,7.0,3985,3985,13,654,False
80300,local,4,2930,6.0,6.0,2263,2263,2,665,False
80300,local,8,1965,5.0,5.0,1299,1299,1,666,False
80300,local,16,1470,5.0,5.0,804,804,1,666,False
80300,local,32,1195,4.0,4.0,529,529,1,666,False
80300,local_barajado,1,8000,7.0,7.0,7251,7251,40,654,False
80300,local_barajado,2,4600,5.0,5.0,3895,3895,12,682,False
80300,local_barajado,4,2849,4.0,4.0,2155,2155,2,692,False
80300,local_barajado,8,1904,4.0,4.0,1211,1211,1,693,False
80300,local_barajado,16,1447,4.0,4.0,754,754,1,693,False
80300,local_barajado,32,1214,3.0,3.0,521,521,1,693,False
80300,er_null,1,8000,9.0,9.0,7979,7979,2,19,False
80300,er_null,2,4461,7.0,7.0,4441,4441,1,20,False
80300,er_null,4,2645,6.0,6.0,2625,2625,1,20,False
80300,er_null,8,1658,5.0,5.0,1638,1638,1,20,False
80300,er_null,16,1182,4.0,4.0,1162,1162,1,20,False
80300,er_null,32,942,4.0,4.0,922,922,1,20,False
