rule_id,clase,igualacion_M,kcap,n_aristas_grafo_final,grado_medio_grafo_final,clustering_medio,pendiente_corregida,pendiente_null,z_agg,holon_ratio,diam_grafo_final,giant_grafo_final,K,J,noise,meandeg,seed,n_gas_inicial,n_sumideros,masa_gas_final,masa_sumideros_final,masa_total_final,fraccion_masa_en_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,n_dump_final,t_setup_s,t_run_s,carpeta
A2-B0-C2-f701-r1050,I,seleccion,6,3808,3.808,0.0017,0.628342189206346,0.596723188968165,0.6692130420902463,1.6982309094214763,12.0,0.9805,4,0.623,0.299,4.47,70802851,2000,8,17155.0,1645.0000000000005,18800.0,0.08750000000000002,0.033,1645.0,0.39204545454545464,0.39938186813186816,0,cosmog_00500,1.71,13.94,A2-B0-C2-f701-r1050
A2-B0-C2-f701-r1119,I,seleccion,7,3807,3.807,0.001045,0.6702041197498276,0.6149042315235907,0.3863703300656272,1.3386200394610508,12.0,0.973,5,0.327,0.339,4.29,70809544,2000,8,17098.600000000002,1701.4000000000005,18800.000000000004,0.09050000000000001,0.039,1701.4000000000003,0.41666666666666674,0.4174107142857143,0,cosmog_00500,1.86,14.49,A2-B0-C2-f701-r1119
A2-B0-C2-f701-r1132,I,seleccion,6,3801,3.801,0.002208,0.5213069373804459,0.554654294910493,0.5656854237492382,2.8555839281719617,10.0,0.978,7,0.483,0.179,4.7,70810805,2000,8,17183.2,1616.8000000000006,18800.0,0.08600000000000003,0.042,1616.8000000000002,0.46666666666666673,0.4754464285714286,0,cosmog_00500,1.98,14.11,A2-B0-C2-f701-r1132
A2-B0-C2-f701-r1161,I,seleccion,6,3786,3.786,0.001503,0.6030752865792534,0.6920102873895635,0.41338896538195413,4.130239150145985,11.0,0.9835,5,0.769,0.217,4.35,70813618,2000,8,17220.8,1579.2000000000003,18800.0,0.08400000000000002,0.044,1579.2,0.40000000000000013,0.39806547619047633,0,cosmog_00500,0.86,8.98,A2-B0-C2-f701-r1161
A2-B0-C2-f701-r1176,I,seleccion,6,4188,4.188,0.003529,0.5599990208420859,0.5144264283517848,0.4242640681119285,2.271777243367153,12.0,0.9875,4,0.427,0.264,6.17,70815073,2000,8,17427.600000000002,1372.4000000000003,18800.000000000004,0.07300000000000001,0.053,1372.4,0.3829787234042551,0.4138392857142855,0,cosmog_00500,0.94,10.75,A2-B0-C2-f701-r1176
A2-B0-C2-f701-r1179,I,seleccion,7,3993,3.993,0.001373,0.581089178632316,0.5717554373805771,0.14142135593730937,1.2007129521317517,11.0,0.9815,8,0.39,0.18,4.42,70815364,2000,8,17343.0,1457.0000000000005,18800.0,0.07750000000000003,0.039,1457.0,0.4285714285714286,0.4379464285714286,0,cosmog_00500,1.63,13.6,A2-B0-C2-f701-r1179
A2-B0-C2-f701-r1181,I,seleccion,7,3845,3.845,0.000447,0.6814660586979108,0.6103223548897904,0.7071067796865472,1.645174765050045,13.0,0.9845,6,0.531,0.235,4.15,70815558,2000,8,17202.0,1598.0000000000007,18800.0,0.08500000000000003,0.047,1598.0,0.46296296296296285,0.4739583333333332,0,cosmog_00500,1.74,14.07,A2-B0-C2-f701-r1181
A2-B0-C2-f701-r12,I,seleccion,6,4001,4.001,0.005546,0.5663315900311039,0.5749976270904052,0.14142135593730976,1.3991015078874187,11.0,0.9815,7,0.413,0.346,6.77,70702165,2000,8,17305.4,1494.6000000000004,18800.0,0.07950000000000002,0.04,1494.6,0.30357142857142866,0.3130952380952382,0,cosmog_00500,1.88,13.34,A2-B0-C2-f701-r12
A2-B0-C2-f701-r141,I,seleccion,7,4162,4.162,0.001993,0.5483322982254378,0.5998894856827093,0.5656854240992379,1.9643434385375431,11.0,0.9845,6,0.301,0.115,4.72,70714678,2000,8,17361.8,1438.2000000000003,18800.0,0.07650000000000001,0.045,1438.2,0.42553191489361686,0.42752976190476183,0,cosmog_00500,1.26,12.43,A2-B0-C2-f701-r141
A2-B0-C2-f701-r157,I,seleccion,7,4003,4.003,0.002054,0.45383040747025777,0.6679004399782349,1.5556349159104041,3.665230836285059,9.0,0.9825,4,0.495,0.198,4.34,70716230,2000,8,17371.2,1428.8000000000004,18800.0,0.07600000000000003,0.039,1428.8000000000002,0.45205479452054775,0.45565476190476173,0,cosmog_00500,1.66,13.88,A2-B0-C2-f701-r157
A2-B0-C2-f701-r190,I,seleccion,6,4205,4.205,0.003658,0.5576015130437296,0.5352467927657827,0.527791685852937,3.2176291274561444,12.0,0.986,5,0.669,0.216,6.11,70719431,2000,8,17465.2,1334.8000000000002,18800.0,0.07100000000000001,0.04,1334.8,0.4920634920634915,0.5757936507936504,0,cosmog_00500,1.61,11.83,A2-B0-C2-f701-r190
A2-B0-C2-f701-r203,I,seleccion,6,3797,3.797,0.001119,0.6091235364664476,0.5645411631652996,0.14142135593730937,2.562986273000725,12.0,0.981,6,0.491,0.172,4.56,70720692,2000,8,17155.0,1645.0000000000005,18800.0,0.08750000000000002,0.041,1645.0,0.5294117647058822,0.5589285714285713,0,cosmog_00500,1.58,14.44,A2-B0-C2-f701-r203
A2-B0-C2-f701-r308,I,seleccion,7,4167,4.167,0.001921,0.6176601063430129,0.5613672186216319,0.4086825976354479,1.8161845451232943,12.0,0.989,7,0.591,0.131,4.6,70730877,2000,8,17408.8,1391.2000000000003,18800.0,0.07400000000000001,0.042,1391.2,0.3137254901960785,0.32514880952380953,0,cosmog_00500,1.23,12.9,A2-B0-C2-f701-r308
A2-B0-C2-f701-r336,I,seleccion,7,4168,4.168,0.001913,0.5922045172197873,0.5292647569479032,0.989949491561166,5.138464689320908,12.0,0.983,5,0.401,0.147,4.6,70733593,2000,8,17343.0,1457.0000000000005,18800.0,0.07750000000000003,0.045,1457.0,0.4583333333333334,0.483779761904762,0,cosmog_00500,1.6,13.21,A2-B0-C2-f701-r336
A2-B0-C2-f701-r343,I,seleccion,7,3851,3.851,0.000974,0.6282556048535831,0.6508642298095572,0.2828427118746195,4.100340541038095,12.0,0.9765,7,0.765,0.136,4.09,70734272,2000,8,17239.600000000002,1560.4000000000005,18800.000000000004,0.08300000000000002,0.038,1560.4,0.38181818181818183,0.3882440476190476,0,cosmog_00500,1.33,12.34,A2-B0-C2-f701-r343
A2-B0-C2-f701-r352,I,seleccion,7,3985,3.985,0.000724,0.5882883291993378,0.597108149965198,0.14142135593730976,1.9619174619958968,11.0,0.9825,5,0.628,0.269,4.29,70735145,2000,8,17277.2,1522.8000000000004,18800.0,0.08100000000000002,0.044,1522.8000000000002,0.40740740740740744,0.4301587301587303,0,cosmog_00500,1.23,13.0,A2-B0-C2-f701-r352
A2-B0-C2-f701-r368,I,seleccion,7,4051,4.051,0.000885,0.6274304505012643,0.5646425653607929,0.527791685852937,1.565180928799086,12.0,0.9895,7,0.399,0.158,4.49,70736697,2000,8,17371.2,1428.8000000000002,18800.0,0.07600000000000001,0.043,1428.8000000000002,0.3773584905660377,0.38149801587301585,0,cosmog_00500,1.23,10.51,A2-B0-C2-f701-r368
A2-B0-C2-f701-r454,I,seleccion,7,4184,4.184,0.001472,0.5588495732496409,0.5199381091699568,0.42426406781192816,1.9797489095939753,11.0,0.9885,4,0.657,0.292,4.51,70745039,2000,8,17418.2,1381.8000000000004,18800.0,0.07350000000000002,0.049,1381.8000000000002,0.3018867924528302,0.2893849206349206,0,cosmog_00500,1.28,11.55,A2-B0-C2-f701-r454
A2-B0-C2-f701-r463,I,seleccion,7,4020,4.02,0.00061,0.6032652011029865,0.5802425297576089,0.7071067796865472,5.462145665902361,12.0,0.986,8,0.609,0.151,4.4,70745912,2000,8,17324.2,1475.8000000000006,18800.0,0.07850000000000003,0.043,1475.8,0.3958333333333333,0.41309523809523807,0,cosmog_00500,1.35,13.01,A2-B0-C2-f701-r463
A2-B0-C2-f701-r470,I,seleccion,6,3999,3.999,0.001977,0.679829632409721,0.6152447237994593,0.3674234610424767,1.873979318016073,13.0,0.9835,5,0.566,0.337,5.23,70746591,2000,8,17286.600000000002,1513.4000000000005,18800.000000000004,0.08050000000000002,0.045,1513.3999999999999,0.4137931034482757,0.4144345238095237,0,cosmog_00500,1.79,13.98,A2-B0-C2-f701-r470
A2-B0-C2-f701-r48,I,seleccion,6,3999,3.999,0.002684,0.5527722323158304,0.5208581307658483,0.4242640678119288,4.710641381554691,11.0,0.985,5,0.75,0.124,4.92,70705657,2000,8,17333.600000000002,1466.4000000000005,18800.000000000004,0.07800000000000001,0.043,1466.3999999999999,0.5294117647058822,0.5462797619047618,0,cosmog_00500,0.91,11.55,A2-B0-C2-f701-r48
A2-B0-C2-f701-r52,I,seleccion,6,4202,4.202,0.005693,0.5158540673811227,0.48061181967724753,0.14142135593730976,2.119405410207941,10.0,0.984,5,0.728,0.336,6.6,70706045,2000,8,17408.8,1391.2000000000003,18800.0,0.07400000000000001,0.047,1391.2,0.3399999999999999,0.3308035714285713,0,cosmog_00500,0.96,11.78,A2-B0-C2-f701-r52
A2-B0-C2-f701-r598,I,seleccion,6,3801,3.801,0.002118,0.5554949030705343,0.5968516977124994,0.2449489739783178,2.0019685583168756,11.0,0.9855,7,0.386,0.232,4.67,70759007,2000,8,17249.0,1551.0000000000005,18800.0,0.08250000000000002,0.044,1551.0,0.3975155279503098,0.401636904761904,0,cosmog_00500,1.13,8.93,A2-B0-C2-f701-r598
A2-B0-C2-f701-r68,I,seleccion,6,4206,4.206,0.003827,0.5549433352202968,0.5017341836042958,0.4242640681119285,2.3386355905073732,12.0,0.983,4,0.67,0.279,6.09,70707597,2000,8,17333.600000000002,1466.4000000000005,18800.000000000004,0.07800000000000001,0.046,1466.3999999999999,0.4117647058823529,0.4386904761904762,0,cosmog_00500,0.9,8.8,A2-B0-C2-f701-r68
