rule_id,seed,kcap,K,J,noise,meandeg,M,grado_medio,t_s
A2-B0-C2-f701-r0,70701001,6,6,0.75,0.307,7.34,4124,4.124,1.29
A2-B0-C2-f701-r1,70701098,4,5,0.719,0.126,4.64,2643,2.643,1.2
A2-B0-C2-f701-r2,70701195,7,5,0.507,0.311,5.76,4689,4.689,1.33
A2-B0-C2-f701-r3,70701292,7,5,0.762,0.231,4.79,4320,4.32,1.08
A2-B0-C2-f701-r4,70701389,4,8,0.762,0.16,7.2,2244,2.244,1.05
A2-B0-C2-f701-r5,70701486,5,6,0.786,0.227,6.04,3328,3.328,1.42
A2-B0-C2-f701-r6,70701583,4,7,0.762,0.256,7.31,2250,2.25,1.27
A2-B0-C2-f701-r7,70701680,6,5,0.747,0.134,6.67,4189,4.189,1.16
A2-B0-C2-f701-r8,70701777,4,6,0.748,0.282,4.59,2639,2.639,1.1
A2-B0-C2-f701-r9,70701874,5,7,0.307,0.216,5.66,3252,3.252,1.26
A2-B0-C2-f701-r10,70701971,4,7,0.438,0.249,6.22,2393,2.393,1.23
A2-B0-C2-f701-r11,70702068,5,8,0.576,0.194,4.01,3153,3.153,1.04
A2-B0-C2-f701-r12,70702165,6,7,0.413,0.346,6.77,4001,4.001,1.15
A2-B0-C2-f701-r13,70702262,6,7,0.409,0.254,4.09,3536,3.536,1.37
A2-B0-C2-f701-r14,70702359,7,8,0.775,0.107,7.13,4954,4.954,1.48
A2-B0-C2-f701-r15,70702456,6,6,0.743,0.255,4.71,3884,3.884,1.11
A2-B0-C2-f701-r16,70702553,6,7,0.74,0.266,7.99,4038,4.038,1.28
A2-B0-C2-f701-r17,70702650,5,8,0.697,0.119,6.02,3355,3.355,1.25
A2-B0-C2-f701-r18,70702747,4,5,0.653,0.278,7.66,2155,2.155,1.14
A2-B0-C2-f701-r19,70702844,6,5,0.778,0.227,4.74,3932,3.932,1.07
A2-B0-C2-f701-r20,70702941,4,5,0.452,0.283,4.73,2559,2.559,1.01
A2-B0-C2-f701-r21,70703038,5,5,0.554,0.205,5.48,3413,3.413,1.32
A2-B0-C2-f701-r22,70703135,5,7,0.616,0.237,4.48,3315,3.315,1.3
A2-B0-C2-f701-r23,70703232,5,5,0.757,0.258,5.56,3412,3.412,1.22
A2-B0-C2-f701-r24,70703329,4,8,0.576,0.195,5.37,2550,2.55,1.12
A2-B0-C2-f701-r25,70703426,4,5,0.374,0.324,4.01,2560,2.56,1.19
A2-B0-C2-f701-r26,70703523,7,7,0.455,0.212,6.5,4832,4.832,1.4
A2-B0-C2-f701-r27,70703620,6,4,0.739,0.275,7.73,4076,4.076,1.14
A2-B0-C2-f701-r28,70703717,5,7,0.516,0.147,5.04,3322,3.322,1.14
A2-B0-C2-f701-r29,70703814,5,5,0.387,0.297,5.56,3304,3.304,1.46
A2-B0-C2-f701-r30,70703911,5,7,0.471,0.259,4.15,3148,3.148,1.32
A2-B0-C2-f701-r31,70704008,5,6,0.696,0.349,7.19,3123,3.123,1.04
A2-B0-C2-f701-r32,70704105,5,7,0.644,0.292,5.52,3381,3.381,1.19
A2-B0-C2-f701-r33,70704202,7,7,0.402,0.279,7.72,4775,4.775,1.42
A2-B0-C2-f701-r34,70704299,6,5,0.377,0.237,5.28,3935,3.935,1.28
A2-B0-C2-f701-r35,70704396,5,7,0.689,0.125,5.7,3447,3.447,1.06
A2-B0-C2-f701-r36,70704493,5,5,0.541,0.158,5.47,3369,3.369,1.16
A2-B0-C2-f701-r37,70704590,4,7,0.656,0.158,6.5,2431,2.431,1.31
A2-B0-C2-f701-r38,70704687,4,7,0.324,0.274,5.42,2449,2.449,1.28
A2-B0-C2-f701-r39,70704784,6,6,0.526,0.248,7.44,4090,4.09,1.17
A2-B0-C2-f701-r40,70704881,6,5,0.36,0.318,7.71,3932,3.932,1.27
A2-B0-C2-f701-r41,70704978,5,7,0.402,0.219,6.9,3174,3.174,1.29
A2-B0-C2-f701-r42,70705075,6,8,0.65,0.293,5.04,3938,3.938,1.26
A2-B0-C2-f701-r43,70705172,4,5,0.518,0.219,6.32,2378,2.378,1.0
A2-B0-C2-f701-r44,70705269,6,8,0.521,0.142,5.64,4095,4.095,1.15
A2-B0-C2-f701-r45,70705366,5,6,0.648,0.258,7.76,2983,2.983,1.43
A2-B0-C2-f701-r46,70705463,5,5,0.5,0.239,5.04,3404,3.404,1.34
A2-B0-C2-f701-r47,70705560,6,6,0.671,0.192,6.57,4099,4.099,1.13
A2-B0-C2-f701-r48,70705657,6,5,0.75,0.124,4.92,3999,3.999,1.18
A2-B0-C2-f701-r49,70705754,5,7,0.721,0.187,6.61,3298,3.298,1.28
A2-B0-C2-f701-r50,70705851,6,7,0.542,0.209,5.55,4075,4.075,1.31
A2-B0-C2-f701-r51,70705948,4,5,0.491,0.288,5.5,2525,2.525,1.02
A2-B0-C2-f701-r52,70706045,6,5,0.728,0.336,6.6,4202,4.202,1.25
A2-B0-C2-f701-r53,70706142,6,6,0.45,0.335,4.29,3671,3.671,1.39
A2-B0-C2-f701-r54,70706239,6,4,0.681,0.165,6.07,4171,4.171,1.41
A2-B0-C2-f701-r55,70706336,6,5,0.72,0.16,7.15,4164,4.164,1.21
A2-B0-C2-f701-r56,70706433,6,6,0.635,0.213,7.49,4007,4.007,1.28
A2-B0-C2-f701-r57,70706530,7,6,0.434,0.134,5.89,4626,4.626,1.37
A2-B0-C2-f701-r58,70706627,7,6,0.773,0.259,7.23,4893,4.893,1.37
A2-B0-C2-f701-r59,70706724,6,7,0.615,0.326,4.1,3564,3.564,1.09
A2-B0-C2-f701-r60,70706821,5,4,0.714,0.12,5.12,3408,3.408,1.16
A2-B0-C2-f701-r61,70706918,6,5,0.748,0.301,5.59,4110,4.11,1.49
A2-B0-C2-f701-r62,70707015,5,7,0.46,0.2,5.64,3301,3.301,1.34
A2-B0-C2-f701-r63,70707112,5,6,0.329,0.323,6.68,3150,3.15,1.04
A2-B0-C2-f701-r64,70707209,5,8,0.48,0.251,4.29,3169,3.169,1.03
A2-B0-C2-f701-r65,70707306,5,5,0.659,0.337,7.18,3187,3.187,1.25
A2-B0-C2-f701-r66,70707403,5,5,0.736,0.168,7.02,3237,3.237,1.32
A2-B0-C2-f701-r67,70707500,6,4,0.591,0.34,5.29,4066,4.066,1.28
A2-B0-C2-f701-r68,70707597,6,4,0.67,0.279,6.09,4206,4.206,1.13
A2-B0-C2-f701-r69,70707694,5,5,0.322,0.328,5.47,3273,3.273,1.27
A2-B0-C2-f701-r70,70707791,4,7,0.642,0.282,7.15,2273,2.273,1.16
A2-B0-C2-f701-r71,70707888,6,6,0.385,0.194,4.69,3770,3.77,1.25
A2-B0-C2-f701-r72,70707985,5,5,0.318,0.259,5.94,3271,3.271,1.13
A2-B0-C2-f701-r73,70708082,6,8,0.329,0.297,5.81,4001,4.001,1.34
A2-B0-C2-f701-r74,70708179,6,5,0.527,0.313,6.91,4051,4.051,1.41
A2-B0-C2-f701-r75,70708276,7,4,0.307,0.27,4.11,3798,3.798,1.24
A2-B0-C2-f701-r76,70708373,5,7,0.549,0.115,7.53,3141,3.141,1.06
