rule_id,seed,lote,K,kcap,escalon,n_nodos,n_aristas,grado_medio,grados_identicos,n_nodos_grado_distinto,solapamiento_aristas,clustering_local,transitividad,n_triangulos,gigante,n_componentes,asortatividad,pendiente_corr,z_agg,diams,n_cajas,clustering_original,n_triangulos_original,t_piso,t_techo,t_techo_sin_restriccion,n_fotos,n_fotos_conectadas,acc_baja,acc_sube,t_bajar_s,t_subir_s,seed_escalera,pendiente_corr_csv_ref,frac_masa_fase5b,t_ic_s,carpeta,t_total_grafo_s
A2-B0-C2-batch4-r36,575321,571828,8,4,orig,2000,2343,2.343,True,0,1.0,0.021333333333333336,0.017850059500198336,30,1708,26,0.006977763783395319,1.1388881788592264,1.517741177414103,"[20.0, 16.0, 11.0, 6.0, 5.0]","[2000, 1282, 884, 660, 566]",0.021333333333333336,30,0,456,984,47,40,11755,934,0.8,4.5,5580613713,1.0121015869766785,0.15349999999999997,52.43,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch4-r36_s575321_f702_orig,506.7
A2-B0-C2-batch4-r36,575321,571828,8,4,e0,2000,2343,2.343,True,0,0.0012804097311139564,0.0,0.0,0,1761,3,-0.3039996061271941,1.0560595524255991,3.176903710765516,"[21.0, 17.0, 9.0, 9.0, 5.0]","[2000, 1327, 881, 668, 560]",0.021333333333333336,30,0,456,984,47,40,11755,934,0.8,4.5,5580613713,1.0121015869766785,0.15349999999999997,51.42,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch4-r36_s575321_f702_e0,506.7
A2-B0-C2-batch4-r36,575321,571828,8,4,e1,2000,2343,2.343,True,0,0.0012804097311139564,0.015166666666666669,0.015470051566838556,26,1758,4,-0.2917184123930664,1.0915599144673809,3.846116752555763,"[22.0, 18.0, 9.0, 9.0, 5.0]","[2000, 1324, 887, 657, 556]",0.021333333333333336,30,0,456,984,47,40,11755,934,0.8,4.5,5580613713,1.0121015869766785,0.15349999999999997,94.62,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch4-r36_s575321_f702_e1,506.7
A2-B0-C2-batch4-r36,575321,571828,8,4,e2,2000,2343,2.343,True,0,0.0012804097311139564,0.04416666666666667,0.0481951606505355,81,1748,6,-0.27899860459700565,1.0717848696199792,3.6668016587221515,"[23.0, 17.0, 11.0, 9.0, 5.0]","[2000, 1321, 887, 660, 528]",0.021333333333333336,30,0,456,984,47,40,11755,934,0.8,4.5,5580613713,1.0121015869766785,0.15349999999999997,104.11,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch4-r36_s575321_f702_e2,506.7
A2-B0-C2-batch4-r36,575321,571828,8,4,e3,2000,2343,2.343,True,0,0.0012804097311139564,0.11600000000000002,0.12197540658468861,205,1720,12,-0.23864611089915766,1.1203457388705138,2.5733245491199765,"[22.0, 17.0, 11.0, 7.0, 5.0]","[2000, 1312, 890, 659, 521]",0.021333333333333336,30,0,456,984,47,40,11755,934,0.8,4.5,5580613713,1.0121015869766785,0.15349999999999997,122.09,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch4-r36_s575321_f702_e3,506.7
A2-B0-C2-batch4-r36,575321,571828,8,4,e4,2000,2343,2.343,True,0,0.0012804097311139564,0.25433333333333336,0.27132090440301465,456,1667,25,-0.17153815942338865,1.0273219410629817,6.343653825883138,"[27.0, 21.0, 15.0, 9.0, 7.0]","[2000, 1310, 901, 657, 515]",0.021333333333333336,30,0,456,984,47,40,11755,934,0.8,4.5,5580613713,1.0121015869766785,0.15349999999999997,73.02,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch4-r36_s575321_f702_e4,506.7
A2-B0-C2-batch4-r10,572799,571828,5,5,orig,2000,2994,2.994,True,0,1.0,0.011550000000000001,0.008668515950069348,25,1821,8,0.020864078210404032,1.00288992732594,0.4932748265948826,"[16.0, 11.0, 7.0, 5.0, 4.0]","[2000, 1262, 828, 615, 490]",0.011550000000000001,25,0,1042,1557,51,47,14835,1477,0.8,5.5,5556150313,0.9674452669352483,0.12799999999999997,102.97,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch4-r10_s572799_f702_orig,506.7
A2-B0-C2-batch4-r10,572799,571828,5,5,e0,2000,2994,2.994,True,0,0.0013360053440213762,0.0,0.0,0,1837,1,-0.29496418307382277,0.6707980953898094,0.845128297252456,"[13.0, 9.0, 7.0, 6.0, 5.0]","[2000, 1300, 858, 627, 510]",0.011550000000000001,25,0,1042,1557,51,47,14835,1477,0.8,5.5,5556150313,0.9674452669352483,0.12799999999999997,106.6,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch4-r10_s572799_f702_e0,506.7
A2-B0-C2-batch4-r10,572799,571828,5,5,e1,2000,2994,2.994,True,0,0.0013360053440213762,0.023299999999999998,0.022191400832177532,64,1837,1,-0.27720311286461613,0.6995765635589569,0.845128297252456,"[13.0, 9.0, 7.0, 5.0, 5.0]","[2000, 1292, 851, 618, 475]",0.011550000000000001,25,0,1042,1557,51,47,14835,1477,0.8,5.5,5556150313,0.9674452669352483,0.12799999999999997,64.36,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch4-r10_s572799_f702_e1,506.7
A2-B0-C2-batch4-r10,572799,571828,5,5,e2,2000,2994,2.994,True,0,0.0013360053440213762,0.07296666666666667,0.06449375866851595,186,1835,2,-0.25170003769242205,0.8442189498849771,0.6847715522335729,"[13.0, 10.0, 7.0, 5.0, 4.0]","[2000, 1275, 849, 622, 478]",0.011550000000000001,25,0,1042,1557,51,47,14835,1477,0.8,5.5,5556150313,0.9674452669352483,0.12799999999999997,64.35,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch4-r10_s572799_f702_e2,506.7
